t_s,T_out_C,phi_out,n_occ,u_fan_ms,Ta_sp_C,phi_room,phi_measured,omega_room_gkg,phi_in,H_gh,Tp_C,Re,Sh,hm,ref_phi,error_pct
0.000000,-10.000000,0.350000,0.000000,3.012525,40.000000,0.204377,0.200000,3.334765,0.072406,362.832195,17.352164,26682.363020,88.964020,0.022752,0.450000,25.000000
30.000000,-10.000000,0.350000,0.000000,3.024872,40.000000,0.206760,0.201985,3.373861,0.073263,363.098502,17.384779,26788.746245,89.142082,0.022800,0.450000,24.801462
60.000000,-10.000000,0.350000,0.000000,3.013293,40.000000,0.209123,0.204377,3.412631,0.074117,361.929449,17.417247,26683.260712,88.967284,0.022757,0.450000,24.562349
90.000000,-10.000000,0.350000,0.000000,2.996905,40.000000,0.211463,0.206760,3.451038,0.074964,360.476199,17.449405,26535.242502,88.721051,0.022696,0.450000,24.324038
120.000000,-10.000000,0.350000,0.000000,2.980496,40.000000,0.213781,0.209123,3.489084,0.075803,359.026391,17.481222,26387.095878,88.473898,0.022634,0.450000,24.087739
150.000000,-10.000000,0.350000,0.000000,2.964210,40.000000,0.216078,0.211463,3.526772,0.076634,357.588671,17.512702,26240.103408,88.227974,0.022573,0.450000,23.853683
180.000000,-10.000000,0.350000,0.000000,2.948076,40.000000,0.218352,0.213781,3.564104,0.077457,356.164695,17.543847,26094.517161,87.983714,0.022512,0.450000,23.621858
210.000000,-10.000000,0.350000,0.000000,2.932093,40.000000,0.220604,0.216078,3.601085,0.078273,354.754373,17.574663,25950.331884,87.741125,0.022452,0.450000,23.392244
240.000000,-10.000000,0.350000,0.000000,2.916261,40.000000,0.222836,0.218352,3.637718,0.079080,353.357558,17.605152,25807.534632,87.500198,0.022392,0.450000,23.164818
270.000000,-10.000000,0.350000,0.000000,2.900578,40.000000,0.225045,0.220604,3.674007,0.079880,351.974100,17.635319,25666.111024,87.260923,0.022333,0.450000,22.939560
300.000000,-10.000000,0.350000,0.000000,2.885041,40.000000,0.227234,0.222836,3.709954,0.080672,350.603848,17.665167,25526.046805,87.023290,0.022273,0.450000,22.716449
330.000000,-10.000000,0.350000,0.000000,2.869651,40.000000,0.229402,0.225045,3.745562,0.081457,349.246653,17.694700,25387.327893,86.787289,0.022215,0.450000,22.495463
360.000000,-10.000000,0.350000,0.000000,2.854404,40.000000,0.231549,0.227234,3.780835,0.082234,347.902369,17.723923,25249.940382,86.552909,0.022156,0.450000,22.276582
390.000000,-10.000000,0.350000,0.000000,2.839301,40.000000,0.233676,0.229402,3.815777,0.083004,346.570852,17.752838,25113.870542,86.320141,0.022098,0.450000,22.059786
420.000000,-10.000000,0.350000,0.000000,2.824339,40.000000,0.235783,0.231549,3.850390,0.083766,345.251962,17.781448,24979.104818,86.088974,0.022041,0.450000,21.845054
450.000000,-10.000000,0.350000,0.000000,2.809518,40.000000,0.237870,0.233676,3.884677,0.084521,343.945557,17.809759,24845.629823,85.859399,0.021983,0.450000,21.632367
480.000000,-10.000000,0.350000,0.000000,2.794835,40.000000,0.239936,0.235783,3.918641,0.085269,342.651501,17.837772,24713.432335,85.631406,0.021927,0.450000,21.421704
510.000000,-10.000000,0.350000,0.000000,2.780289,40.000000,0.241983,0.237870,3.952286,0.086010,341.369658,17.865492,24582.499300,85.404985,0.021870,0.450000,21.213046
540.000000,-10.000000,0.350000,0.000000,2.765880,40.000000,0.244011,0.239936,3.985615,0.086744,340.099894,17.892922,24452.817822,85.180126,0.021814,0.450000,21.006374
570.000000,-10.000000,0.350000,0.000000,2.751605,40.000000,0.246019,0.241983,4.018630,0.087471,338.842079,17.920065,24324.375167,84.956821,0.021758,0.450000,20.801669
600.000000,-10.000000,0.350000,4.000000,2.737464,40.000000,0.249698,0.244011,4.079112,0.088191,337.596082,17.946925,24197.158754,84.735060,0.021703,0.450000,20.598911
630.000000,-10.000000,0.350000,4.000000,2.723455,40.000000,0.253347,0.246019,4.139127,0.089509,336.048321,17.996058,24069.313717,84.512178,0.021648,0.450000,20.398082
660.000000,-10.000000,0.350000,4.000000,2.709576,40.000000,0.256968,0.249698,4.198679,0.090817,334.516321,18.044719,23942.705757,84.290858,0.021594,0.450000,20.030226
690.000000,-10.000000,0.350000,4.000000,2.675470,40.000000,0.260549,0.253347,4.257597,0.092115,331.740204,18.092914,23637.468665,83.753063,0.021459,0.450000,19.665280
720.000000,-10.000000,0.350000,4.000000,2.641532,40.000000,0.264092,0.256968,4.315887,0.093399,328.977612,18.140508,23333.859507,83.214647,0.021324,0.450000,19.303217
750.000000,-10.000000,0.350000,4.000000,2.607759,40.000000,0.267596,0.260549,4.373551,0.094669,326.228149,18.187507,23031.859456,82.675567,0.021188,0.450000,18.945075
780.000000,-10.000000,0.350000,4.000000,2.574278,40.000000,0.271061,0.264092,4.430596,0.095925,323.499401,18.233917,22732.570861,82.137801,0.021053,0.450000,18.590824
810.000000,-10.000000,0.350000,4.000000,2.541086,40.000000,0.274489,0.267596,4.487028,0.097167,320.791080,18.279747,22435.975817,81.601344,0.020918,0.450000,18.240435
840.000000,-10.000000,0.350000,4.000000,2.508181,40.000000,0.277879,0.271061,4.542851,0.098396,318.102909,18.325003,22142.056895,81.066191,0.020783,0.450000,17.893872
870.000000,-10.000000,0.350000,4.000000,2.475563,40.000000,0.281232,0.274489,4.598071,0.099611,315.434566,18.369693,21850.790046,80.532325,0.020648,0.450000,17.551101
900.000000,-10.000000,0.350000,4.000000,2.443227,40.000000,0.284548,0.277879,4.652692,0.100813,312.785733,18.413823,21562.151598,79.999729,0.020514,0.450000,17.212086
930.000000,-10.000000,0.350000,4.000000,2.411172,40.000000,0.287828,0.281232,4.706721,0.102002,310.156099,18.457401,21276.118254,79.468387,0.020380,0.450000,16.876794
960.000000,-10.000000,0.350000,4.000000,2.379396,40.000000,0.291071,0.284548,4.760163,0.103178,307.545357,18.500433,20992.667123,78.938281,0.020246,0.450000,16.545191
990.000000,-10.000000,0.350000,4.000000,2.347897,40.000000,0.294278,0.287828,4.813021,0.104340,304.953208,18.542926,20711.775715,78.409396,0.020112,0.450000,16.217244
1020.000000,-10.000000,0.350000,4.000000,2.316672,40.000000,0.297450,0.291071,4.865302,0.105490,302.379355,18.584886,20433.421931,77.881714,0.019979,0.450000,15.892919
1050.000000,-10.000000,0.350000,4.000000,2.285719,40.000000,0.300586,0.294278,4.917010,0.106627,299.823509,18.626320,20157.584058,77.355221,0.019846,0.450000,15.572186
1080.000000,-10.000000,0.350000,4.000000,2.255036,40.000000,0.303688,0.297450,4.968150,0.107751,297.285383,18.667233,19884.240757,76.829900,0.019713,0.450000,15.255011
1110.000000,-10.000000,0.350000,4.000000,2.224622,40.000000,0.306755,0.300586,5.018727,0.108863,294.764698,18.707633,19613.371060,76.305736,0.019581,0.450000,14.941363
1140.000000,-10.000000,0.350000,4.000000,2.194473,40.000000,0.309787,0.303688,5.068745,0.109962,292.261177,18.747525,19344.954363,75.782713,0.019449,0.450000,14.631211
1170.000000,-10.000000,0.350000,4.000000,2.164589,40.000000,0.312786,0.306755,5.118210,0.111049,289.774551,18.786916,19078.970413,75.260817,0.019317,0.450000,14.324525
1200.000000,-10.000000,0.350000,4.000000,2.134967,40.000000,0.315750,0.309787,5.167125,0.112124,287.304553,18.825810,18815.399310,74.740032,0.019185,0.450000,14.021273
1230.000000,-10.000000,0.350000,4.000000,2.105605,40.000000,0.318682,0.312786,5.215496,0.113187,284.850921,18.864215,18554.221492,74.220343,0.019053,0.450000,13.721427
1260.000000,-10.000000,0.350000,4.000000,2.076501,40.000000,0.321580,0.315750,5.263327,0.114238,282.413398,18.902135,18295.417733,73.701737,0.018922,0.450000,13.424956
1290.000000,-10.000000,0.350000,4.000000,2.047654,40.000000,0.324445,0.318682,5.310622,0.115277,279.991730,18.939576,18038.969138,73.184198,0.018791,0.450000,13.131831
1320.000000,-10.000000,0.350000,4.000000,2.019061,40.000000,0.327278,0.321580,5.357386,0.116304,277.585669,18.976544,17784.857132,72.667713,0.018660,0.450000,12.842023
1350.000000,-10.000000,0.350000,4.000000,1.990722,40.000000,0.330078,0.324445,5.403623,0.117319,275.194970,19.013043,17533.063457,72.152267,0.018529,0.450000,12.555505
1380.000000,-10.000000,0.350000,4.000000,1.962633,40.000000,0.332846,0.327278,5.449338,0.118323,272.819393,19.049080,17283.570166,71.637846,0.018399,0.450000,12.272247
1410.000000,-10.000000,0.350000,4.000000,1.934794,40.000000,0.335582,0.330078,5.494534,0.119315,270.458699,19.084660,17036.359617,71.124438,0.018268,0.450000,11.992222
