t_s,T_out_C,phi_out,n_occ,u_fan_ms,Ta_sp_C,phi_room,phi_measured,omega_room_gkg,phi_in,H_gh,Tp_C,Re,Sh,hm,ref_phi,error_pct
0.000000,-3.000000,0.550000,0.000000,3.254170,40.000000,0.353283,0.350000,5.787047,0.125966,347.129040,19.321984,28630.830976,92.210087,0.023698,0.450000,10.000000
30.000000,-3.000000,0.550000,0.000000,3.258340,40.000000,0.355157,0.351400,5.818033,0.126641,346.984566,19.345963,28665.197231,92.266077,0.023714,0.450000,9.860017
60.000000,-3.000000,0.550000,0.000000,3.248453,40.000000,0.357016,0.353283,5.848765,0.127313,346.093552,19.369804,28575.918210,92.122941,0.023679,0.450000,9.671687
90.000000,-3.000000,0.550000,0.000000,3.233653,40.000000,0.358857,0.355157,5.879211,0.127979,344.944147,19.393428,28443.456383,91.909830,0.023625,0.450000,9.484281
120.000000,-3.000000,0.550000,0.000000,3.218868,40.000000,0.360680,0.357016,5.909370,0.128639,343.799001,19.416809,28311.164821,91.696487,0.023572,0.450000,9.298422
150.000000,-3.000000,0.550000,0.000000,3.204159,40.000000,0.362487,0.358857,5.939245,0.129293,342.661421,19.439949,28179.596526,91.483808,0.023518,0.450000,9.114322
180.000000,-3.000000,0.550000,0.000000,3.189550,40.000000,0.364276,0.360680,5.968840,0.129941,341.532520,19.462851,28048.942061,91.272107,0.023465,0.450000,8.931968
210.000000,-3.000000,0.550000,0.000000,3.175039,40.000000,0.366048,0.362487,5.998155,0.130582,340.412229,19.485517,27919.197106,91.061385,0.023412,0.450000,8.751346
240.000000,-3.000000,0.550000,0.000000,3.160626,40.000000,0.367803,0.364276,6.027194,0.131217,339.300467,19.507949,27790.354908,90.851638,0.023360,0.450000,8.572442
270.000000,-3.000000,0.550000,0.000000,3.146311,40.000000,0.369541,0.366048,6.055958,0.131846,338.197146,19.530150,27662.407911,90.642859,0.023307,0.450000,8.395240
300.000000,-3.000000,0.550000,0.000000,3.132091,40.000000,0.371263,0.367803,6.084451,0.132469,337.102181,19.552122,27535.348627,90.435045,0.023255,0.450000,8.219726
330.000000,-3.000000,0.550000,0.000000,3.117968,40.000000,0.372968,0.369541,6.112674,0.133087,336.015485,19.573867,27409.169653,90.228189,0.023203,0.450000,8.045886
360.000000,-3.000000,0.550000,0.000000,3.103939,40.000000,0.374657,0.371263,6.140630,0.133698,334.936977,19.595388,27283.863669,90.022287,0.023152,0.450000,7.873705
390.000000,-3.000000,0.550000,0.000000,3.090004,40.000000,0.376330,0.372968,6.168320,0.134303,333.866573,19.616687,27159.423438,89.817333,0.023100,0.450000,7.703169
420.000000,-3.000000,0.550000,0.000000,3.076162,40.000000,0.377987,0.374657,6.195748,0.134903,332.804193,19.637767,27035.841805,89.613321,0.023049,0.450000,7.534264
450.000000,-3.000000,0.550000,0.000000,3.062414,40.000000,0.379628,0.376330,6.222914,0.135497,331.749755,19.658629,26913.111697,89.410248,0.022998,0.450000,7.366975
480.000000,-3.000000,0.550000,0.000000,3.048757,40.000000,0.381253,0.377987,6.249823,0.136085,330.703181,19.679275,26791.226119,89.208107,0.022947,0.450000,7.201290
510.000000,-3.000000,0.550000,0.000000,3.035191,40.000000,0.382863,0.379628,6.276475,0.136668,329.664394,19.699709,26670.178156,89.006894,0.022896,0.450000,7.037194
540.000000,-3.000000,0.550000,0.000000,3.021716,40.000000,0.384457,0.381253,6.302872,0.137245,328.633315,19.719931,26549.960967,88.806604,0.022846,0.450000,6.874673
570.000000,-3.000000,0.550000,0.000000,3.008331,40.000000,0.386036,0.382863,6.329018,0.137816,327.609870,19.739945,26430.567791,88.607232,0.022796,0.450000,6.713715
600.000000,-3.000000,0.550000,0.000000,2.995035,40.000000,0.387599,0.384457,6.354913,0.138382,326.593983,19.759751,26311.991938,88.408773,0.022746,0.450000,6.554306
630.000000,-3.000000,0.550000,0.000000,2.981827,40.000000,0.389148,0.386036,6.380561,0.138943,325.585580,19.779353,26194.226796,88.211223,0.022696,0.450000,6.396433
660.000000,-3.000000,0.550000,0.000000,2.968707,40.000000,0.390681,0.387599,6.405962,0.139498,324.584589,19.798752,26077.265823,88.014576,0.022647,0.450000,6.240082
690.000000,-3.000000,0.550000,0.000000,2.955674,40.000000,0.392200,0.389148,6.431120,0.140047,323.590938,19.817951,25961.102547,87.818828,0.022597,0.450000,6.085241
720.000000,-3.000000,0.550000,0.000000,2.942727,40.000000,0.393704,0.390681,6.456036,0.140592,322.604555,19.836950,25845.730571,87.623974,0.022548,0.450000,5.931897
750.000000,-3.000000,0.550000,0.000000,2.929867,40.000000,0.395193,0.392200,6.480712,0.141131,321.625370,19.855753,25731.143563,87.430010,0.022499,0.450000,5.780037
780.000000,-3.000000,0.550000,0.000000,2.917091,40.000000,0.396668,0.393704,6.505150,0.141665,320.653316,19.874361,25617.335263,87.236931,0.022451,0.450000,5.629649
