t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,-5.000000,10.000000,500.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.049997,-0.005663,25.007637,20.000249,-5.562807,10.000000,500.000000,0.114779,0.005418,0.000000
0.002000,0.050000,0.049989,-0.010612,25.019958,20.020490,-6.124109,10.000000,500.000000,0.440026,0.035690,0.000000
0.003000,0.050000,0.049976,-0.015584,25.019198,20.090770,-6.673787,10.000000,500.000000,0.947833,0.110111,0.000000
0.004000,0.050000,0.049958,-0.020637,24.988927,20.236340,-7.194660,10.000000,500.000000,1.610881,0.245228,0.000000
0.005000,0.050000,0.049934,-0.025856,24.913557,20.478158,-7.669034,10.000000,500.000000,2.402202,0.454876,0.000000
0.006000,0.050000,0.049906,-0.031355,24.778772,20.832868,-8.079179,10.000000,500.000000,3.295161,0.750216,0.000000
0.007000,0.050000,0.049872,-0.037268,24.572013,21.312802,-8.407898,10.000000,500.000000,4.263592,1.139770,0.000000
0.008000,0.050000,0.049831,-0.043745,24.282986,21.926021,-8.639174,10.000000,500.000000,5.282042,1.629488,0.000001
0.009000,0.050000,0.049784,-0.050950,23.904176,22.676403,-8.758859,10.000000,500.000000,6.326073,2.222837,0.000001
0.010000,0.050000,0.049729,-0.059054,23.431327,23.563802,-8.755382,4.522616,500.000000,7.372594,2.920919,0.000001
0.011000,0.050000,0.049665,-0.068228,22.863845,24.581272,4.382477,-4.581272,500.000000,8.341388,3.719844,0.000001
0.012000,0.050000,0.049592,-0.078632,22.212263,25.702609,10.000000,-6.160736,500.000000,9.073247,4.602257,0.000002
0.013000,0.050000,0.049508,-0.090375,21.520004,26.880122,10.000000,-7.908510,500.000000,9.486508,5.537846,0.000002
0.014000,0.050000,0.049411,-0.103489,20.844109,28.063297,10.000000,-9.779697,500.000000,9.595277,6.495610,0.000003
0.015000,0.050000,0.049300,-0.117919,20.235801,29.204020,10.000000,-10.000000,500.000000,9.416083,7.446118,0.000004
0.016000,0.050000,0.049175,-0.133541,19.737593,30.257922,10.000000,-10.000000,500.000000,8.983643,8.362483,0.000004
0.017000,0.050000,0.049033,-0.150166,19.384238,31.187861,10.000000,-10.000000,500.000000,8.347195,9.222481,0.000005
0.018000,0.050000,0.048874,-0.167555,19.203964,31.964315,10.000000,-10.000000,500.000000,7.549934,10.008481,0.000006
0.019000,0.050000,0.048698,-0.185431,19.219835,32.564310,10.000000,-10.000000,500.000000,6.626274,10.706620,0.000008
0.020000,0.050000,0.048503,-0.203483,19.451103,32.970202,10.000000,-10.000000,500.000000,5.602150,11.305943,0.000009
0.021000,0.050000,0.048291,-0.221372,19.914407,33.168527,10.000000,-10.000000,500.000000,4.495767,11.797598,0.000011
0.022000,0.050000,0.048061,-0.238739,20.624791,33.148971,10.000000,-10.000000,500.000000,3.318629,12.174126,0.000013
0.023000,0.050000,0.047813,-0.255205,21.596615,32.903508,10.000000,-10.000000,500.000000,2.190458,12.431708,0.000015
0.024000,0.050000,0.047551,-0.270360,22.878753,32.425733,10.000000,-10.000000,500.000000,2.796278,12.689132,0.000018
0.025000,0.050000,0.047273,-0.283743,24.496728,31.709240,10.000000,-10.000000,500.000000,3.905283,13.022854,0.000020
0.026000,0.050000,0.046984,-0.294891,26.433711,30.744403,10.000000,-10.000000,500.000000,5.704164,13.526654,0.000023
0.027000,0.050000,0.046684,-0.303359,28.663460,29.540403,10.000000,-10.000000,500.000000,7.370605,14.202447,0.000027
0.028000,0.050000,0.046378,-0.308744,31.150858,28.115058,10.000000,-10.000000,500.000000,8.857546,15.034018,0.000030
0.029000,0.050000,0.046068,-0.310691,33.852631,26.491598,10.000000,-9.014328,500.000000,10.121931,16.000693,0.000034
0.030000,0.050000,0.045758,-0.308908,36.718209,24.698461,10.000000,-7.870350,500.000000,11.125289,17.077773,0.000038
0.031000,0.050000,0.045452,-0.303172,39.690704,22.770162,10.000000,-6.411898,500.000000,11.834122,18.237023,0.000043
0.032000,0.050000,0.045153,-0.293344,42.707974,20.746536,10.000000,-4.665288,500.000000,12.220083,19.447179,0.000048
0.033000,0.050000,0.044866,-0.279368,45.703726,18.671489,10.000000,-2.664895,500.000000,12.259893,20.674458,0.000053
0.034000,0.050000,0.044596,-0.261283,48.608615,16.591445,10.000000,-0.451999,500.000000,11.934951,21.883051,0.000058
0.035000,0.050000,0.044345,-0.239223,51.351273,14.553453,10.000000,-0.000000,500.000000,11.230429,23.035530,0.000064
0.036000,0.050000,0.044118,-0.213421,53.859159,12.602461,10.000000,-0.000000,500.000000,10.133395,24.093126,0.000070
0.037000,0.050000,0.043919,-0.184202,56.058980,10.777012,10.000000,-0.000000,500.000000,8.628556,25.015679,0.000076
0.038000,0.050000,0.043751,-0.151985,57.876057,9.107551,10.000000,-0.000000,500.000000,6.686336,25.760761,0.000082
0.039000,0.050000,0.043616,-0.117277,59.229996,7.616321,10.000000,-0.000000,500.000000,4.213293,26.279771,0.000089
0.040000,0.050000,0.043517,-0.080687,59.997286,6.317562,10.000000,-0.000000,500.000000,0.121649,26.478367,0.000095
0.041000,0.050000,0.043455,-0.042998,60.073723,5.217652,10.000000,-0.000000,500.000000,0.000000,26.478367,0.000102
0.042000,0.050000,0.043431,-0.004718,60.010024,4.315966,10.000000,-0.000000,500.000000,0.000000,26.478367,0.000108
0.043000,0.050000,0.043445,0.030984,59.973304,3.603307,10.000000,-0.000000,500.000000,0.785559,26.523023,0.000115
0.044000,0.050000,0.043493,0.066589,59.914029,3.065026,10.000000,-0.000000,500.000000,1.611154,26.653180,0.000121
0.045000,0.050000,0.043578,0.102406,59.822178,2.688979,10.000000,-0.000000,500.000000,2.446258,26.866378,0.000128
0.046000,0.050000,0.043698,0.138309,59.699087,2.461253,9.665234,-0.000000,500.000000,3.295207,27.163963,0.000134
0.047000,0.050000,0.043854,0.174179,59.546537,2.367513,8.695343,-0.000000,500.000000,4.154779,27.547141,0.000140
0.048000,0.050000,0.044047,0.209913,59.366125,2.394457,7.804041,-0.000000,500.000000,5.019244,28.016637,0.000146
0.049000,0.050000,0.044274,0.245412,59.158928,2.530924,6.972591,-0.000000,500.000000,5.881732,28.572509,0.000152
0.050000,0.050000,0.044537,0.280588,58.925427,2.768417,6.180812,-0.000000,500.000000,6.735446,29.214133,0.000157
0.051000,0.050000,0.044835,0.315355,58.665496,3.101079,5.411549,-0.000000,500.000000,7.573757,29.940218,0.000162
0.052000,0.050000,0.045168,0.349632,58.378414,3.525292,4.651849,-0.000000,500.000000,8.390215,30.748817,0.000167
0.053000,0.050000,0.045534,0.383338,58.062885,4.039144,3.892715,-0.000000,500.000000,9.178491,31.637350,0.000172
0.054000,0.050000,0.045934,0.416391,57.717043,4.641917,3.128371,-0.000000,500.000000,9.932287,32.602606,0.000176
0.055000,0.050000,0.046367,0.448709,57.338464,5.333637,2.355465,-0.000000,500.000000,10.645245,33.640738,0.000179
0.056000,0.050000,0.046831,0.480205,56.924154,6.114730,1.572390,-0.000000,500.000000,11.310839,34.747258,0.000183
0.057000,0.050000,0.047327,0.510790,56.470533,6.985745,0.778754,-0.000000,500.000000,11.922284,35.917007,0.000185
0.058000,0.050000,0.047853,0.540371,55.973407,7.947148,0.000000,-0.000000,500.000000,12.472438,37.144127,0.000187
0.059000,0.050000,0.048407,0.568852,55.427939,8.999160,-10.000000,0.837826,500.000000,12.953838,38.422025,0.000189
0.060000,0.050000,0.048990,0.596127,54.826302,10.141868,-10.000000,1.658291,500.000000,13.311097,39.741097,0.000190
0.061000,0.050000,0.049599,0.622082,54.151343,11.376106,-10.000000,2.484621,500.000000,13.497655,41.085182,0.000190
0.062000,0.050000,0.050234,0.646582,53.384611,12.703682,-10.000000,3.314755,500.000000,13.515512,42.437390,0.000191
0.063000,0.050000,0.050892,0.669473,52.508149,14.127399,-10.000000,4.146323,500.000000,13.360901,43.780651,0.000192
0.064000,0.050000,0.051572,0.690583,51.503872,15.651088,-10.000000,4.976626,500.000000,13.026070,45.097260,0.000193
0.065000,0.050000,0.052272,0.709718,50.353182,17.279620,-10.000000,5.802598,500.000000,12.500690,46.368564,0.000195
0.066000,0.050000,0.052991,0.726662,49.036775,19.018907,-10.000000,6.620769,500.000000,11.772993,47.574780,0.000198
0.067000,0.050000,0.053725,0.741177,47.534597,20.875886,-10.000000,7.427235,500.000000,10.830691,48.694910,0.000202
0.068000,0.050000,0.054472,0.753001,45.825930,22.864010,-10.000000,8.217612,500.000000,10.196308,49.730419,0.000207
0.069000,0.050000,0.055230,0.761836,43.889612,25.007719,-10.000000,8.986995,500.000000,9.673061,50.719183,0.000212
0.070000,0.050000,0.055995,0.767360,41.704347,27.302322,-10.000000,9.729890,500.000000,8.903711,51.640416,0.000218
0.071000,0.050000,0.056763,0.769234,39.249047,29.737610,-10.000000,10.000000,500.000000,7.865234,52.468076,0.000225
0.072000,0.050000,0.057532,0.767106,36.503221,32.299642,-10.000000,10.000000,500.000000,6.529664,53.173571,0.000232
0.073000,0.050000,0.058296,0.760613,33.447417,34.969371,-10.000000,10.000000,500.000000,4.864230,53.725152,0.000240
0.074000,0.050000,0.059051,0.749385,30.056545,37.721976,-10.000000,10.000000,500.000000,5.433106,54.244460,0.000249
0.075000,0.050000,0.059793,0.733064,26.366194,40.527028,-6.366194,10.000000,500.000000,5.967583,54.822298,0.000259
0.076000,0.050000,0.060516,0.711378,22.463844,43.348984,-3.100464,10.000000,500.000000,6.345068,55.443978,0.000270
0.077000,0.050000,0.061214,0.684172,18.455127,46.147780,-0.000000,10.000000,500.000000,6.539956,56.092188,0.000281
0.078000,0.050000,0.061882,0.651427,14.458346,48.879375,-0.000000,10.000000,500.000000,6.527566,56.747126,0.000293
0.079000,0.050000,0.062515,0.613267,10.596074,51.496144,-0.000000,10.000000,500.000000,6.282241,57.386478,0.000305
0.080000,0.050000,0.063107,0.569967,6.986623,53.946844,-0.000000,10.000000,500.000000,5.773066,57.985087,0.000318
0.081000,0.050000,0.063653,0.521944,3.746647,56.175504,-0.000000,10.000000,500.000000,4.952699,58.513819,0.000332
0.082000,0.050000,0.064150,0.469771,1.011498,58.117077,-0.000000,10.000000,500.000000,3.718422,58.935904,0.000346
0.083000,0.050000,0.064592,0.414414,0.000000,59.676437,-0.000000,10.000000,500.000000,1.619781,59.188497,0.000361
0.084000,0.050000,0.064978,0.358049,0.000000,60.540349,-0.000000,10.000000,500.000000,0.000000,59.197314,0.000376
0.085000,0.050000,0.065308,0.301369,0.000000,60.965534,-0.000000,10.000000,500.000000,0.000000,59.197314,0.000391
0.086000,0.050000,0.065581,0.244547,0.000000,61.142790,-0.000000,10.000000,500.000000,0.000000,59.197314,0.000407
0.087000,0.050000,0.065797,0.187705,0.000000,61.128478,-0.000000,10.000000,500.000000,0.000000,59.197314,0.000423
0.088000,0.050000,0.065956,0.130935,0.000000,60.966447,-0.000000,9.810856,500.000000,0.000000,59.197314,0.000438
0.089000,0.050000,0.066059,0.074298,0.000000,60.699075,-0.000000,8.881367,500.000000,0.000000,59.197314,0.000455
0.090000,0.050000,0.066105,0.017828,0.000000,60.373956,-0.000000,7.977618,500.000000,0.000000,59.197314,0.000471
0.091000,0.050000,0.066095,-0.036084,0.041178,60.061882,-0.000000,7.096112,500.000000,0.000000,59.197314,0.000487
0.092000,0.050000,0.066033,-0.088721,0.193297,59.923078,-0.000000,6.233678,500.000000,1.060447,59.259201,0.000503
0.093000,0.050000,0.065918,-0.141116,0.464622,59.808481,-0.000000,5.381392,500.000000,1.762032,59.409995,0.000519
0.094000,0.050000,0.065751,-0.193123,0.861383,59.657504,-0.000000,4.529404,500.000000,2.409161,59.626814,0.000534
0.095000,0.050000,0.065532,-0.244585,1.389310,59.467129,-0.000000,3.669558,500.000000,3.038876,59.907210,0.000550
0.096000,0.050000,0.065262,-0.295339,2.054011,59.236581,-0.000000,2.796128,500.000000,3.651095,60.249516,0.000565
0.097000,0.050000,0.064942,-0.345219,2.860902,58.964999,-0.000000,1.905725,500.000000,4.240323,60.651657,0.000580
