t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,0.000000,-0.000000,500.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.049997,-0.005661,25.010575,19.994432,0.000187,-0.000000,500.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.049989,-0.010587,25.043052,19.975421,0.000696,-0.000000,500.000000,0.000003,0.000000,0.000000
0.003000,0.050000,0.049976,-0.015462,25.096410,19.943603,0.001513,-0.000000,500.000000,0.000017,0.000001,0.000000
0.004000,0.050000,0.049958,-0.020256,25.170359,19.899163,0.002635,-0.000000,500.000000,0.000062,0.000005,0.000000
0.005000,0.050000,0.049935,-0.024943,25.264490,19.842363,0.004058,-0.000000,500.000000,0.000158,0.000017,0.000000
0.006000,0.050000,0.049908,-0.029496,25.378285,19.773533,0.005776,-0.000000,500.000000,0.000336,0.000043,0.000000
0.007000,0.050000,0.049876,-0.033888,25.511115,19.693075,0.007784,-0.000000,500.000000,0.000627,0.000094,0.000000
0.008000,0.050000,0.049840,-0.038095,25.662249,19.601455,0.010074,-0.000000,500.000000,0.001068,0.000183,0.000001
0.009000,0.050000,0.049800,-0.042092,25.830856,19.499204,0.012636,-0.000000,500.000000,0.001697,0.000327,0.000001
0.010000,0.050000,0.049756,-0.045856,26.016011,19.386917,0.015460,-0.000000,500.000000,0.002552,0.000549,0.000001
0.011000,0.050000,0.049709,-0.049365,26.216699,19.265243,0.018535,-0.000000,500.000000,0.003673,0.000872,0.000001
0.012000,0.050000,0.049658,-0.052600,26.431821,19.134886,0.021847,-0.000000,500.000000,0.005100,0.001326,0.000002
0.013000,0.050000,0.049604,-0.055541,26.660205,18.996602,0.025383,-0.000000,500.000000,0.006870,0.001944,0.000002
0.014000,0.050000,0.049547,-0.058172,26.900606,18.851191,0.029127,-0.000000,500.000000,0.009019,0.002762,0.000002
0.015000,0.050000,0.049487,-0.060477,27.151715,18.699496,0.033063,-0.000000,500.000000,0.011581,0.003820,0.000003
0.016000,0.050000,0.049426,-0.062442,27.412170,18.542395,0.037172,-0.000000,500.000000,0.014587,0.005163,0.000004
0.017000,0.050000,0.049363,-0.064057,27.680558,18.380799,0.041435,-0.000000,500.000000,0.018064,0.006835,0.000004
0.018000,0.050000,0.049298,-0.065310,27.955425,18.215646,0.045832,-0.000000,500.000000,0.022037,0.008886,0.000005
0.019000,0.050000,0.049232,-0.066196,28.235287,18.047894,0.050340,-0.000000,500.000000,0.026524,0.011366,0.000006
0.020000,0.050000,0.049166,-0.066707,28.518631,17.878520,0.054938,-0.000000,500.000000,0.031543,0.014328,0.000006
