t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,0.000000,-0.000000,500.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.049997,-0.005661,25.010575,19.994432,0.061673,-0.000000,500.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.049989,-0.010587,25.043095,19.975421,0.110856,-0.000000,500.000000,0.000880,0.000042,0.000000
0.003000,0.050000,0.049976,-0.015461,25.096776,19.943603,0.159355,-0.000000,500.000000,0.004076,0.000307,0.000000
0.004000,0.050000,0.049958,-0.020255,25.171736,19.899165,0.210196,-0.000000,500.000000,0.010658,0.001095,0.000000
0.005000,0.050000,0.049935,-0.024940,25.268118,19.842371,0.264658,-0.000000,500.000000,0.021562,0.002806,0.000000
0.006000,0.050000,0.049908,-0.029487,25.386071,19.773558,0.322983,-0.000000,500.000000,0.037657,0.005924,0.000000
0.007000,0.050000,0.049876,-0.033869,25.525746,19.693140,0.384731,-0.000000,500.000000,0.059763,0.011021,0.000000
0.008000,0.050000,0.049840,-0.038057,25.687289,19.601603,0.449077,-0.000000,500.000000,0.088639,0.018747,0.000001
0.009000,0.050000,0.049800,-0.042022,25.870829,19.499506,0.515040,-0.000000,500.000000,0.124968,0.029821,0.000001
0.010000,0.050000,0.049757,-0.045737,26.076469,19.387483,0.581621,-0.000000,500.000000,0.169327,0.045025,0.000001
0.011000,0.050000,0.049709,-0.049175,26.304267,19.266240,0.647886,-0.000000,500.000000,0.222166,0.065193,0.000001
0.012000,0.050000,0.049658,-0.052308,26.554220,19.136555,0.712982,-0.000000,500.000000,0.283784,0.091191,0.000002
0.013000,0.050000,0.049605,-0.055109,26.826243,18.999274,0.776146,-0.000000,500.000000,0.354322,0.123908,0.000002
0.014000,0.050000,0.049548,-0.057553,27.120145,18.855313,0.836688,-0.000000,500.000000,0.433751,0.164236,0.000002
0.015000,0.050000,0.049490,-0.059614,27.435613,18.705655,0.893977,-0.000000,500.000000,0.521872,0.213052,0.000003
0.016000,0.050000,0.049429,-0.061268,27.772184,18.551347,0.947429,-0.000000,500.000000,0.618321,0.271204,0.000004
0.017000,0.050000,0.049367,-0.062492,28.129233,18.393496,0.996495,-0.000000,500.000000,0.722573,0.339493,0.000004
0.018000,0.050000,0.049304,-0.063263,28.505951,18.233269,1.040654,-0.000000,500.000000,0.833953,0.418659,0.000005
0.019000,0.050000,0.049241,-0.063563,28.901335,18.071885,1.079410,-0.000000,500.000000,0.951646,0.509364,0.000006
0.020000,0.050000,0.049177,-0.063372,29.314170,17.910613,1.112287,-0.000000,500.000000,1.074717,0.612183,0.000006
0.021000,0.050000,0.049114,-0.062674,29.743026,17.750767,1.138833,-0.000000,500.000000,1.202122,0.727587,0.000007
0.022000,0.050000,0.049052,-0.061455,30.186251,17.593699,1.158617,-0.000000,500.000000,1.332729,0.855942,0.000008
0.023000,0.050000,0.048991,-0.059704,30.641971,17.440793,1.171235,-0.000000,500.000000,1.465335,0.997492,0.000009
0.024000,0.050000,0.048933,-0.057411,31.108090,17.293458,1.176310,-0.000000,500.000000,1.598686,1.152359,0.000010
0.025000,0.050000,0.048877,-0.054571,31.582297,17.153121,1.173496,-0.000000,500.000000,1.731494,1.320537,0.000011
0.026000,0.050000,0.048824,-0.051181,32.062078,17.021218,1.162485,-0.000000,500.000000,1.862461,1.501891,0.000013
0.027000,0.050000,0.048775,-0.047242,32.544727,16.899186,1.143004,-0.000000,500.000000,1.990294,1.696156,0.000014
0.028000,0.050000,0.048730,-0.042758,33.027364,16.788455,1.114825,-0.000000,500.000000,2.113723,1.902939,0.000015
0.029000,0.050000,0.048689,-0.037736,33.506956,16.690434,1.077766,-0.000000,500.000000,2.231518,2.121722,0.000016
0.030000,0.050000,0.048654,-0.032189,33.980339,16.606507,1.031693,-0.000000,500.000000,2.342503,2.351868,0.000018
0.031000,0.050000,0.048625,-0.026132,34.444241,16.538020,0.976528,-0.000000,500.000000,2.445567,2.592626,0.000019
0.032000,0.050000,0.048602,-0.019585,34.895314,16.486270,0.912246,-0.000000,500.000000,2.539673,2.843138,0.000021
