t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,-0.000000,-0.000000,500.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.049997,-0.005661,25.010575,19.994432,0.012195,-0.000000,500.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.049989,-0.010587,25.043060,19.975421,0.033399,-0.000000,500.000000,0.000174,0.000008,0.000000
0.003000,0.050000,0.049976,-0.015462,25.096490,19.943603,0.054052,-0.000000,500.000000,0.000970,0.000068,0.000000
0.004000,0.050000,0.049958,-0.020256,25.170696,19.899163,0.074827,-0.000000,500.000000,0.002892,0.000275,0.000000
0.005000,0.050000,0.049935,-0.024942,25.265459,19.842365,0.095607,-0.000000,500.000000,0.006373,0.000768,0.000000
0.006000,0.050000,0.049908,-0.029494,25.380501,19.773540,0.116270,-0.000000,500.000000,0.011778,0.001727,0.000000
0.007000,0.050000,0.049876,-0.033883,25.515475,19.693092,0.136696,-0.000000,500.000000,0.019412,0.003363,0.000000
0.008000,0.050000,0.049840,-0.038084,25.669962,19.601496,0.156765,-0.000000,500.000000,0.029514,0.005916,0.000001
0.009000,0.050000,0.049800,-0.042071,25.843464,19.499292,0.176357,-0.000000,500.000000,0.042264,0.009643,0.000001
0.010000,0.050000,0.049756,-0.045819,26.035396,19.387085,0.195354,-0.000000,500.000000,0.057781,0.014817,0.000001
0.011000,0.050000,0.049709,-0.049306,26.245084,19.265546,0.213638,-0.000000,500.000000,0.076127,0.021720,0.000001
0.012000,0.050000,0.049658,-0.052507,26.471762,19.135402,0.231095,-0.000000,500.000000,0.097308,0.030634,0.000002
0.013000,0.050000,0.049604,-0.055403,26.714568,18.997439,0.247615,-0.000000,500.000000,0.121281,0.041842,0.000002
0.014000,0.050000,0.049547,-0.057972,26.972542,18.852495,0.263088,-0.000000,500.000000,0.147950,0.055616,0.000002
0.015000,0.050000,0.049488,-0.060197,27.244625,18.701460,0.277412,-0.000000,500.000000,0.177181,0.072219,0.000003
0.016000,0.050000,0.049427,-0.062061,27.529664,18.545266,0.290487,-0.000000,500.000000,0.208794,0.091895,0.000004
0.017000,0.050000,0.049364,-0.063548,27.826406,18.384888,0.302220,-0.000000,500.000000,0.242576,0.114869,0.000004
0.018000,0.050000,0.049300,-0.064645,28.133509,18.221336,0.312523,-0.000000,500.000000,0.278284,0.141345,0.000005
0.019000,0.050000,0.049235,-0.065342,28.449540,18.055651,0.321317,-0.000000,500.000000,0.315645,0.171496,0.000006
0.020000,0.050000,0.049169,-0.065628,28.772982,17.888901,0.328526,-0.000000,500.000000,0.354368,0.205472,0.000006
0.021000,0.050000,0.049104,-0.065497,29.102241,17.722172,0.334086,-0.000000,500.000000,0.394141,0.243387,0.000007
0.022000,0.050000,0.049039,-0.064943,29.435653,17.556567,0.337938,-0.000000,500.000000,0.434641,0.285328,0.000008
0.023000,0.050000,0.048974,-0.063965,29.771490,17.393195,0.340035,-0.000000,500.000000,0.475539,0.331346,0.000009
0.024000,0.050000,0.048911,-0.062562,30.107973,17.233167,0.340337,-0.000000,500.000000,0.516498,0.381461,0.000010
0.025000,0.050000,0.048849,-0.060737,30.443279,17.077593,0.338813,-0.000000,500.000000,0.557184,0.435657,0.000012
0.026000,0.050000,0.048789,-0.058493,30.775552,16.927570,0.335445,-0.000000,500.000000,0.597267,0.493887,0.000013
0.027000,0.050000,0.048732,-0.055838,31.102915,16.784178,0.330221,-0.000000,500.000000,0.636421,0.556069,0.000014
0.028000,0.050000,0.048678,-0.052782,31.423481,16.648475,0.323144,-0.000000,500.000000,0.674333,0.622091,0.000015
0.029000,0.050000,0.048627,-0.049337,31.735367,16.521489,0.314224,-0.000000,500.000000,0.710701,0.691811,0.000017
0.030000,0.050000,0.048579,-0.045517,32.036703,16.404212,0.303485,-0.000000,500.000000,0.745240,0.765055,0.000018
0.031000,0.050000,0.048536,-0.041338,32.325647,16.297594,0.290958,-0.000000,500.000000,0.777676,0.841624,0.000020
