t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,0.000000,-0.000000,500.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.049997,-0.005661,25.010575,19.994432,0.117917,-0.000000,500.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.049989,-0.010587,25.043134,19.975421,0.223120,-0.000000,500.000000,0.001682,0.000079,0.000000
0.003000,0.050000,0.049976,-0.015461,25.097118,19.943603,0.329554,-0.000000,500.000000,0.007952,0.000594,0.000000
0.004000,0.050000,0.049958,-0.020254,25.173068,19.899167,0.436593,-0.000000,500.000000,0.021182,0.002153,0.000000
0.005000,0.050000,0.049935,-0.024937,25.271723,19.842378,0.543587,-0.000000,500.000000,0.043428,0.005584,0.000000
0.006000,0.050000,0.049908,-0.029479,25.393968,19.773583,0.649859,-0.000000,500.000000,0.076421,0.011899,0.000000
0.007000,0.050000,0.049876,-0.033849,25.540784,19.693205,0.754701,-0.000000,500.000000,0.121568,0.022263,0.000000
0.008000,0.050000,0.049841,-0.038017,25.713202,19.601752,0.857377,-0.000000,500.000000,0.179950,0.037962,0.000001
0.009000,0.050000,0.049801,-0.041950,25.912248,19.499812,0.957122,-0.000000,500.000000,0.252320,0.060369,0.000001
0.010000,0.050000,0.049757,-0.045615,26.138894,19.388062,1.053142,-0.000000,500.000000,0.339106,0.090912,0.000001
0.011000,0.050000,0.049709,-0.048979,26.394013,19.267264,1.144616,-0.000000,500.000000,0.440417,0.131041,0.000001
0.012000,0.050000,0.049659,-0.052008,26.678325,19.138268,1.230704,-0.000000,500.000000,0.556048,0.182199,0.000002
0.013000,0.050000,0.049606,-0.054669,26.992356,19.002012,1.310545,-0.000000,500.000000,0.685491,0.245789,0.000002
0.014000,0.050000,0.049550,-0.056927,27.336393,18.859522,1.383266,-0.000000,500.000000,0.827947,0.323144,0.000002
0.015000,0.050000,0.049492,-0.058750,27.710447,18.711911,1.447989,-0.000000,500.000000,0.982341,0.415499,0.000003
0.016000,0.050000,0.049432,-0.060105,28.114212,18.560378,1.503836,-0.000000,500.000000,1.147342,0.523969,0.000004
0.017000,0.050000,0.049372,-0.060962,28.547041,18.406203,1.549939,-0.000000,500.000000,1.321386,0.649517,0.000004
0.018000,0.050000,0.049311,-0.061290,29.007914,18.250744,1.585447,-0.000000,500.000000,1.502703,0.792938,0.000005
0.019000,0.050000,0.049249,-0.061062,29.495420,18.095435,1.609539,-0.000000,500.000000,1.689343,0.954840,0.000006
0.020000,0.050000,0.049189,-0.060254,30.007745,17.941776,1.621428,-0.000000,500.000000,1.879212,1.135624,0.000006
0.021000,0.050000,0.049129,-0.058841,30.542662,17.791328,1.620377,-0.000000,500.000000,2.070107,1.335477,0.000007
0.022000,0.050000,0.049071,-0.056807,31.097531,17.645705,1.605705,-0.000000,500.000000,2.259752,1.554359,0.000008
0.023000,0.050000,0.049016,-0.054134,31.669309,17.506562,1.576801,-0.000000,500.000000,2.445838,1.792001,0.000009
0.024000,0.050000,0.048963,-0.050813,32.254563,17.375589,1.533131,-0.000000,500.000000,2.626061,2.047903,0.000010
