t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.050000,0.050000,0.000000,25.000000,20.000000,-0.000000,-0.000000,-800.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.050009,0.017797,24.959461,20.025812,0.000000,-0.178652,-800.000000,0.000000,0.000000,0.000000
0.002000,0.050000,0.050036,0.035268,24.844141,20.097447,-4.844141,0.109019,-800.000000,0.000000,0.000000,0.000000
0.003000,0.050000,0.050079,0.052549,24.651952,20.214196,-5.136366,0.182072,-800.000000,0.000000,0.000000,0.000000
0.004000,0.050000,0.050141,0.069529,24.370434,20.375580,-5.320044,0.255518,-800.000000,0.000000,0.000000,0.000000
0.005000,0.050000,0.050218,0.086088,23.986172,20.581068,-5.372825,0.328867,-800.000000,0.002473,0.000074,0.000000
0.006000,0.050000,0.050313,0.102090,23.488178,20.830190,-5.273448,0.401567,-800.000000,0.014161,0.001004,0.000001
0.007000,0.050000,0.050422,0.117395,22.868499,21.122223,-5.002587,0.473015,-800.000000,0.032400,0.003506,0.000001
0.008000,0.050000,0.050547,0.131854,22.122792,21.456104,-4.543730,0.542568,-800.000000,0.057763,0.008274,0.000002
0.009000,0.050000,0.050686,0.145318,21.250815,21.830456,-3.884032,0.609557,-800.000000,0.090614,0.016044,0.000002
0.010000,0.050000,0.050837,0.157640,20.256785,22.243549,-3.015084,0.673303,-800.000000,0.131117,0.027577,0.000003
0.011000,0.050000,0.051001,0.168682,19.149560,22.693298,-1.933537,0.733138,-800.000000,0.179243,0.043637,0.000004
0.012000,0.050000,0.051174,0.178318,17.942597,23.177256,-0.641530,0.788424,-800.000000,0.234777,0.064976,0.000005
0.013000,0.050000,0.051357,0.186439,16.653658,23.692627,-0.000000,0.838572,-800.000000,0.297332,0.092310,0.000007
0.014000,0.050000,0.051547,0.192956,15.303869,24.236299,-0.000000,0.883060,-800.000000,0.366364,0.126310,0.000008
0.015000,0.050000,0.051742,0.197806,13.915204,24.804875,-0.000000,0.921452,-800.000000,0.441189,0.167580,0.000010
0.016000,0.050000,0.051942,0.200945,12.508450,25.394718,-0.000000,0.953401,-800.000000,0.521007,0.216652,0.000012
0.017000,0.050000,0.052143,0.202355,11.102763,26.001994,-0.000000,0.978647,-800.000000,0.604921,0.273969,0.000014
0.018000,0.050000,0.052346,0.202036,9.715624,26.622711,-0.000000,0.997012,-800.000000,0.691961,0.339881,0.000017
0.019000,0.050000,0.052547,0.200007,8.362827,27.252762,-0.000000,1.008401,-800.000000,0.781113,0.414636,0.000019
0.020000,0.050000,0.052745,0.196306,7.058525,27.887967,-0.000000,1.012789,-800.000000,0.871336,0.498382,0.000022
0.021000,0.050000,0.052939,0.190983,5.815294,28.524111,-0.000000,1.010222,-800.000000,0.961591,0.591160,0.000025
0.022000,0.050000,0.053127,0.184104,4.644254,29.156985,-0.000000,1.000808,-800.000000,1.050858,0.692910,0.000028
0.023000,0.050000,0.053307,0.175748,3.555232,29.782424,-0.000000,0.984715,-800.000000,1.138158,0.803471,0.000031
0.024000,0.050000,0.053478,0.166006,2.557025,30.396346,-0.000000,0.962166,-800.000000,1.222564,0.922588,0.000035
0.025000,0.050000,0.053638,0.154977,1.657855,30.994789,-0.000000,0.933436,-800.000000,1.303222,1.049918,0.000038
0.026000,0.050000,0.053787,0.142772,0.866444,31.573949,-0.000000,0.898847,-800.000000,1.379353,1.185037,0.000042
0.027000,0.050000,0.053923,0.129515,0.196164,32.130225,-0.000000,0.858779,-800.000000,1.450263,1.327447,0.000046
0.028000,0.050000,0.054046,0.115425,0.000000,32.660347,-0.000000,0.813744,-800.000000,1.515344,1.476589,0.000050
0.029000,0.050000,0.054154,0.100980,0.000000,33.162099,-0.000000,0.765249,-800.000000,1.574054,1.631844,0.000054
0.030000,0.050000,0.054248,0.086252,0.000000,33.633734,-0.000000,0.714387,-800.000000,1.625937,1.792547,0.000058
0.031000,0.050000,0.054327,0.071260,0.000000,34.073489,-0.000000,0.661243,-800.000000,1.670648,1.957992,0.000063
0.032000,0.050000,0.054390,0.056021,0.000000,34.479605,-0.000000,0.605866,-800.000000,1.707949,2.127447,0.000067
0.033000,0.050000,0.054439,0.040553,0.000000,34.850342,-0.000000,0.548310,-800.000000,1.737691,2.300160,0.000072
