t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000001,0.002792,24.991320,20.006037,0.000000,-0.030019,0.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000005,0.004750,24.972372,20.018121,0.000000,-0.059517,0.000000,0.000000,0.000000,0.000000
0.003000,0.000003,0.000011,0.006278,24.946057,20.034468,0.000000,-0.090797,0.000000,0.000000,0.000000,0.000000
0.004000,0.000005,0.000018,0.007761,24.913195,20.054460,0.000000,-0.126972,0.000000,0.000000,0.000000,0.000000
0.005000,0.000008,0.000026,0.009197,24.873977,20.077792,0.000000,-0.168087,0.000000,0.000000,0.000000,0.000000
0.006000,0.000011,0.000036,0.010579,24.828627,20.104078,0.000000,-0.214021,0.000000,0.000000,0.000000,0.000000
0.007000,0.000015,0.000047,0.011899,24.777406,20.132850,0.000000,-0.264536,0.000000,0.000000,0.000000,0.000000
0.008000,0.000020,0.000060,0.013150,24.720603,20.163555,0.000001,-0.319268,0.000000,0.000000,0.000000,0.000000
0.009000,0.000025,0.000074,0.014325,24.658539,20.195558,0.000001,-0.377720,0.000000,0.000000,0.000000,0.000000
0.010000,0.000031,0.000089,0.015419,24.591557,20.228144,0.000001,-0.439260,0.000000,0.000000,0.000000,0.000000
0.011000,0.000037,0.000105,0.016428,24.520026,20.260522,0.000001,-0.503112,0.000000,0.000000,0.000000,0.000000
0.012000,0.000044,0.000121,0.017346,24.444331,20.291834,0.000002,-0.568362,0.000000,0.000000,0.000000,0.000000
0.013000,0.000052,0.000139,0.018171,24.364875,20.321158,0.000002,-0.633959,0.000000,0.000000,0.000000,0.000000
0.014000,0.000060,0.000158,0.018901,24.282068,20.347528,0.000002,-0.698715,0.000000,0.000001,0.000000,0.000001
0.015000,0.000069,0.000177,0.019535,24.196331,20.369936,0.000002,-0.761319,0.000000,0.000001,0.000000,0.000001
0.016000,0.000079,0.000197,0.020073,24.108084,20.387357,0.000003,-0.820348,0.000000,0.000001,0.000000,0.000001
0.017000,0.000089,0.000217,0.020514,24.017746,20.398760,0.000003,-0.874279,0.000000,0.000001,0.000000,0.000001
0.018000,0.000100,0.000238,0.020862,23.925729,20.403130,0.000003,-0.921512,0.000000,0.000002,0.000001,0.000001
0.019000,0.000111,0.000259,0.021119,23.832435,20.399491,0.000003,-0.960391,0.000000,0.000002,0.000001,0.000001
0.020000,0.000123,0.000280,0.021288,23.738251,20.386924,0.000004,-0.989229,0.000000,0.000002,0.000001,0.000001
