t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000001,0.002792,24.991320,20.006037,-4.991320,0.058021,0.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000005,0.004749,24.969368,20.018166,-5.468500,0.099654,0.000000,0.000666,0.000031,0.000000
0.003000,0.000003,0.000011,0.006266,24.922487,20.034839,-5.918556,0.132739,0.000000,0.003030,0.000230,0.000000
0.004000,0.000005,0.000018,0.007702,24.834662,20.055803,-6.322980,0.164563,0.000000,0.007712,0.000805,0.000000
0.005000,0.000008,0.000026,0.009013,24.690187,20.081157,-6.661971,0.194175,0.000000,0.015131,0.002017,0.000000
0.006000,0.000011,0.000036,0.010134,24.474746,20.110895,-6.915548,0.220153,0.000000,0.025593,0.004160,0.000000
0.007000,0.000015,0.000046,0.010985,24.175898,20.144859,-7.064175,0.240769,0.000000,0.039278,0.007549,0.000000
0.008000,0.000020,0.000058,0.011478,23.783597,20.182679,-7.089464,0.254031,0.000000,0.056216,0.012510,0.000000
0.009000,0.000025,0.000069,0.011514,23.290710,20.223736,-6.974937,0.257729,0.000000,0.076265,0.019361,0.000000
0.010000,0.000031,0.000080,0.010990,22.693512,20.267110,-6.706809,0.249504,0.000000,0.099083,0.028394,0.000000
0.011000,0.000037,0.000091,0.009802,21.992089,20.311544,-6.274738,0.226923,0.000000,0.124105,0.039852,0.000000
0.012000,0.000044,0.000100,0.007848,21.190635,20.355417,-5.672493,0.187559,0.000000,0.150526,0.053906,0.000000
0.013000,0.000052,0.000106,0.005034,20.297571,20.396719,-4.898492,0.129088,0.000000,0.177275,0.070632,0.000000
0.014000,0.000060,0.000110,0.001828,19.324691,20.433507,-3.955370,0.060789,0.000000,0.203011,0.089982,0.000000
0.015000,0.000069,0.000110,-0.001294,18.284523,20.465334,-2.860275,0.000000,0.000000,0.226234,0.111760,0.000000
0.016000,0.000079,0.000107,-0.004401,17.192419,20.491819,0.077321,-0.491819,0.000000,0.245622,0.135629,0.000001
