t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000001,0.002792,24.991320,20.006037,-4.991320,0.058166,0.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000005,0.004749,24.969368,20.018166,-5.468500,0.100234,0.000000,0.000667,0.000032,0.000000
0.003000,0.000003,0.000011,0.006266,24.922487,20.034840,-5.918556,0.134044,0.000000,0.003042,0.000230,0.000000
0.004000,0.000005,0.000018,0.007702,24.834662,20.055808,-6.322980,0.166883,0.000000,0.007754,0.000809,0.000000
0.005000,0.000008,0.000026,0.009013,24.690187,20.081172,-6.661971,0.197799,0.000000,0.015239,0.002029,0.000000
0.006000,0.000011,0.000036,0.010134,24.474746,20.110935,-6.915548,0.225371,0.000000,0.025826,0.004189,0.000000
0.007000,0.000015,0.000046,0.010985,24.175899,20.144947,-7.064175,0.247872,0.000000,0.039720,0.007614,0.000000
0.008000,0.000020,0.000058,0.011478,23.783598,20.182855,-7.089464,0.263306,0.000000,0.056977,0.012638,0.000000
0.009000,0.000025,0.000069,0.011513,23.290712,20.224056,-6.974938,0.269466,0.000000,0.077485,0.019593,0.000000
0.010000,0.000031,0.000080,0.010989,22.693515,20.267654,-6.706813,0.263990,0.000000,0.100934,0.028786,0.000000
0.011000,0.000037,0.000091,0.009801,21.992096,20.312420,-6.274745,0.244445,0.000000,0.126793,0.040479,0.000000
0.012000,0.000044,0.000100,0.007846,21.190647,20.356765,-5.672506,0.208402,0.000000,0.154288,0.054867,0.000000
0.013000,0.000052,0.000106,0.005032,20.297593,20.398715,-4.898516,0.153534,0.000000,0.182385,0.072052,0.000000
0.014000,0.000060,0.000110,0.001825,19.324725,20.436372,-3.955408,0.089138,0.000000,0.209776,0.092014,0.000000
0.015000,0.000069,0.000110,-0.001298,18.284571,20.469336,-2.860368,0.025003,0.000000,0.234995,0.114590,0.000000
0.016000,0.000079,0.000107,-0.004406,17.192485,20.497275,-1.627027,0.000000,0.000000,0.256670,0.139477,0.000001
0.017000,0.000089,0.000101,-0.007896,16.067183,20.519309,0.114995,-0.519309,0.000000,0.274067,0.166265,0.000001
0.018000,0.000100,0.000091,-0.012492,14.932576,20.532391,0.214329,-0.584322,0.000000,0.281373,0.194250,0.000001
0.019000,0.000111,0.000076,-0.018205,13.814831,20.531598,0.339076,-0.636768,0.000000,0.273317,0.222002,0.000001
0.020000,0.000123,0.000054,-0.024998,12.737207,20.511870,0.488994,-0.670199,0.000000,0.250466,0.248019,0.000001
0.021000,0.000136,0.000025,-0.032810,11.719167,20.468393,0.663320,-0.677910,0.000000,0.213767,0.270875,0.000001
0.022000,0.000149,0.000000,0.000000,10.734030,20.421959,0.000000,-0.678316,0.000000,0.164582,0.289270,0.000001
0.023000,0.000163,0.000000,0.000000,9.689555,20.433911,0.000000,-0.732463,0.000000,0.104557,0.302054,0.000001
0.024000,0.000178,0.000000,0.000000,8.708375,20.435476,0.000000,-0.777419,0.000000,0.034959,0.308233,0.000001
0.025000,0.000193,0.000000,0.000000,7.794458,20.425819,0.000000,-0.811310,0.000000,0.000000,0.308636,0.000001
0.026000,0.000208,0.000000,0.000000,6.949856,20.406344,0.000000,-0.834416,0.000000,0.000000,0.308636,0.000002
0.027000,0.000225,0.000000,0.000000,6.175007,20.376633,0.000000,-0.845341,0.000000,0.000000,0.308636,0.000002
0.028000,0.000242,0.000000,0.000000,5.469014,20.336060,0.000000,-0.842430,0.000000,0.000000,0.308636,0.000002
0.029000,0.000259,0.000000,0.000000,4.829913,20.284142,0.000000,-0.824119,0.000000,0.000000,0.308636,0.000002
0.030000,0.000278,0.000000,0.000000,4.254910,20.220569,0.000000,-0.788960,0.000000,0.000000,0.308636,0.000003
0.031000,0.000296,0.000000,0.000000,3.740595,20.145220,0.000000,-0.735668,0.000000,0.000000,0.308636,0.000003
0.032000,0.000316,0.000000,0.000000,3.283128,20.058183,0.000000,-0.663152,0.000000,0.000000,0.308636,0.000003
0.033000,0.000336,0.000000,0.000000,2.878402,19.959772,0.000000,-0.570559,0.000000,0.000000,0.308636,0.000004
0.034000,0.000356,0.000000,0.000000,2.522181,19.850542,0.000000,-0.457307,0.000000,0.000000,0.308636,0.000004
0.035000,0.000378,0.000000,0.000000,2.210211,19.731304,0.000000,-0.323123,0.000000,0.000000,0.308636,0.000004
0.036000,0.000400,0.000000,0.000000,1.938313,19.603127,0.000000,-0.168077,0.000000,0.000000,0.308636,0.000005
0.037000,0.000422,0.000000,0.000000,1.702455,19.467346,0.000000,-0.000000,0.000000,0.000000,0.308636,0.000005
0.038000,0.000445,0.000000,0.000000,1.498807,19.325558,0.000000,-0.000000,0.000000,0.000000,0.308636,0.000006
0.039000,0.000469,0.000000,0.000000,1.323780,19.179532,0.000000,-0.000000,0.000000,0.000000,0.308636,0.000006
