t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.250000,0.250000,0.000000,25.000000,20.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.250000,0.250001,0.002793,24.992268,20.006509,0.000000,-0.030493,0.000000,0.000000,0.000000,0.000000
0.002000,0.250000,0.250005,0.004751,24.975389,20.019540,0.000000,-0.060994,0.000000,0.000000,0.000000,0.000000
0.003000,0.250000,0.250011,0.006282,24.951940,20.037172,0.000000,-0.093727,0.000000,0.000000,0.000000,0.000000
0.004000,0.250000,0.250018,0.007770,24.922642,20.058740,0.000000,-0.131796,0.000000,0.000000,0.000000,0.000000
0.005000,0.250000,0.250026,0.009215,24.887656,20.083917,0.000000,-0.175255,0.000000,0.000000,0.000000,0.000000
0.006000,0.250000,0.250036,0.010609,24.847169,20.112285,0.000000,-0.223983,0.000000,0.000000,0.000000,0.000000
0.007000,0.250000,0.250048,0.011944,24.801398,20.143332,0.000000,-0.277727,0.000000,0.000000,0.000000,0.000000
0.008000,0.250000,0.250060,0.013215,24.750586,20.176455,0.000000,-0.336094,0.000000,0.000000,0.000000,0.000000
0.009000,0.250000,0.250074,0.014414,24.695001,20.210953,0.000000,-0.398542,0.000000,0.000000,0.000000,0.000000
0.010000,0.250000,0.250089,0.015538,24.634928,20.246039,0.000000,-0.464375,0.000000,0.000000,0.000000,0.000000
0.011000,0.250000,0.250105,0.016582,24.570676,20.280836,0.000000,-0.532738,0.000000,0.000000,0.000000,0.000000
0.012000,0.250000,0.250122,0.017541,24.502566,20.314392,0.000000,-0.602618,0.000000,0.000000,0.000000,0.000001
0.013000,0.250000,0.250140,0.018414,24.430930,20.345683,0.000000,-0.672845,0.000000,0.000000,0.000000,0.000001
0.014000,0.250000,0.250159,0.019199,24.356109,20.373631,0.000000,-0.742098,0.000000,0.000000,0.000000,0.000001
0.015000,0.250000,0.250178,0.019894,24.278451,20.397114,0.000000,-0.808915,0.000000,0.000000,0.000000,0.000001
0.016000,0.250000,0.250199,0.020500,24.198299,20.414988,0.000000,-0.871708,0.000000,0.000000,0.000000,0.000001
0.017000,0.250000,0.250219,0.021019,24.115998,20.426106,0.000000,-0.928779,0.000000,0.000000,0.000000,0.000001
0.018000,0.250000,0.250241,0.021452,24.031883,20.429339,0.000000,-0.978342,0.000000,0.000000,0.000000,0.000002
0.019000,0.250000,0.250262,0.021803,23.946278,20.423606,0.000000,-1.018555,0.000000,0.000000,0.000000,0.000002
0.020000,0.250000,0.250284,0.022075,23.859492,20.407895,0.000000,-1.047544,0.000000,0.000000,0.000000,0.000002
0.021000,0.250000,0.250306,0.022275,23.771817,20.381296,0.000000,-1.063447,0.000000,0.000000,0.000000,0.000003
0.022000,0.250000,0.250329,0.022406,23.683523,20.343031,0.000000,-1.064443,0.000000,0.000000,0.000000,0.000003
0.023000,0.250000,0.250351,0.022477,23.594855,20.292480,0.000000,-1.048802,0.000000,0.000000,0.000000,0.000003
0.024000,0.250000,0.250374,0.022494,23.506034,20.229214,0.000000,-1.014926,0.000000,0.000000,0.000000,0.000004
0.025000,0.250000,0.250396,0.022463,23.417250,20.153021,0.000000,-0.961395,0.000000,0.000000,0.000000,0.000004
0.026000,0.250000,0.250419,0.022394,23.328666,20.063933,0.000000,-0.887013,0.000000,0.000000,0.000000,0.000004
0.027000,0.250000,0.250441,0.022293,23.240414,19.962249,0.000000,-0.790855,0.000000,0.000000,0.000000,0.000005
0.028000,0.250000,0.250463,0.022168,23.152597,19.848553,0.000000,-0.672309,0.000000,0.000000,0.000000,0.000005
0.029000,0.250000,0.250485,0.022026,23.065290,19.723731,0.000000,-0.531123,0.000000,0.000000,0.000000,0.000006
0.030000,0.250000,0.250507,0.021874,22.978542,19.588977,0.000000,-0.367435,0.000000,0.000000,0.000000,0.000006
0.031000,0.250000,0.250529,0.021717,22.892376,19.445801,0.000000,-0.181812,0.000000,0.000000,0.000000,0.000007
0.032000,0.250000,0.250551,0.021561,22.806796,19.296023,-2.806796,0.051705,0.000000,0.000000,0.000000,0.000007
0.033000,0.250000,0.250572,0.021409,22.720355,19.141779,-3.001034,0.053648,0.000000,0.000000,0.000000,0.000008
0.034000,0.250000,0.250593,0.021259,22.626120,18.985432,-3.178835,0.055571,0.000000,0.000000,0.000000,0.000009
0.035000,0.250000,0.250615,0.021100,22.516258,18.829135,-3.331585,0.057474,0.000000,0.000000,0.000000,0.000009
0.036000,0.250000,0.250636,0.020913,22.383560,18.674714,-3.450513,0.059357,0.000000,0.000000,0.000000,0.000010
0.037000,0.250000,0.250656,0.020670,22.221570,18.523667,-3.526879,0.061218,0.000000,0.000000,0.000000,0.000011
0.038000,0.250000,0.250677,0.020337,22.024729,18.377167,-3.552195,0.063051,0.000000,0.000000,0.000000,0.000011
0.039000,0.250000,0.250697,0.019875,21.788527,18.236058,-3.518465,0.064849,0.000000,0.000000,0.000000,0.000012
0.040000,0.250000,0.250717,0.019239,21.509653,18.100867,-3.418445,0.066599,0.000000,0.000000,0.000000,0.000013
0.041000,0.250000,0.250736,0.018385,21.186141,17.971815,-3.245898,0.068288,0.000000,0.000000,0.000000,0.000013
0.042000,0.250000,0.250753,0.017262,20.817487,17.848823,-2.995858,0.069893,0.000000,0.000000,0.000000,0.000014
0.043000,0.250000,0.250770,0.015824,20.404740,17.731536,-2.664860,0.071392,0.000000,0.000000,0.000000,0.000015
0.044000,0.250000,0.250785,0.014025,19.950562,17.619339,-2.251155,0.072754,0.000000,0.000000,0.000000,0.000016
0.045000,0.250000,0.250798,0.011824,19.459229,17.511379,-1.754879,0.073946,0.000000,0.000000,0.000000,0.000016
0.046000,0.250000,0.250808,0.009183,18.936596,17.406595,-1.178169,0.074929,0.000000,0.000000,0.000000,0.000017
0.047000,0.250000,0.250816,0.006074,18.389995,17.303747,-0.525227,0.075659,0.000000,0.000000,0.000000,0.000018
0.048000,0.250000,0.250820,0.002751,17.827850,17.201626,-0.000000,0.076079,0.000000,0.000000,0.000000,0.000019
