t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.250000,0.250000,0.000000,25.000000,20.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.250000,0.250001,0.002793,24.992268,20.006509,0.000000,-0.030493,0.000000,0.000000,0.000000,0.000000
0.002000,0.250000,0.250005,0.004751,24.975389,20.019540,0.000000,-0.060994,0.000000,0.000000,0.000000,0.000000
0.003000,0.250000,0.250011,0.006282,24.951940,20.037172,0.000000,-0.093727,0.000000,0.000000,0.000000,0.000000
0.004000,0.250000,0.250018,0.007770,24.922642,20.058740,0.000000,-0.131796,0.000000,0.000000,0.000000,0.000000
0.005000,0.250000,0.250026,0.009215,24.887656,20.083917,0.000000,-0.175255,0.000000,0.000000,0.000000,0.000000
0.006000,0.250000,0.250036,0.010609,24.847169,20.112285,0.000000,-0.223983,0.000000,0.000000,0.000000,0.000000
0.007000,0.250000,0.250048,0.011944,24.801398,20.143332,0.000000,-0.277727,0.000000,0.000000,0.000000,0.000000
0.008000,0.250000,0.250060,0.013215,24.750586,20.176455,-4.750586,0.055152,0.000000,0.000000,0.000000,0.000000
0.009000,0.250000,0.250074,0.014414,24.692467,20.211124,-5.167526,0.061199,0.000000,0.000000,0.000000,0.000000
0.010000,0.250000,0.250089,0.015528,24.615084,20.247386,-5.559390,0.067031,0.000000,0.000000,0.000000,0.000000
0.011000,0.250000,0.250105,0.016531,24.504686,20.285353,-5.910500,0.072559,0.000000,0.000000,0.000000,0.000000
0.012000,0.250000,0.250122,0.017382,24.348421,20.325018,-6.204703,0.077640,0.000000,0.000000,0.000000,0.000001
0.013000,0.250000,0.250140,0.018029,24.134632,20.366217,-6.425757,0.082074,0.000000,0.000000,0.000000,0.000001
0.014000,0.250000,0.250158,0.018411,23.853199,20.408597,-6.557786,0.085614,0.000000,0.000000,0.000000,0.000001
0.015000,0.250000,0.250176,0.018454,23.495896,20.451588,-6.585804,0.087966,0.000000,0.000000,0.000000,0.000001
0.016000,0.250000,0.250195,0.018082,23.056760,20.494382,-6.496258,0.088801,0.000000,0.000000,0.000000,0.000001
0.017000,0.250000,0.250212,0.017212,22.532427,20.535915,-6.277600,0.087760,0.000000,0.000000,0.000000,0.000001
0.018000,0.250000,0.250229,0.015761,21.922418,20.574863,-5.920834,0.084468,0.000000,0.000000,0.000000,0.000002
0.019000,0.250000,0.250244,0.013646,21.229350,20.609633,-5.420008,0.078543,0.000000,0.000000,0.000000,0.000002
0.020000,0.250000,0.250256,0.010791,20.459038,20.638380,-4.772631,0.069611,0.000000,0.000000,0.000000,0.000002
0.021000,0.250000,0.250265,0.007128,19.620473,20.659016,-3.979970,0.057318,0.000000,0.000000,0.000000,0.000002
0.022000,0.250000,0.250270,0.002796,18.725527,20.669333,-3.047070,0.041482,0.000000,0.000000,0.000000,0.000003
0.023000,0.250000,0.250271,-0.001171,17.786018,20.668934,-1.991525,0.024758,0.000000,0.000000,0.000000,0.000003
0.024000,0.250000,0.250268,-0.004767,16.813822,20.659003,-0.832967,0.009443,0.000000,0.005275,0.000195,0.000003
0.025000,0.250000,0.250261,-0.008630,15.823720,20.640192,-0.000000,0.000000,0.000000,0.015661,0.001380,0.000004
0.026000,0.250000,0.250250,-0.013452,14.834821,20.610401,-0.000000,0.000000,0.000000,0.024821,0.003529,0.000004
0.027000,0.250000,0.250234,-0.019222,13.866483,20.566775,-0.000000,0.000000,0.000000,0.032729,0.006515,0.000004
0.028000,0.250000,0.250211,-0.025901,12.935445,20.506557,0.073036,-0.506557,0.000000,0.039474,0.010218,0.000004
0.029000,0.250000,0.250182,-0.033436,12.055548,20.426824,0.103854,-0.477480,0.000000,0.039360,0.014255,0.000004
0.030000,0.250000,0.250144,-0.041760,11.237973,20.323693,0.138601,-0.417031,0.000000,0.027953,0.017558,0.000005
0.031000,0.250000,0.250098,-0.050793,10.491371,20.193502,0.177039,-0.319209,0.000000,0.007623,0.019142,0.000005
0.032000,0.250000,0.250042,-0.060443,9.822084,20.033548,0.218882,-0.178605,0.000000,0.000000,0.019179,0.000005
0.033000,0.250000,0.249977,-0.070617,9.234405,19.842576,0.263803,-0.000000,0.000000,0.000000,0.019179,0.000005
0.034000,0.250000,0.249901,-0.081213,8.730859,19.619381,0.311447,-0.000000,0.000000,0.000000,0.019179,0.000005
0.035000,0.250000,0.249814,-0.092129,8.312488,19.363377,0.361438,-0.000000,0.000000,0.000000,0.019179,0.000005
0.036000,0.250000,0.249717,-0.103262,7.979137,19.074321,0.413385,-0.000000,0.000000,0.000000,0.019179,0.000005
0.037000,0.250000,0.249608,-0.114509,7.729725,18.752228,0.466890,-0.000000,0.000000,0.000000,0.019179,0.000006
0.038000,0.250000,0.249488,-0.125769,7.562496,18.397366,0.521549,-0.000000,0.000000,0.000000,0.019179,0.000006
0.039000,0.250000,0.249356,-0.136943,7.475240,18.010250,0.576958,-0.000000,0.000000,0.000000,0.019179,0.000007
0.040000,0.250000,0.249214,-0.147934,7.465479,17.591635,0.632716,-0.000000,0.000000,0.000000,0.019179,0.000008
0.041000,0.250000,0.249061,-0.158649,7.530611,17.142508,0.688424,-0.000000,0.000000,0.000000,0.019179,0.000009
0.042000,0.250000,0.248897,-0.168998,7.668015,16.664079,0.743690,-0.000000,0.000000,0.000000,0.019179,0.000010
0.043000,0.250000,0.248723,-0.178894,7.875120,16.157776,0.798127,-0.000000,0.000000,0.000000,0.019179,0.000011
0.044000,0.250000,0.248539,-0.188254,8.149432,15.625228,0.851355,-0.000000,0.000000,0.000000,0.019179,0.000012
0.045000,0.250000,0.248346,-0.196997,8.488540,15.068265,0.903002,-0.000000,0.000000,0.000000,0.019179,0.000014
0.046000,0.250000,0.248145,-0.205048,8.890099,14.488905,0.952703,-0.000000,0.000000,0.000000,0.019179,0.000016
0.047000,0.250000,0.247937,-0.212334,9.351797,13.889347,1.000101,-0.000000,0.000000,0.000000,0.019179,0.000018
0.048000,0.250000,0.247721,-0.218785,9.871315,13.271960,1.044849,-0.000000,0.000000,0.000000,0.019179,0.000020
