t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,0.000000,-0.000000,300.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,24.999204,20.001381,0.000019,-0.001381,300.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000000,0.000000,24.998410,20.002760,0.000077,-0.002898,300.000000,0.000000,0.000000,0.000000
0.003000,0.000003,0.000000,0.000000,24.997617,20.004133,0.000174,-0.004547,300.000000,0.000002,0.000000,0.000000
0.004000,0.000005,0.000000,0.000000,24.996827,20.005495,0.000309,-0.006322,300.000000,0.000007,0.000001,0.000000
0.005000,0.000008,0.000000,0.000000,24.996040,20.006836,0.000482,-0.008213,300.000000,0.000018,0.000002,0.000000
0.006000,0.000011,0.000000,0.000000,24.995257,20.008143,0.000694,-0.010203,300.000000,0.000039,0.000005,0.000000
0.007000,0.000015,0.000000,0.000000,24.994479,20.009401,0.000945,-0.012275,300.000000,0.000074,0.000011,0.000000
0.008000,0.000020,0.000000,0.000000,24.993710,20.010592,0.001234,-0.014407,300.000000,0.000127,0.000021,0.000000
0.009000,0.000025,0.000000,0.000000,24.992952,20.011698,0.001562,-0.016572,300.000000,0.000204,0.000039,0.000000
0.010000,0.000031,0.000000,0.000000,24.992209,20.012695,0.001928,-0.018739,300.000000,0.000310,0.000065,0.000000
0.011000,0.000037,0.000000,0.000000,24.991486,20.013560,0.002333,-0.020873,300.000000,0.000450,0.000105,0.000000
0.012000,0.000044,0.000000,0.000000,24.990787,20.014268,0.002776,-0.022937,300.000000,0.000632,0.000161,0.000000
0.013000,0.000052,0.000000,0.000000,24.990120,20.014793,0.003257,-0.024889,300.000000,0.000859,0.000238,0.000000
0.014000,0.000060,0.000000,0.000000,24.989492,20.015109,0.003777,-0.026685,300.000000,0.001140,0.000341,0.000000
0.015000,0.000069,0.000000,0.000000,24.988910,20.015191,0.004335,-0.028277,300.000000,0.001479,0.000476,0.000000
0.016000,0.000079,0.000000,0.000000,24.988384,20.015013,0.004932,-0.029618,300.000000,0.001883,0.000648,0.000000
0.017000,0.000089,0.000000,0.000000,24.987923,20.014550,0.005567,-0.030657,300.000000,0.002358,0.000866,0.000001
0.018000,0.000100,0.000000,0.000000,24.987539,20.013782,0.006241,-0.031343,300.000000,0.002909,0.001135,0.000001
0.019000,0.000111,0.000000,0.000000,24.987241,20.012687,0.006953,-0.031627,300.000000,0.003543,0.001465,0.000001
0.020000,0.000123,0.000000,0.000000,24.987044,20.011252,0.007703,-0.031460,300.000000,0.004264,0.001864,0.000001
0.021000,0.000136,0.000000,0.000000,24.986959,20.009463,0.008492,-0.030796,300.000000,0.005079,0.002340,0.000001
0.022000,0.000149,0.000000,0.000000,24.987001,20.007312,0.009319,-0.029592,300.000000,0.005993,0.002905,0.000001
0.023000,0.000163,0.000000,0.000000,24.987184,20.004799,0.010184,-0.027810,300.000000,0.007010,0.003567,0.000001
0.024000,0.000178,0.000000,0.000000,24.987524,20.001926,0.011088,-0.025417,300.000000,0.008136,0.004337,0.000002
0.025000,0.000193,0.000000,0.000000,24.988036,19.998705,0.012030,-0.022388,300.000000,0.009375,0.005227,0.000002
0.026000,0.000208,0.000000,0.000000,24.988738,19.995153,0.013010,-0.018707,300.000000,0.010731,0.006249,0.000002
0.027000,0.000225,0.000000,0.000000,24.989646,19.991296,0.014029,-0.014366,300.000000,0.012208,0.007413,0.000002
0.028000,0.000242,0.000000,0.000000,24.990779,19.987168,0.015086,-0.009367,300.000000,0.013811,0.008733,0.000002
0.029000,0.000259,0.000000,0.000000,24.992154,19.982812,0.016182,-0.003727,300.000000,0.015542,0.010221,0.000003
0.030000,0.000278,0.000000,0.000000,24.993791,19.978277,0.017316,-0.000000,300.000000,0.017405,0.011891,0.000003
0.031000,0.000296,0.000000,0.000000,24.995710,19.973624,0.018488,-0.000000,300.000000,0.019403,0.013755,0.000003
0.032000,0.000316,0.000000,0.000000,24.997929,19.968912,0.019698,-0.000000,300.000000,0.021540,0.015828,0.000004
0.033000,0.000336,0.000000,0.000000,25.000470,19.964197,0.020947,-0.000000,300.000000,0.023817,0.018123,0.000004
0.034000,0.000356,0.000000,0.000000,25.003353,19.959529,0.022235,-0.000000,300.000000,0.026237,0.020655,0.000004
0.035000,0.000378,0.000000,0.000000,25.006600,19.954951,0.023561,-0.000000,300.000000,0.028803,0.023438,0.000005
0.036000,0.000400,0.000000,0.000000,25.010231,19.950500,0.024925,-0.000000,300.000000,0.031516,0.026487,0.000005
0.037000,0.000422,0.000000,0.000000,25.014268,19.946208,0.026328,-0.000000,300.000000,0.034377,0.029816,0.000005
0.038000,0.000445,0.000000,0.000000,25.018734,19.942102,0.027769,-0.000000,300.000000,0.037390,0.033441,0.000006
0.039000,0.000469,0.000000,0.000000,25.023651,19.938206,0.029249,-0.000000,300.000000,0.040554,0.037376,0.000006
0.040000,0.000493,0.000000,0.000000,25.029041,19.934536,0.030768,-0.000000,300.000000,0.043872,0.041638,0.000007
0.041000,0.000518,0.000000,0.000000,25.034926,19.931108,0.032325,-0.000000,300.000000,0.047344,0.046241,0.000007
0.042000,0.000544,0.000000,0.000000,25.041329,19.927933,0.033921,-0.000000,300.000000,0.050972,0.051201,0.000008
0.043000,0.000570,0.000000,0.000000,25.048273,19.925019,0.035556,-0.000000,300.000000,0.054756,0.056533,0.000008
0.044000,0.000597,0.000000,0.000000,25.055781,19.922369,0.037229,-0.000000,300.000000,0.058696,0.062254,0.000009
0.045000,0.000624,0.000000,0.000000,25.063875,19.919988,0.038941,-0.000000,300.000000,0.062794,0.068378,0.000010
0.046000,0.000652,0.000000,0.000000,25.072580,19.917875,0.040692,-0.000000,300.000000,0.067049,0.074923,0.000010
0.047000,0.000681,0.000000,0.000000,25.081917,19.916027,0.042482,-0.000000,300.000000,0.071462,0.081902,0.000011
0.048000,0.000710,0.000000,0.000000,25.091909,19.914442,0.044311,-0.000000,300.000000,0.076033,0.089333,0.000012
0.049000,0.000740,0.000000,0.000000,25.102581,19.913114,0.046180,-0.000000,300.000000,0.080763,0.097230,0.000012
0.050000,0.000771,0.000000,0.000000,25.113954,19.912037,0.048087,-0.000000,300.000000,0.085651,0.105611,0.000013
0.051000,0.000802,0.000000,0.000000,25.126052,19.911203,0.050034,-0.000000,300.000000,0.090697,0.114490,0.000014
0.052000,0.000834,0.000000,0.000000,25.138898,19.910604,0.052020,-0.000000,300.000000,0.095901,0.123884,0.000015
0.053000,0.000866,0.000000,0.000000,25.152514,19.910231,0.054045,-0.000000,300.000000,0.101263,0.133808,0.000016
0.054000,0.000899,0.000000,0.000000,25.166923,19.910073,0.056110,-0.000000,300.000000,0.106783,0.144278,0.000017
0.055000,0.000932,0.000000,0.000000,25.182149,19.910122,0.058215,-0.000000,300.000000,0.112460,0.155310,0.000018
0.056000,0.000967,0.000000,0.000000,25.198213,19.910366,0.060359,-0.000000,300.000000,0.118294,0.166919,0.000019
0.057000,0.001001,0.000000,0.000000,25.215139,19.910796,0.062543,-0.000000,300.000000,0.124285,0.179122,0.000020
0.058000,0.001037,0.000000,0.000000,25.232949,19.911400,0.064768,-0.000000,300.000000,0.130432,0.191933,0.000021
0.059000,0.001073,0.000000,0.000000,25.251665,19.912168,0.067032,-0.000000,300.000000,0.136735,0.205369,0.000022
0.060000,0.001110,0.000000,0.000000,25.271309,19.913090,0.069337,-0.000000,300.000000,0.143193,0.219445,0.000023
0.061000,0.001147,0.000000,0.000000,25.291905,19.914155,0.071682,-0.000000,300.000000,0.149807,0.234177,0.000024
0.062000,0.001185,0.000000,0.000000,25.313473,19.915355,0.074068,-0.000000,300.000000,0.156574,0.249579,0.000025
0.063000,0.001223,0.000000,0.000000,25.336036,19.916678,0.076494,-0.000000,300.000000,0.163496,0.265668,0.000026
0.064000,0.001262,0.000000,0.000000,25.359616,19.918116,0.078962,-0.000000,300.000000,0.170570,0.282459,0.000028
0.065000,0.001302,0.000000,0.000000,25.384234,19.919661,0.081470,-0.000000,300.000000,0.177798,0.299966,0.000029
0.066000,0.001342,0.000000,0.000000,25.409913,19.921303,0.084020,-0.000000,300.000000,0.185178,0.318206,0.000030
0.067000,0.001383,0.000000,0.000000,25.436674,19.923036,0.086611,-0.000000,300.000000,0.192867,0.337197,0.000032
0.068000,0.001425,0.000000,0.000000,25.464538,19.924870,0.089243,-0.000000,300.000000,0.201115,0.356999,0.000033
0.069000,0.001467,0.000000,0.000000,25.493527,19.926803,0.091918,-0.000000,300.000000,0.209442,0.377630,0.000034
0.070000,0.001510,0.000000,0.000000,25.523662,19.928825,0.094634,-0.000000,300.000000,0.217851,0.399099,0.000036
0.071000,0.001553,0.000000,0.000000,25.554964,19.930928,0.097393,-0.000000,300.000000,0.226348,0.421415,0.000038
0.072000,0.001597,0.000000,0.000000,25.587455,19.933102,0.100194,-0.000000,300.000000,0.234935,0.444586,0.000039
0.073000,0.001642,0.000000,0.000000,25.621155,19.935342,0.103038,-0.000000,300.000000,0.243617,0.468621,0.000041
0.074000,0.001687,0.000000,0.000000,25.656084,19.937639,0.105925,-0.000000,300.000000,0.252397,0.493531,0.000042
0.075000,0.001733,0.000000,0.000000,25.692265,19.939988,0.108854,-0.000000,300.000000,0.261280,0.519325,0.000044
0.076000,0.001779,0.000000,0.000000,25.729717,19.942384,0.111828,-0.000000,300.000000,0.270268,0.546014,0.000046
0.077000,0.001826,0.000000,0.000000,25.768461,19.944821,0.114845,-0.000000,300.000000,0.279365,0.573608,0.000048
0.078000,0.001874,0.000000,0.000000,25.808518,19.947295,0.117906,-0.000000,300.000000,0.288574,0.602119,0.000050
0.079000,0.001922,0.000000,0.000000,25.849907,19.949802,0.121011,-0.000000,300.000000,0.297899,0.631559,0.000052
0.080000,0.001971,0.000000,0.000000,25.892649,19.952340,0.124161,-0.000000,300.000000,0.307341,0.661938,0.000054
0.081000,0.002021,0.000000,0.000000,25.936765,19.954905,0.127356,-0.000000,300.000000,0.316905,0.693269,0.000056
0.082000,0.002071,0.000000,0.000000,25.982274,19.957496,0.130596,-0.000000,300.000000,0.326592,0.725564,0.000058
0.083000,0.002122,0.000000,0.000000,26.029196,19.960110,0.133881,-0.000000,300.000000,0.336405,0.758835,0.000060
0.084000,0.002173,0.000000,0.000000,26.077551,19.962746,0.137212,-0.000000,300.000000,0.346346,0.793096,0.000062
0.085000,0.002225,0.000000,0.000000,26.127359,19.965403,0.140590,-0.000000,300.000000,0.356416,0.828359,0.000064
0.086000,0.002278,0.000000,0.000000,26.178639,19.968081,0.144014,-0.000000,300.000000,0.366619,0.864637,0.000066
0.087000,0.002331,0.000000,0.000000,26.231412,19.970779,0.147485,-0.000000,300.000000,0.376954,0.901944,0.000069
