t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,-0.000000,-0.000000,300.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,24.999204,20.001381,0.000145,-0.001381,300.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000000,0.000000,24.998410,20.002760,0.000580,-0.002898,300.000000,0.000002,0.000000,0.000000
0.003000,0.000003,0.000000,0.000000,24.997618,20.004133,0.001305,-0.004547,300.000000,0.000014,0.000001,0.000000
0.004000,0.000005,0.000000,0.000000,24.996832,20.005495,0.002320,-0.006322,300.000000,0.000051,0.000004,0.000000
0.005000,0.000008,0.000000,0.000000,24.996056,20.006836,0.003624,-0.008213,300.000000,0.000135,0.000014,0.000000
0.006000,0.000011,0.000000,0.000000,24.995299,20.008143,0.005219,-0.010203,300.000000,0.000292,0.000037,0.000000
0.007000,0.000015,0.000000,0.000000,24.994575,20.009401,0.007104,-0.012276,300.000000,0.000553,0.000081,0.000000
0.008000,0.000020,0.000000,0.000000,24.993901,20.010593,0.009278,-0.014407,300.000000,0.000953,0.000160,0.000000
0.009000,0.000025,0.000000,0.000000,24.993300,20.011698,0.011743,-0.016572,300.000000,0.001531,0.000290,0.000000
0.010000,0.000031,0.000000,0.000000,24.992802,20.012695,0.014497,-0.018739,300.000000,0.002327,0.000491,0.000000
0.011000,0.000037,0.000000,0.000000,24.992442,20.013561,0.017541,-0.020874,300.000000,0.003385,0.000788,0.000000
0.012000,0.000044,0.000000,0.000000,24.992262,20.014270,0.020875,-0.022939,300.000000,0.004747,0.001209,0.000000
0.013000,0.000052,0.000000,0.000000,24.992310,20.014796,0.024499,-0.024893,300.000000,0.006460,0.001788,0.000000
0.014000,0.000060,0.000000,0.000000,24.992641,20.015115,0.028413,-0.026691,300.000000,0.008569,0.002563,0.000000
0.015000,0.000069,0.000000,0.000000,24.993317,20.015199,0.032617,-0.028287,300.000000,0.011120,0.003575,0.000000
0.016000,0.000079,0.000000,0.000000,24.994406,20.015025,0.037111,-0.029632,300.000000,0.014157,0.004873,0.000000
0.017000,0.000089,0.000000,0.000000,24.995983,20.014567,0.041894,-0.030677,300.000000,0.017727,0.006508,0.000001
0.018000,0.000100,0.000000,0.000000,24.998129,20.013805,0.046968,-0.031372,300.000000,0.021873,0.008535,0.000001
0.019000,0.000111,0.000000,0.000000,25.000932,20.012720,0.052331,-0.031667,300.000000,0.026639,0.011015,0.000001
0.020000,0.000123,0.000000,0.000000,25.004488,20.011296,0.057984,-0.031515,300.000000,0.032067,0.014013,0.000001
0.021000,0.000136,0.000000,0.000000,25.008894,20.009520,0.063927,-0.030869,300.000000,0.038196,0.017597,0.000001
0.022000,0.000149,0.000000,0.000000,25.014259,20.007387,0.070159,-0.029688,300.000000,0.045067,0.021840,0.000001
0.023000,0.000163,0.000000,0.000000,25.020692,20.004895,0.076682,-0.027934,300.000000,0.052716,0.026819,0.000001
0.024000,0.000178,0.000000,0.000000,25.028312,20.002047,0.083494,-0.025576,300.000000,0.061180,0.032613,0.000002
0.025000,0.000193,0.000000,0.000000,25.037238,19.998857,0.090596,-0.022591,300.000000,0.070491,0.039306,0.000002
0.026000,0.000208,0.000000,0.000000,25.047600,19.995341,0.097987,-0.018961,300.000000,0.080681,0.046985,0.000002
0.027000,0.000225,0.000000,0.000000,25.059526,19.991527,0.105669,-0.014681,300.000000,0.091781,0.055740,0.000002
