t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,0.000000,-0.000000,300.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,24.999204,20.001381,0.000000,-0.001381,300.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000000,0.000000,24.998410,20.002760,0.000001,-0.002898,300.000000,0.000000,0.000000,0.000000
0.003000,0.000003,0.000000,0.000000,24.997617,20.004133,0.000002,-0.004547,300.000000,0.000000,0.000000,0.000000
0.004000,0.000005,0.000000,0.000000,24.996826,20.005495,0.000005,-0.006322,300.000000,0.000000,0.000000,0.000000
0.005000,0.000008,0.000000,0.000000,24.996037,20.006836,0.000009,-0.008213,300.000000,0.000000,0.000000,0.000000
0.006000,0.000011,0.000000,0.000000,24.995250,20.008143,0.000015,-0.010203,300.000000,0.000001,0.000000,0.000000
0.007000,0.000015,0.000000,0.000000,24.994465,20.009401,0.000022,-0.012275,300.000000,0.000001,0.000000,0.000000
0.008000,0.000020,0.000000,0.000000,24.993681,20.010592,0.000033,-0.014407,300.000000,0.000002,0.000000,0.000000
0.009000,0.000025,0.000000,0.000000,24.992900,20.011698,0.000046,-0.016572,300.000000,0.000004,0.000001,0.000000
0.010000,0.000031,0.000000,0.000000,24.992120,20.012695,0.000062,-0.018738,300.000000,0.000006,0.000001,0.000000
0.011000,0.000037,0.000000,0.000000,24.991342,20.013559,0.000081,-0.020873,300.000000,0.000010,0.000002,0.000000
0.012000,0.000044,0.000000,0.000000,24.990566,20.014267,0.000104,-0.022936,300.000000,0.000015,0.000003,0.000000
0.013000,0.000052,0.000000,0.000000,24.989792,20.014792,0.000131,-0.024888,300.000000,0.000023,0.000005,0.000000
0.014000,0.000060,0.000000,0.000000,24.989020,20.015109,0.000163,-0.026684,300.000000,0.000032,0.000008,0.000000
0.015000,0.000069,0.000000,0.000000,24.988251,20.015190,0.000199,-0.028276,300.000000,0.000044,0.000012,0.000000
0.016000,0.000079,0.000000,0.000000,24.987485,20.015011,0.000239,-0.029616,300.000000,0.000060,0.000018,0.000000
0.017000,0.000089,0.000000,0.000000,24.986722,20.014548,0.000286,-0.030654,300.000000,0.000080,0.000025,0.000001
0.018000,0.000100,0.000000,0.000000,24.985963,20.013778,0.000337,-0.031339,300.000000,0.000104,0.000034,0.000001
0.019000,0.000111,0.000000,0.000000,24.985207,20.012683,0.000395,-0.031621,300.000000,0.000133,0.000046,0.000001
0.020000,0.000123,0.000000,0.000000,24.984456,20.011245,0.000459,-0.031452,300.000000,0.000169,0.000062,0.000001
0.021000,0.000136,0.000000,0.000000,24.983710,20.009454,0.000529,-0.030785,300.000000,0.000211,0.000081,0.000001
0.022000,0.000149,0.000000,0.000000,24.982970,20.007301,0.000606,-0.029578,300.000000,0.000261,0.000105,0.000001
0.023000,0.000163,0.000000,0.000000,24.982238,20.004784,0.000690,-0.027791,300.000000,0.000319,0.000135,0.000001
0.024000,0.000178,0.000000,0.000000,24.981513,20.001908,0.000782,-0.025393,300.000000,0.000386,0.000171,0.000002
0.025000,0.000193,0.000000,0.000000,24.980797,19.998682,0.000882,-0.022358,300.000000,0.000464,0.000214,0.000002
0.026000,0.000208,0.000000,0.000000,24.980092,19.995125,0.000989,-0.018669,300.000000,0.000553,0.000266,0.000002
0.027000,0.000225,0.000000,0.000000,24.979399,19.991262,0.001105,-0.014319,300.000000,0.000654,0.000328,0.000002
0.028000,0.000242,0.000000,0.000000,24.978720,19.987127,0.001230,-0.009310,300.000000,0.000769,0.000400,0.000002
0.029000,0.000259,0.000000,0.000000,24.978056,19.982762,0.001363,-0.003658,300.000000,0.000897,0.000485,0.000003
0.030000,0.000278,0.000000,0.000000,24.977409,19.978218,0.001506,-0.000000,300.000000,0.001042,0.000584,0.000003
0.031000,0.000296,0.000000,0.000000,24.976782,19.973553,0.001659,-0.000000,300.000000,0.001202,0.000698,0.000003
0.032000,0.000316,0.000000,0.000000,24.976178,19.968829,0.001821,-0.000000,300.000000,0.001381,0.000829,0.000004
0.033000,0.000336,0.000000,0.000000,24.975598,19.964100,0.001994,-0.000000,300.000000,0.001578,0.000979,0.000004
0.034000,0.000356,0.000000,0.000000,24.975046,19.959416,0.002177,-0.000000,300.000000,0.001795,0.001151,0.000004
0.035000,0.000378,0.000000,0.000000,24.974525,19.954819,0.002371,-0.000000,300.000000,0.002033,0.001345,0.000005
0.036000,0.000400,0.000000,0.000000,24.974037,19.950346,0.002576,-0.000000,300.000000,0.002294,0.001564,0.000005
0.037000,0.000422,0.000000,0.000000,24.973588,19.946030,0.002793,-0.000000,300.000000,0.002578,0.001811,0.000005
0.038000,0.000445,0.000000,0.000000,24.973179,19.941896,0.003021,-0.000000,300.000000,0.002887,0.002088,0.000006
0.039000,0.000469,0.000000,0.000000,24.972816,19.937967,0.003261,-0.000000,300.000000,0.003223,0.002398,0.000006
0.040000,0.000493,0.000000,0.000000,24.972502,19.934262,0.003514,-0.000000,300.000000,0.003585,0.002742,0.000007
0.041000,0.000518,0.000000,0.000000,24.972241,19.930793,0.003780,-0.000000,300.000000,0.003976,0.003125,0.000007
0.042000,0.000544,0.000000,0.000000,24.972039,19.927573,0.004058,-0.000000,300.000000,0.004397,0.003549,0.000008
0.043000,0.000570,0.000000,0.000000,24.971899,19.924608,0.004350,-0.000000,300.000000,0.004850,0.004017,0.000008
0.044000,0.000597,0.000000,0.000000,24.971826,19.921903,0.004655,-0.000000,300.000000,0.005334,0.004532,0.000009
0.045000,0.000624,0.000000,0.000000,24.971826,19.919459,0.004974,-0.000000,300.000000,0.005852,0.005097,0.000010
0.046000,0.000652,0.000000,0.000000,24.971903,19.917277,0.005308,-0.000000,300.000000,0.006406,0.005717,0.000010
0.047000,0.000681,0.000000,0.000000,24.972064,19.915355,0.005656,-0.000000,300.000000,0.006995,0.006394,0.000011
0.048000,0.000710,0.000000,0.000000,24.972313,19.913687,0.006018,-0.000000,300.000000,0.007622,0.007132,0.000012
0.049000,0.000740,0.000000,0.000000,24.972656,19.912269,0.006396,-0.000000,300.000000,0.008288,0.007936,0.000012
0.050000,0.000771,0.000000,0.000000,24.973100,19.911094,0.006789,-0.000000,300.000000,0.008994,0.008808,0.000013
0.051000,0.000802,0.000000,0.000000,24.973651,19.910153,0.007198,-0.000000,300.000000,0.009742,0.009754,0.000014
0.052000,0.000834,0.000000,0.000000,24.974314,19.909439,0.007623,-0.000000,300.000000,0.010532,0.010777,0.000015
0.053000,0.000866,0.000000,0.000000,24.975097,19.908940,0.008064,-0.000000,300.000000,0.011366,0.011882,0.000016
0.054000,0.000899,0.000000,0.000000,24.976006,19.908647,0.008521,-0.000000,300.000000,0.012246,0.013074,0.000017
0.055000,0.000932,0.000000,0.000000,24.977047,19.908550,0.008996,-0.000000,300.000000,0.013171,0.014356,0.000018
0.056000,0.000967,0.000000,0.000000,24.978228,19.908638,0.009488,-0.000000,300.000000,0.014145,0.015733,0.000019
0.057000,0.001001,0.000000,0.000000,24.979556,19.908899,0.009997,-0.000000,300.000000,0.015168,0.017211,0.000020
0.058000,0.001037,0.000000,0.000000,24.981039,19.909323,0.010524,-0.000000,300.000000,0.016241,0.018795,0.000021
0.059000,0.001073,0.000000,0.000000,24.982683,19.909898,0.011069,-0.000000,300.000000,0.017366,0.020489,0.000022
0.060000,0.001110,0.000000,0.000000,24.984497,19.910613,0.011632,-0.000000,300.000000,0.018543,0.022299,0.000023
0.061000,0.001147,0.000000,0.000000,24.986488,19.911459,0.012214,-0.000000,300.000000,0.019775,0.024229,0.000024
0.062000,0.001185,0.000000,0.000000,24.988665,19.912424,0.012815,-0.000000,300.000000,0.021062,0.026287,0.000025
0.063000,0.001223,0.000000,0.000000,24.991035,19.913498,0.013436,-0.000000,300.000000,0.022405,0.028477,0.000026
0.064000,0.001262,0.000000,0.000000,24.993608,19.914672,0.014075,-0.000000,300.000000,0.023806,0.030804,0.000028
0.065000,0.001302,0.000000,0.000000,24.996391,19.915936,0.014735,-0.000000,300.000000,0.025266,0.033276,0.000029
0.066000,0.001342,0.000000,0.000000,24.999393,19.917281,0.015415,-0.000000,300.000000,0.026787,0.035897,0.000030
0.067000,0.001383,0.000000,0.000000,25.002623,19.918700,0.016115,-0.000000,300.000000,0.028530,0.038678,0.000032
0.068000,0.001425,0.000000,0.000000,25.006090,19.920202,0.016836,-0.000000,300.000000,0.030738,0.041669,0.000033
0.069000,0.001467,0.000000,0.000000,25.009804,19.921784,0.017578,-0.000000,300.000000,0.032939,0.044881,0.000034
0.070000,0.001510,0.000000,0.000000,25.013773,19.923436,0.018341,-0.000000,300.000000,0.035138,0.048312,0.000036
0.071000,0.001553,0.000000,0.000000,25.018008,19.925149,0.019125,-0.000000,300.000000,0.037340,0.051963,0.000038
0.072000,0.001597,0.000000,0.000000,25.022517,19.926913,0.019932,-0.000000,300.000000,0.039552,0.055835,0.000039
0.073000,0.001642,0.000000,0.000000,25.027312,19.928721,0.020761,-0.000000,300.000000,0.041778,0.059930,0.000041
0.074000,0.001687,0.000000,0.000000,25.032400,19.930564,0.021612,-0.000000,300.000000,0.044024,0.064248,0.000042
0.075000,0.001733,0.000000,0.000000,25.037794,19.932437,0.022486,-0.000000,300.000000,0.046296,0.068792,0.000044
0.076000,0.001779,0.000000,0.000000,25.043503,19.934334,0.023383,-0.000000,300.000000,0.048599,0.073565,0.000046
0.077000,0.001826,0.000000,0.000000,25.049538,19.936247,0.024303,-0.000000,300.000000,0.050937,0.078571,0.000048
0.078000,0.001874,0.000000,0.000000,25.055909,19.938173,0.025247,-0.000000,300.000000,0.053316,0.083813,0.000050
0.079000,0.001922,0.000000,0.000000,25.062627,19.940107,0.026215,-0.000000,300.000000,0.055741,0.089296,0.000052
0.080000,0.001971,0.000000,0.000000,25.069703,19.942045,0.027207,-0.000000,300.000000,0.058215,0.095024,0.000054
0.081000,0.002021,0.000000,0.000000,25.077148,19.943984,0.028223,-0.000000,300.000000,0.060744,0.101003,0.000056
0.082000,0.002071,0.000000,0.000000,25.084974,19.945920,0.029264,-0.000000,300.000000,0.063331,0.107239,0.000058
0.083000,0.002122,0.000000,0.000000,25.093191,19.947852,0.030330,-0.000000,300.000000,0.065980,0.113737,0.000060
0.084000,0.002173,0.000000,0.000000,25.101811,19.949777,0.031422,-0.000000,300.000000,0.068696,0.120504,0.000062
