t,x_ref,x_p,v_p,P1_bar,P2_bar,u1,u2,F_ext,Q_s_lpm,energy_J,iae_cumulative
0.000000,0.000000,0.000000,0.000000,25.000000,20.000000,-0.000000,-0.000000,300.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,24.999204,20.001381,0.001258,-0.001381,300.000000,0.000000,0.000000,0.000000
0.002000,0.000001,0.000000,0.000000,24.998410,20.002760,0.003800,-0.002898,300.000000,0.000018,0.000001,0.000000
0.003000,0.000003,0.000000,0.000000,24.997626,20.004133,0.006391,-0.004547,300.000000,0.000105,0.000007,0.000000
0.004000,0.000005,0.000000,0.000000,24.996865,20.005495,0.009031,-0.006322,300.000000,0.000325,0.000030,0.000000
0.005000,0.000008,0.000000,0.000000,24.996152,20.006836,0.011720,-0.008213,300.000000,0.000734,0.000087,0.000000
0.006000,0.000011,0.000000,0.000000,24.995518,20.008143,0.014459,-0.010203,300.000000,0.001383,0.000199,0.000000
0.007000,0.000015,0.000000,0.000000,24.995003,20.009401,0.017247,-0.012276,300.000000,0.002315,0.000393,0.000000
0.008000,0.000020,0.000000,0.000000,24.994651,20.010594,0.020084,-0.014408,300.000000,0.003569,0.000700,0.000000
0.009000,0.000025,0.000000,0.000000,24.994511,20.011700,0.022971,-0.016574,300.000000,0.005179,0.001155,0.000000
0.010000,0.000031,0.000000,0.000000,24.994640,20.012698,0.025907,-0.018742,300.000000,0.007173,0.001794,0.000000
0.011000,0.000037,0.000000,0.000000,24.995095,20.013565,0.028892,-0.020879,300.000000,0.009574,0.002658,0.000000
0.012000,0.000044,0.000000,0.000000,24.995937,20.014276,0.031927,-0.022947,300.000000,0.012403,0.003789,0.000000
0.013000,0.000052,0.000000,0.000000,24.997232,20.014806,0.035010,-0.024904,300.000000,0.015675,0.005230,0.000000
0.014000,0.000060,0.000000,0.000000,24.999044,20.015129,0.038143,-0.026708,300.000000,0.019403,0.007027,0.000000
0.015000,0.000069,0.000000,0.000000,25.001441,20.015218,0.041326,-0.028310,300.000000,0.023595,0.009226,0.000000
0.016000,0.000079,0.000000,0.000000,25.004493,20.015050,0.044557,-0.029664,300.000000,0.028257,0.011873,0.000000
0.017000,0.000089,0.000000,0.000000,25.008267,20.014601,0.047838,-0.030719,300.000000,0.033393,0.015016,0.000001
0.018000,0.000100,0.000000,0.000000,25.012834,20.013849,0.051168,-0.031427,300.000000,0.039003,0.018702,0.000001
0.019000,0.000111,0.000000,0.000000,25.018264,20.012774,0.054547,-0.031738,300.000000,0.045087,0.022979,0.000001
0.020000,0.000123,0.000000,0.000000,25.024623,20.011363,0.057976,-0.031604,300.000000,0.051642,0.027894,0.000001
0.021000,0.000136,0.000000,0.000000,25.031982,20.009602,0.061453,-0.030979,300.000000,0.058661,0.033493,0.000001
0.022000,0.000149,0.000000,0.000000,25.040408,20.007485,0.064980,-0.029822,300.000000,0.066141,0.039823,0.000001
0.023000,0.000163,0.000000,0.000000,25.049966,20.005010,0.068556,-0.028096,300.000000,0.074072,0.046930,0.000001
0.024000,0.000178,0.000000,0.000000,25.060721,20.002182,0.072181,-0.025769,300.000000,0.082447,0.054857,0.000002
0.025000,0.000193,0.000000,0.000000,25.072738,19.999011,0.075856,-0.022817,300.000000,0.091255,0.063649,0.000002
0.026000,0.000208,0.000000,0.000000,25.086079,19.995517,0.079579,-0.019223,300.000000,0.100487,0.073348,0.000002
0.027000,0.000225,0.000000,0.000000,25.100803,19.991724,0.083352,-0.014982,300.000000,0.110131,0.083996,0.000002
0.028000,0.000242,0.000000,0.000000,25.116969,19.987667,0.087174,-0.010097,300.000000,0.120176,0.095634,0.000002
0.029000,0.000259,0.000000,0.000000,25.134636,19.983388,0.091045,-0.004585,300.000000,0.130611,0.108301,0.000003
0.030000,0.000278,0.000000,0.000000,25.153857,19.978937,0.094965,-0.000000,300.000000,0.141424,0.122035,0.000003
0.031000,0.000296,0.000000,0.000000,25.174687,19.974375,0.098934,-0.000000,300.000000,0.152601,0.136873,0.000003
0.032000,0.000316,0.000000,0.000000,25.197177,19.969764,0.102952,-0.000000,300.000000,0.164132,0.152851,0.000004
0.033000,0.000336,0.000000,0.000000,25.221376,19.965161,0.107020,-0.000000,300.000000,0.176004,0.170004,0.000004
0.034000,0.000356,0.000000,0.000000,25.247334,19.960617,0.111136,-0.000000,300.000000,0.188204,0.188364,0.000004
0.035000,0.000378,0.000000,0.000000,25.275095,19.956178,0.115302,-0.000000,300.000000,0.200721,0.207964,0.000005
0.036000,0.000400,0.000000,0.000000,25.304706,19.951882,0.119516,-0.000000,300.000000,0.213543,0.228835,0.000005
0.037000,0.000422,0.000000,0.000000,25.336207,19.947764,0.123780,-0.000000,300.000000,0.226658,0.251007,0.000005
0.038000,0.000445,0.000000,0.000000,25.369640,19.943853,0.128093,-0.000000,300.000000,0.240055,0.274508,0.000006
0.039000,0.000469,0.000000,0.000000,25.405045,19.940172,0.132454,-0.000000,300.000000,0.253723,0.299366,0.000006
0.040000,0.000493,0.000000,0.000000,25.442458,19.936742,0.136865,-0.000000,300.000000,0.267651,0.325607,0.000007
0.041000,0.000518,0.000000,0.000000,25.481917,19.933578,0.141325,-0.000000,300.000000,0.281829,0.353256,0.000007
