t,T_ref,T_pot,T_abs,G_b,T_amb,V_wind,phi_pcm,f_shade,Q_absorbed,iae_cumulative
0.000000,95.000000,30.000000,30.000000,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,1950.000000
30.000000,95.000000,30.010579,32.655150,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,3899.682641
60.000000,95.000000,30.041875,34.876049,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,5848.426400
90.000000,95.000000,30.090291,36.733023,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,7795.717656
120.000000,95.000000,30.152819,38.285445,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,9741.133091
150.000000,95.000000,30.226941,39.583310,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,11684.324855
180.000000,95.000000,30.310559,40.668619,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,13625.008089
210.000000,95.000000,30.401921,41.576595,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,15562.950462
240.000000,95.000000,30.499569,42.336728,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,17497.963404
270.000000,95.000000,30.602288,42.973672,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,19429.894768
300.000000,95.000000,30.709069,43.508022,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,21358.622710
330.000000,95.000000,30.819071,43.956959,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,23284.050567
360.000000,95.000000,30.931599,44.334808,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,25206.102598
390.000000,95.000000,31.046072,44.653504,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,27124.720430
420.000000,95.000000,31.162011,44.922985,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,29039.860096
450.000000,95.000000,31.279017,45.151525,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,30951.489576
480.000000,95.000000,31.396761,45.346005,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,32859.586742
510.000000,95.000000,31.514969,45.512149,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,34764.137658
540.000000,95.000000,31.633417,45.654719,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,36665.135162
570.000000,95.000000,31.751916,45.777670,750.000000,28.000000,1.000000,0.000000,0.000000,210.600000,38562.577687
600.000000,95.000000,31.870313,45.884292,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,40456.468282
630.000000,95.000000,31.980133,44.121234,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,42347.064305
660.000000,95.000000,32.075950,42.822978,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,44234.785812
690.000000,95.000000,32.161320,41.867008,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,46119.946221
720.000000,95.000000,32.238863,41.163324,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,48002.780344
750.000000,95.000000,32.310511,40.645711,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,49883.465005
780.000000,95.000000,32.377693,40.265390,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,51762.134221
810.000000,95.000000,32.441461,39.986406,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,53638.890379
840.000000,95.000000,32.502596,39.782232,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,55513.812493
870.000000,95.000000,32.561674,39.633293,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,57386.962285
900.000000,95.000000,32.619120,39.525138,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,59258.388680
930.000000,95.000000,32.675252,39.447096,750.000000,28.000000,6.000000,0.000000,0.000000,210.600000,61128.131124
