t,T_ref,T_pot,T_abs,G_b,T_amb,V_wind,phi_pcm,f_shade,Q_absorbed,iae_cumulative
0.000000,80.000000,30.000000,30.000000,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,1500.000000
30.000000,80.000000,29.998614,29.686025,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,3000.041574
60.000000,80.000000,30.011808,33.281176,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,4499.687319
90.000000,80.000000,30.053063,36.287638,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,5998.095438
120.000000,80.000000,30.117498,38.800118,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,7494.570497
150.000000,80.000000,30.201028,40.898889,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,8988.539669
180.000000,80.000000,30.300234,42.651751,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,10479.532641
210.000000,80.000000,30.412266,44.115797,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,11967.164675
240.000000,80.000000,30.534743,45.338977,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,13451.122377
270.000000,80.000000,30.665687,46.361478,900.000000,30.000000,1.000000,0.000000,0.000000,252.720000,14931.151753
300.000000,80.000000,30.803451,47.216916,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,16407.048213
330.000000,80.000000,30.929670,44.086274,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,17879.158119
360.000000,80.000000,31.030273,41.484098,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,19348.249941
390.000000,80.000000,31.109612,39.318825,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,20814.961579
420.000000,80.000000,31.171290,37.515443,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,22279.822868
450.000000,80.000000,31.218294,36.012278,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,23743.274047
480.000000,80.000000,31.253102,34.758486,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,25205.680984
510.000000,80.000000,31.277775,33.712048,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,26667.347732
540.000000,80.000000,31.294027,32.838174,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,28128.526930
570.000000,80.000000,31.303284,32.108016,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,29589.428417
600.000000,80.000000,31.306734,31.497618,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,31050.226382
630.000000,80.000000,31.305369,30.987068,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,32511.065306
660.000000,80.000000,31.300013,30.559799,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,33972.064901
690.000000,80.000000,31.291356,30.202018,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,35433.324228
720.000000,80.000000,31.279970,29.902232,900.000000,30.000000,1.000000,0.000000,1.000000,0.000000,36894.925119
