t,T_ref,T_pot,T_abs,G_b,T_amb,V_wind,phi_pcm,f_shade,Q_absorbed,iae_cumulative
0.000000,95.000000,30.000000,30.000000,450.000000,25.000000,2.000000,0.000000,1.000000,0.000000,1950.000000
30.000000,95.000000,29.992607,28.975344,501.977923,25.000000,2.000000,0.000000,1.000000,0.000000,3900.221803
60.000000,95.000000,29.977337,28.137401,551.684161,25.000000,2.000000,0.000000,0.000000,154.912912,5850.901708
90.000000,95.000000,29.966068,29.790157,596.946313,25.000000,2.000000,0.000000,0.000000,167.622525,7801.919675
120.000000,95.000000,29.968561,31.332347,635.786206,25.000000,2.000000,0.000000,0.000000,178.528767,9752.862842
150.000000,95.000000,29.983712,32.756716,666.506351,25.000000,2.000000,0.000000,0.000000,187.154983,11703.351478
180.000000,95.000000,30.010339,34.050271,687.764129,25.000000,2.000000,0.000000,0.000000,193.124167,13653.041310
210.000000,95.000000,30.047145,35.196845,698.630474,25.000000,2.000000,0.000000,0.000000,196.175437,15601.626957
240.000000,95.000000,30.092704,36.179438,698.630474,25.000000,2.000000,0.000000,0.000000,196.175437,17548.845839
270.000000,95.000000,30.145462,36.982292,687.764129,25.000000,2.000000,0.000000,0.000000,193.124167,19494.481983
300.000000,95.000000,30.203758,37.592657,666.506351,25.000000,2.000000,0.000000,0.000000,187.154983,21438.369251
330.000000,95.000000,30.265856,38.002227,635.786207,25.000000,2.000000,0.000000,0.000000,178.528767,23380.393559
360.000000,95.000000,30.329992,38.208201,596.946314,25.000000,2.000000,0.000000,0.000000,167.622525,25320.493810
390.000000,95.000000,30.394417,38.213978,551.684161,25.000000,2.000000,0.000000,0.000000,154.912913,27258.661300
420.000000,95.000000,30.457460,38.029468,501.977924,25.000000,2.000000,0.000000,0.000000,140.955401,29194.937498
450.000000,95.000000,30.517577,37.671039,450.000001,25.000000,2.000000,0.000000,0.000000,126.360000,31129.410189
480.000000,95.000000,30.573405,37.161120,398.022078,25.000000,2.000000,0.000000,0.000000,111.764600,33062.208035
510.000000,95.000000,30.623810,36.527488,348.315840,25.000000,2.000000,0.000000,0.000000,97.807088,34993.493733
540.000000,95.000000,30.667925,35.802291,303.053688,25.000000,2.000000,0.000000,0.000000,85.097476,36923.455990
570.000000,95.000000,30.705179,35.020845,264.213794,25.000000,2.000000,0.000000,0.000000,74.191233,38852.300608
600.000000,95.000000,30.735320,34.220265,233.493650,25.000000,2.000000,0.000000,0.000000,65.565017,40780.241019
630.000000,95.000000,30.758413,33.437992,212.235871,25.000000,2.000000,0.000000,0.000000,59.595833,42707.488642
660.000000,95.000000,30.774840,32.710283,201.369526,25.000000,2.000000,0.000000,0.000000,56.544563,44634.243444
690.000000,95.000000,30.785278,32.070720,201.369526,25.000000,2.000000,0.000000,0.000000,56.544563,46560.685091
720.000000,95.000000,30.790668,31.548817,212.235870,25.000000,2.000000,0.000000,0.000000,59.595832,48486.965046
750.000000,95.000000,30.792170,31.168773,233.493648,25.000000,2.000000,0.000000,0.000000,65.565016,50413.199961
780.000000,95.000000,30.791112,30.948446,264.213793,25.000000,2.000000,0.000000,0.000000,74.191233,52339.466615
810.000000,95.000000,30.788932,30.898578,303.053686,25.000000,2.000000,0.000000,0.000000,85.097475,54265.798641
840.000000,95.000000,30.787116,31.022328,348.315838,25.000000,2.000000,0.000000,0.000000,97.807087,56192.185171
870.000000,95.000000,30.787124,31.315132,398.022076,25.000000,2.000000,0.000000,0.000000,111.764599,58118.571453
900.000000,95.000000,30.790334,31.764899,449.999998,25.000000,2.000000,0.000000,0.000000,126.359999,60044.861426
930.000000,95.000000,30.797977,32.352541,501.977921,25.000000,2.000000,0.000000,0.000000,140.955400,61970.922130
960.000000,95.000000,30.811079,33.052821,551.684159,25.000000,2.000000,0.000000,0.000000,154.912912,63896.589766
990.000000,95.000000,30.830421,33.835476,596.946311,25.000000,2.000000,0.000000,0.000000,167.622524,65821.677124
1020.000000,95.000000,30.856502,34.666573,635.786205,25.000000,2.000000,0.000000,0.000000,178.528766,67745.982059
1050.000000,95.000000,30.889514,35.510017,666.506350,25.000000,2.000000,0.000000,0.000000,187.154983,69669.296630
1080.000000,95.000000,30.929338,36.329174,687.764128,25.000000,2.000000,0.000000,0.000000,193.124167,71591.416493
1110.000000,95.000000,30.975545,37.088494,698.630474,25.000000,2.000000,0.000000,0.000000,196.175437,73512.150139
1140.000000,95.000000,31.027420,37.755089,698.630474,25.000000,2.000000,0.000000,0.000000,196.175437,75431.327544
1170.000000,95.000000,31.083989,38.300182,687.764130,25.000000,2.000000,0.000000,0.000000,193.124168,77348.807884
1200.000000,95.000000,31.144065,38.700356,666.506352,25.000000,2.000000,0.000000,0.000000,187.154984,79264.485936
1230.000000,95.000000,31.206300,38.938569,635.786208,25.000000,2.000000,0.000000,0.000000,178.528767,81178.296925
1260.000000,95.000000,31.269245,39.004870,596.946315,25.000000,2.000000,0.000000,0.000000,167.622525,83090.219586
1290.000000,95.000000,31.331409,38.896805,551.684163,25.000000,2.000000,0.000000,0.000000,154.912913,85000.277325
1320.000000,95.000000,31.391330,38.619502,501.977925,25.000000,2.000000,0.000000,0.000000,140.955401,86908.537431
1350.000000,95.000000,31.447635,38.185420,450.000003,25.000000,2.000000,0.000000,0.000000,126.360001,88815.108382
1380.000000,95.000000,31.499100,37.613798,398.022080,25.000000,2.000000,0.000000,0.000000,111.764600,90720.135373
1410.000000,95.000000,31.544704,36.929812,348.315842,25.000000,2.000000,0.000000,0.000000,97.807088,92623.794241
1440.000000,95.000000,31.583672,36.163487,303.053689,25.000000,2.000000,0.000000,0.000000,85.097476,94526.284083
1470.000000,95.000000,31.615508,35.348411,264.213796,25.000000,2.000000,0.000000,0.000000,74.191234,96427.818856
1500.000000,95.000000,31.640017,34.520291,233.493651,25.000000,2.000000,0.000000,0.000000,65.565017,98328.618334
1530.000000,95.000000,31.657318,33.715424,212.235872,25.000000,2.000000,0.000000,0.000000,59.595833,100228.898808
1560.000000,95.000000,31.667829,32.969136,201.369526,25.000000,2.000000,0.000000,0.000000,56.544563,102128.863928
1590.000000,95.000000,31.672262,32.314251,201.369526,25.000000,2.000000,0.000000,0.000000,56.544563,104028.696075
1620.000000,95.000000,31.671581,31.779667,212.235870,25.000000,2.000000,0.000000,0.000000,59.595832,105928.548653
1650.000000,95.000000,31.666968,31.389081,233.493647,25.000000,2.000000,0.000000,0.000000,65.565016,107828.539620
1680.000000,95.000000,31.659769,31.159944,264.213791,25.000000,2.000000,0.000000,0.000000,74.191233,109728.746558
1710.000000,95.000000,31.651435,31.102666,303.053684,25.000000,2.000000,0.000000,0.000000,85.097475,111629.203496
1740.000000,95.000000,31.643462,31.220139,348.315836,25.000000,2.000000,0.000000,0.000000,97.807087,113529.899630
1770.000000,95.000000,31.637321,31.507580,398.022074,25.000000,2.000000,0.000000,0.000000,111.764598,115430.780013
1800.000000,95.000000,31.634395,31.952721,449.999996,25.000000,2.000000,0.000000,0.000000,126.359999,117331.748176
1830.000000,95.000000,31.635920,32.536332,501.977919,25.000000,2.000000,0.000000,0.000000,140.955400,119232.670590
1860.000000,95.000000,31.642928,33.233061,551.684157,25.000000,2.000000,0.000000,0.000000,154.912911,121133.382749
1890.000000,95.000000,31.656204,34.012555,596.946310,25.000000,2.000000,0.000000,0.000000,167.622524,123033.696636
1920.000000,95.000000,31.676247,34.840805,635.786204,25.000000,2.000000,0.000000,0.000000,178.528766,124933.409213
1950.000000,95.000000,31.703254,35.681661,666.506349,25.000000,2.000000,0.000000,0.000000,187.154983,126832.311581
1980.000000,95.000000,31.737106,36.498444,687.764128,25.000000,2.000000,0.000000,0.000000,193.124167,128730.198389
2010.000000,95.000000,31.777377,37.255568,698.630473,25.000000,2.000000,0.000000,0.000000,196.175437,130626.877076
2040.000000,95.000000,31.823351,37.920120,698.630474,25.000000,2.000000,0.000000,0.000000,196.175437,132522.176538
2070.000000,95.000000,31.874057,38.463301,687.764130,25.000000,2.000000,0.000000,0.000000,193.124168,134415.954840
2100.000000,95.000000,31.928307,38.861681,666.506353,25.000000,2.000000,0.000000,0.000000,187.154984,136308.105630
2130.000000,95.000000,31.984755,39.098206,635.786209,25.000000,2.000000,0.000000,0.000000,178.528768,138198.562983
2160.000000,95.000000,32.041950,39.162915,596.946317,25.000000,2.000000,0.000000,0.000000,167.622526,140087.304470
2190.000000,95.000000,32.098405,39.053348,551.684165,25.000000,2.000000,0.000000,0.000000,154.912913,141974.352319
2220.000000,95.000000,32.152656,38.774627,501.977927,25.000000,2.000000,0.000000,0.000000,140.955402,143859.772629
2250.000000,95.000000,32.203332,38.339205,450.000004,25.000000,2.000000,0.000000,0.000000,126.360001,145743.672681
2280.000000,95.000000,32.249207,37.766315,398.022082,25.000000,2.000000,0.000000,0.000000,111.764601,147626.196460
2310.000000,95.000000,32.289262,37.081126,348.315843,25.000000,2.000000,0.000000,0.000000,97.807089,149507.518590
2340.000000,95.000000,32.322721,36.313659,303.053691,25.000000,2.000000,0.000000,0.000000,85.097476,151387.836949
2370.000000,95.000000,32.349089,35.497493,264.213797,25.000000,2.000000,0.000000,0.000000,74.191234,153267.364271
2400.000000,95.000000,32.368172,34.668328,233.493651,25.000000,2.000000,0.000000,0.000000,65.565017,155146.319106
