t,T_ref,T_pot,T_abs,G_b,T_amb,V_wind,phi_pcm,f_shade,Q_absorbed,iae_cumulative
0.000000,90.000000,30.000000,30.000000,1050.000000,38.000000,0.500000,0.000000,1.000000,0.000000,1800.000000
30.000000,90.000000,30.007199,30.597793,1050.000000,38.000000,0.500000,0.000000,1.000000,0.000000,3599.784029
60.000000,90.000000,30.019048,31.104393,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,5399.212585
90.000000,90.000000,30.054727,36.059532,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,7197.570778
120.000000,90.000000,30.129133,40.249708,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,8993.696788
150.000000,90.000000,30.235865,43.789044,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,10786.620836
180.000000,90.000000,30.369489,46.776151,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,12575.536156
210.000000,90.000000,30.525406,49.295816,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,14359.773988
240.000000,90.000000,30.699728,51.420619,1050.000000,38.000000,0.500000,0.000000,0.000000,294.840000,16138.782154
270.000000,90.000000,30.889090,53.030342,1050.000000,38.000000,0.500000,0.007586,0.000000,294.840000,17912.109443
300.000000,90.000000,31.083117,53.128780,1050.000000,38.000000,0.500000,0.032195,0.000000,294.840000,19679.615926
330.000000,90.000000,31.276213,53.226663,1050.000000,38.000000,0.500000,0.056666,0.000000,294.840000,21441.329546
360.000000,90.000000,31.468380,53.323994,1050.000000,38.000000,0.500000,0.080999,0.000000,294.840000,23197.278132
390.000000,90.000000,31.659624,53.420776,1050.000000,38.000000,0.500000,0.105194,0.000000,294.840000,24947.489403
420.000000,90.000000,31.849948,53.517012,1050.000000,38.000000,0.500000,0.129253,0.000000,294.840000,26691.990961
450.000000,90.000000,32.039355,53.612706,1050.000000,38.000000,0.500000,0.153177,0.000000,294.840000,28430.810300
480.000000,90.000000,32.227850,53.707861,1050.000000,38.000000,0.500000,0.176965,0.000000,294.840000,30163.974800
510.000000,90.000000,32.415436,53.802480,1050.000000,38.000000,0.500000,0.200620,0.000000,294.840000,31891.511729
540.000000,90.000000,32.602116,53.896566,1050.000000,38.000000,0.500000,0.224141,0.000000,294.840000,33613.448243
570.000000,90.000000,32.787895,53.990122,1050.000000,38.000000,0.500000,0.247530,0.000000,294.840000,35329.811388
600.000000,90.000000,32.972776,54.083151,1050.000000,38.000000,0.500000,0.270788,0.000000,294.840000,37040.628096
630.000000,90.000000,33.156764,54.175658,1050.000000,38.000000,0.500000,0.293914,0.000000,294.840000,38745.925191
660.000000,90.000000,33.339860,54.267643,1050.000000,38.000000,0.500000,0.316911,0.000000,294.840000,40445.729383
690.000000,90.000000,33.522070,54.359112,1050.000000,38.000000,0.500000,0.339778,0.000000,294.840000,42140.067274
720.000000,90.000000,33.703397,54.450066,1050.000000,38.000000,0.500000,0.362516,0.000000,294.840000,43828.965354
750.000000,90.000000,33.883845,54.540509,1050.000000,38.000000,0.500000,0.385127,0.000000,294.840000,45512.450004
780.000000,90.000000,34.063417,54.630443,1050.000000,38.000000,0.500000,0.407611,0.000000,294.840000,47190.547493
810.000000,90.000000,34.242117,54.719872,1050.000000,38.000000,0.500000,0.429968,0.000000,294.840000,48863.283983
840.000000,90.000000,34.419949,54.808799,1050.000000,38.000000,0.500000,0.452200,0.000000,294.840000,50530.685524
870.000000,90.000000,34.596916,54.897227,1050.000000,38.000000,0.500000,0.474307,0.000000,294.840000,52192.778058
900.000000,90.000000,34.773021,54.985158,1050.000000,38.000000,0.500000,0.496289,0.000000,294.840000,53849.587419
930.000000,90.000000,34.948270,55.072595,1050.000000,38.000000,0.500000,0.518149,0.000000,294.840000,55501.139330
960.000000,90.000000,35.122664,55.159542,1050.000000,38.000000,0.500000,0.539885,0.000000,294.840000,57147.459406
990.000000,90.000000,35.296208,55.246001,1050.000000,38.000000,0.500000,0.561500,0.000000,294.840000,58788.573156
1020.000000,90.000000,35.468906,55.331975,1050.000000,38.000000,0.500000,0.582994,0.000000,294.840000,60424.505977
1050.000000,90.000000,35.640760,55.417467,1050.000000,38.000000,0.500000,0.604367,0.000000,294.840000,62055.283163
1080.000000,90.000000,35.811776,55.502479,1050.000000,38.000000,0.500000,0.625620,0.000000,294.840000,63680.929896
1110.000000,90.000000,35.981955,55.587016,1050.000000,38.000000,0.500000,0.646754,0.000000,294.840000,65301.471254
1140.000000,90.000000,36.151302,55.671078,1050.000000,38.000000,0.500000,0.667769,0.000000,294.840000,66916.932206
