t,T_ref,T_pot,T_abs,G_b,T_amb,V_wind,phi_pcm,f_shade,Q_absorbed,iae_cumulative
0.000000,90.000000,30.000000,30.000000,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,1800.000000
30.000000,90.000000,30.026145,34.898002,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,3599.215640
60.000000,90.000000,30.090661,39.041301,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,5396.495804
90.000000,90.000000,30.187230,42.542311,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,7190.878909
120.000000,90.000000,30.310487,45.498170,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,8981.564307
150.000000,90.000000,30.455888,47.992406,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,10767.887654
180.000000,90.000000,30.619596,50.096536,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,12549.299786
210.000000,90.000000,30.798370,51.871567,1050.000000,38.000000,0.500000,0.000000,0.050000,280.098000,14325.348688
240.000000,90.000000,30.989124,53.039772,1050.000000,38.000000,0.500000,0.009943,0.050000,280.098000,16095.674976
270.000000,90.000000,31.182257,53.123945,1050.000000,38.000000,0.500000,0.030986,0.050000,280.098000,17860.207278
300.000000,90.000000,31.374345,53.207707,1050.000000,38.000000,0.500000,0.051927,0.050000,280.098000,19618.976936
330.000000,90.000000,31.565394,53.291058,1050.000000,38.000000,0.500000,0.072765,0.050000,280.098000,21372.015113
360.000000,90.000000,31.755411,53.374002,1050.000000,38.000000,0.500000,0.093500,0.050000,280.098000,23119.352792
390.000000,90.000000,31.944401,53.456539,1050.000000,38.000000,0.500000,0.114135,0.050000,280.098000,24861.020776
420.000000,90.000000,32.132369,53.538671,1050.000000,38.000000,0.500000,0.134668,0.050000,280.098000,26597.049694
450.000000,90.000000,32.319323,53.620400,1050.000000,38.000000,0.500000,0.155100,0.050000,280.098000,28327.469997
480.000000,90.000000,32.505268,53.701727,1050.000000,38.000000,0.500000,0.175432,0.050000,280.098000,30052.311961
510.000000,90.000000,32.690209,53.782654,1050.000000,38.000000,0.500000,0.195663,0.050000,280.098000,31771.605691
540.000000,90.000000,32.874152,53.863182,1050.000000,38.000000,0.500000,0.215796,0.050000,280.098000,33485.381117
570.000000,90.000000,33.057104,53.943314,1050.000000,38.000000,0.500000,0.235828,0.050000,280.098000,35193.667999
600.000000,90.000000,33.239069,54.023050,1050.000000,38.000000,0.500000,0.255763,0.050000,280.098000,36896.495927
630.000000,90.000000,33.420054,54.102393,1050.000000,38.000000,0.500000,0.275598,0.050000,280.098000,38593.894322
660.000000,90.000000,33.600063,54.181343,1050.000000,38.000000,0.500000,0.295336,0.050000,280.098000,40285.892436
690.000000,90.000000,33.779103,54.259903,1050.000000,38.000000,0.500000,0.314976,0.050000,280.098000,41972.519357
720.000000,90.000000,33.957178,54.338074,1050.000000,38.000000,0.500000,0.334518,0.050000,280.098000,43653.804006
750.000000,90.000000,34.134296,54.415857,1050.000000,38.000000,0.500000,0.353964,0.050000,280.098000,45329.775139
780.000000,90.000000,34.310460,54.493255,1050.000000,38.000000,0.500000,0.373314,0.050000,280.098000,47000.461350
810.000000,90.000000,34.485676,54.570269,1050.000000,38.000000,0.500000,0.392567,0.050000,280.098000,48665.891069
840.000000,90.000000,34.659950,54.646900,1050.000000,38.000000,0.500000,0.411725,0.050000,280.098000,50326.092567
870.000000,90.000000,34.833287,54.723151,1050.000000,38.000000,0.500000,0.430788,0.050000,280.098000,51981.093954
900.000000,90.000000,35.005692,54.799021,1050.000000,38.000000,0.500000,0.449755,0.050000,280.098000,53630.923179
930.000000,90.000000,35.177171,54.874514,1050.000000,38.000000,0.500000,0.468629,0.050000,280.098000,55275.608036
960.000000,90.000000,35.347729,54.949631,1050.000000,38.000000,0.500000,0.487408,0.050000,280.098000,56915.176161
990.000000,90.000000,35.517371,55.024374,1050.000000,38.000000,0.500000,0.506093,0.050000,280.098000,58549.655033
1020.000000,90.000000,35.686102,55.098743,1050.000000,38.000000,0.500000,0.524686,0.050000,280.098000,60179.071978
1050.000000,90.000000,35.853927,55.172741,1050.000000,38.000000,0.500000,0.543185,0.050000,280.098000,61803.454166
1080.000000,90.000000,36.020852,55.246369,1050.000000,38.000000,0.500000,0.561592,0.050000,280.098000,63422.828616
1110.000000,90.000000,36.186881,55.319628,1050.000000,38.000000,0.500000,0.579907,0.050000,280.098000,65037.222193
1140.000000,90.000000,36.352019,55.392521,1050.000000,38.000000,0.500000,0.598130,0.050000,280.098000,66646.661614
1170.000000,90.000000,36.516272,55.465049,1050.000000,38.000000,0.500000,0.616262,0.050000,280.098000,68251.173442
1200.000000,90.000000,36.679645,55.537213,1050.000000,38.000000,0.500000,0.634303,0.050000,280.098000,69850.784095
1230.000000,90.000000,36.842142,55.609015,1050.000000,38.000000,0.500000,0.652254,0.050000,280.098000,71445.519840
1260.000000,90.000000,37.003768,55.680456,1050.000000,38.000000,0.500000,0.670114,0.050000,280.098000,73035.406799
1290.000000,90.000000,37.164528,55.751539,1050.000000,38.000000,0.500000,0.687885,0.050000,280.098000,74620.470947
1320.000000,90.000000,37.324428,55.822264,1050.000000,38.000000,0.500000,0.705566,0.050000,280.098000,76200.738114
1350.000000,90.000000,37.483471,55.892633,1050.000000,38.000000,0.500000,0.723158,0.050000,280.098000,77776.233985
1380.000000,90.000000,37.641663,55.962648,1050.000000,38.000000,0.500000,0.740662,0.050000,280.098000,79346.984102
1410.000000,90.000000,37.799008,56.032310,1050.000000,38.000000,0.500000,0.758078,0.050000,280.098000,80913.013865
1440.000000,90.000000,37.955511,56.101622,1050.000000,38.000000,0.500000,0.775405,0.050000,280.098000,82474.348532
1470.000000,90.000000,38.111177,56.170583,1050.000000,38.000000,0.500000,0.792646,0.050000,280.098000,84031.013220
1500.000000,90.000000,38.266010,56.239196,1050.000000,38.000000,0.500000,0.809799,0.050000,280.098000,85583.032908
1530.000000,90.000000,38.420016,56.307463,1050.000000,38.000000,0.500000,0.826866,0.050000,280.098000,87130.432435
1560.000000,90.000000,38.573198,56.375385,1050.000000,38.000000,0.500000,0.843846,0.050000,280.098000,88673.236500
1590.000000,90.000000,38.725561,56.442963,1050.000000,38.000000,0.500000,0.860741,0.050000,280.098000,90211.469669
1620.000000,90.000000,38.877110,56.510199,1050.000000,38.000000,0.500000,0.877550,0.050000,280.098000,91745.156368
1650.000000,90.000000,39.027849,56.577095,1050.000000,38.000000,0.500000,0.894274,0.050000,280.098000,93274.320889
1680.000000,90.000000,39.177783,56.643651,1050.000000,38.000000,0.500000,0.910913,0.050000,280.098000,94798.987390
1710.000000,90.000000,39.326917,56.709871,1050.000000,38.000000,0.500000,0.927468,0.050000,280.098000,96319.179895
1740.000000,90.000000,39.475253,56.775754,1050.000000,38.000000,0.500000,0.943938,0.050000,280.098000,97834.922295
1770.000000,90.000000,39.622798,56.841303,1050.000000,38.000000,0.500000,0.960326,0.050000,280.098000,99346.238348
1800.000000,90.000000,39.769556,56.906519,1050.000000,38.000000,0.500000,0.976630,0.050000,280.098000,100853.151682
1830.000000,90.000000,39.915530,56.971403,1050.000000,38.000000,0.500000,0.992851,0.050000,280.098000,102355.685793
1860.000000,90.000000,40.062178,57.606885,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,103853.820441
1890.000000,90.000000,40.215219,58.518996,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,105347.363885
1920.000000,90.000000,40.374041,59.288747,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,106836.142643
1950.000000,90.000000,40.537477,59.939226,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,108320.018328
1980.000000,90.000000,40.704548,60.489827,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,109798.881876
2010.000000,90.000000,40.874438,60.956822,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,111272.648722
2040.000000,90.000000,41.046466,61.353855,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,112741.254734
2070.000000,90.000000,41.220064,61.692355,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,114204.652822
2100.000000,90.000000,41.394758,61.981892,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,115662.810092
2130.000000,90.000000,41.570154,62.230472,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,117115.705464
2160.000000,90.000000,41.745926,62.444792,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,118563.327684
2190.000000,90.000000,41.921801,62.630452,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,120005.673656
2220.000000,90.000000,42.097553,62.792133,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,121442.747053
2250.000000,90.000000,42.272997,62.933745,1050.000000,38.000000,0.500000,1.000000,0.050000,280.098000,122874.557156
