t,T_h_ref,T_h,T_coll,T_c,G_b,m_dot_f_cmd,m_dot_wf_cmd,W_net,P_inlet,eta_th,delta_T_super,iae_cumulative
0.000000,63.000000,20.000000,20.000000,6.000000,800.000000,0.500000,0.080000,-682.844875,0.724000,-0.417591,0.000000,1290.000000
30.000000,63.000000,19.941405,21.863354,6.000000,800.000000,0.100000,0.080000,-646.493029,0.723062,-0.397022,0.000000,2581.757860
60.000000,63.000000,19.911884,23.562531,6.000000,800.000000,0.100000,0.080000,-645.141908,0.722590,-0.397033,0.000000,3874.401344
90.000000,63.000000,19.908417,25.113788,6.000000,800.000000,0.100000,0.080000,-644.983238,0.722535,-0.397034,0.000000,5167.148833
120.000000,63.000000,19.928286,26.531766,6.000000,800.000000,0.100000,0.080000,-645.892590,0.722853,-0.397027,0.000000,6459.300265
150.000000,63.000000,19.969043,27.829642,6.000000,800.000000,0.100000,0.080000,-647.757973,0.723505,-0.397012,0.000000,7750.228986
180.000000,63.000000,20.028486,29.019281,6.000000,800.000000,0.100000,0.080000,-650.478594,0.724456,-0.396990,0.000000,9039.374410
210.000000,63.000000,20.104633,30.111367,6.000000,800.000000,0.100000,0.080000,-653.963736,0.725674,-0.396962,0.000000,10326.235413
240.000000,63.000000,20.195701,31.115518,6.000000,800.000000,0.100000,0.080000,-658.131760,0.727131,-0.396929,0.000000,11610.364382
270.000000,63.000000,20.300084,32.040392,6.000000,800.000000,0.500000,0.080000,-696.579228,0.728801,-0.417051,0.000000,12891.361866
300.000000,63.000000,21.120756,29.371695,6.000000,800.000000,0.500000,0.080000,-734.140050,0.741932,-0.415683,0.000000,14147.739194
330.000000,63.000000,21.676290,28.040200,6.000000,800.000000,0.500000,0.080000,-759.565958,0.750821,-0.414839,0.000000,15387.450492
360.000000,63.000000,22.087972,27.430655,6.000000,800.000000,0.500000,0.080000,-778.407977,0.757408,-0.414251,0.000000,16614.811330
390.000000,63.000000,22.421339,27.210622,6.000000,800.000000,0.500000,0.080000,-793.665642,0.762741,-0.413796,0.000000,17832.171159
420.000000,63.000000,22.711806,27.200480,6.000000,800.000000,0.500000,0.080000,-806.959833,0.767389,-0.413414,0.000000,19040.816988
450.000000,63.000000,22.978511,27.303175,6.000000,800.000000,0.500000,0.080000,-819.166503,0.771656,-0.413076,0.000000,20241.461657
480.000000,63.000000,23.231799,27.466270,6.000000,800.000000,0.500000,0.080000,-830.759099,0.775709,-0.412764,0.000000,21434.507677
510.000000,63.000000,23.477263,27.661434,6.000000,800.000000,0.500000,0.080000,-841.993574,0.779636,-0.412470,0.000000,22620.189786
540.000000,63.000000,23.717927,27.873363,6.000000,800.000000,0.500000,0.080000,-853.008370,0.783487,-0.412190,0.000000,23798.651979
570.000000,63.000000,23.955428,28.093789,6.000000,800.000000,0.500000,0.080000,-863.878426,0.787287,-0.411921,0.000000,24969.989129
600.000000,63.000000,24.190655,28.318248,6.000000,800.000000,0.500000,0.080000,-874.644373,0.791050,-0.411662,0.000000,26134.269477
630.000000,63.000000,24.424090,28.544333,6.000000,800.000000,0.500000,0.080000,-885.328302,0.794785,-0.411411,0.000000,27291.546784
660.000000,63.000000,24.655996,28.770743,6.000000,800.000000,0.500000,0.080000,-895.942283,0.798496,-0.411167,0.000000,28441.866898
690.000000,63.000000,24.886520,28.996781,6.000000,800.000000,0.500000,0.080000,-906.492974,0.802184,-0.410932,0.000000,29585.271305
720.000000,63.000000,25.115742,29.222070,6.000000,800.000000,0.500000,0.080000,-916.984108,0.805852,-0.410703,0.000000,30721.799042
750.000000,63.000000,25.343710,29.446413,6.000000,800.000000,0.500000,0.080000,-927.417833,0.809499,-0.410481,0.000000,31851.487741
780.000000,63.000000,25.570452,29.669703,6.000000,800.000000,0.500000,0.080000,-937.795444,0.813127,-0.410265,0.000000,32974.374181
810.000000,63.000000,25.795986,29.891888,6.000000,800.000000,0.500000,0.080000,-948.117774,0.816736,-0.410055,0.000000,34090.494599
840.000000,63.000000,26.020325,30.112940,6.000000,800.000000,0.500000,0.080000,-958.385402,0.820325,-0.409851,0.000000,35199.884850
870.000000,63.000000,26.243478,30.332848,6.000000,800.000000,0.500000,0.080000,-968.598773,0.823896,-0.409653,0.000000,36302.580498
900.000000,63.000000,26.465454,30.551609,6.000000,800.000000,0.500000,0.080000,-978.758258,0.827447,-0.409460,0.000000,37398.616865
930.000000,63.000000,26.686260,30.769224,6.000000,800.000000,0.500000,0.080000,-988.864186,0.830980,-0.409272,0.066657,38488.029054
960.000000,63.000000,26.905903,30.985696,6.000000,800.000000,0.500000,0.080000,-998.916864,0.834494,-0.409089,0.216014,39570.851971
990.000000,63.000000,27.124388,31.201030,6.000000,800.000000,0.500000,0.080000,-1008.916586,0.837990,-0.408911,0.364584,40647.120327
1020.000000,63.000000,27.341723,31.415231,6.000000,800.000000,0.500000,0.080000,-1018.863637,0.841468,-0.408737,0.512371,41716.868646
1050.000000,63.000000,27.557913,31.628304,6.000000,800.000000,0.500000,0.080000,-1028.758299,0.844927,-0.408567,0.659381,42780.131268
1080.000000,63.000000,27.772964,31.840256,6.000000,800.000000,0.500000,0.080000,-1038.600850,0.848367,-0.408402,0.805615,43836.942350
1110.000000,63.000000,27.986883,32.051091,6.000000,800.000000,0.500000,0.080000,-1048.391566,0.851790,-0.408241,0.951080,44887.335869
1140.000000,63.000000,28.199675,32.260816,6.000000,800.000000,0.500000,0.080000,-1058.130719,0.855195,-0.408084,1.095779,45931.345622
1170.000000,63.000000,28.411346,32.469437,6.000000,800.000000,0.500000,0.080000,-1067.818583,0.858582,-0.407931,1.239716,46969.005230
1200.000000,63.000000,28.621903,32.676959,6.000000,800.000000,0.500000,0.080000,-1077.455427,0.861950,-0.407781,1.382894,48000.348133
1230.000000,63.000000,28.831351,32.883388,6.000000,800.000000,0.500000,0.080000,-1087.041520,0.865302,-0.407635,1.525319,49025.407597
1260.000000,63.000000,29.039696,33.088731,6.000000,800.000000,0.500000,0.080000,-1096.577130,0.868635,-0.407492,1.666993,50044.216715
1290.000000,63.000000,29.246944,33.292991,6.000000,800.000000,0.500000,0.080000,-1106.062522,0.871951,-0.407353,1.807922,51056.808401
1320.000000,63.000000,29.453100,33.496176,6.000000,800.000000,0.500000,0.080000,-1115.497960,0.875250,-0.407217,1.948108,52063.215399
1350.000000,63.000000,29.658171,33.698291,6.000000,800.000000,0.500000,0.080000,-1124.883709,0.878531,-0.407084,2.087556,53063.470279
1380.000000,63.000000,29.862161,33.899342,6.000000,800.000000,0.500000,0.080000,-1134.220029,0.881795,-0.406953,2.226270,54057.605442
1410.000000,63.000000,30.065078,34.099334,6.000000,800.000000,0.500000,0.080000,-1143.507181,0.885041,-0.406826,2.364253,55045.653114
1440.000000,63.000000,30.266925,34.298272,6.000000,800.000000,0.500000,0.080000,-1152.745423,0.888271,-0.406702,2.501509,56027.645355
1470.000000,63.000000,30.467710,34.496163,6.000000,800.000000,0.500000,0.080000,-1161.935014,0.891483,-0.406580,2.638043,57003.614055
1500.000000,63.000000,30.667437,34.693012,6.000000,800.000000,0.500000,0.080000,-1171.076210,0.894679,-0.406460,2.773857,57973.590936
1530.000000,63.000000,30.866113,34.888824,6.000000,800.000000,0.500000,0.080000,-1180.169265,0.897858,-0.406344,2.908957,58937.607552
1560.000000,63.000000,31.063742,35.083604,6.000000,800.000000,0.500000,0.080000,-1189.214433,0.901020,-0.406229,3.043345,59895.695293
1590.000000,63.000000,31.260330,35.277360,6.000000,800.000000,0.500000,0.080000,-1198.211966,0.904165,-0.406118,3.177025,60847.885381
1620.000000,63.000000,31.455883,35.470094,6.000000,800.000000,0.500000,0.080000,-1207.162115,0.907294,-0.406008,3.310001,61794.208876
1650.000000,63.000000,31.650407,35.661814,6.000000,800.000000,0.500000,0.080000,-1216.065130,0.910407,-0.405901,3.442277,62734.696674
1680.000000,63.000000,31.843906,35.852524,6.000000,800.000000,0.500000,0.080000,-1224.921259,0.913502,-0.405795,3.573856,63669.379506
1710.000000,63.000000,32.036385,36.042230,6.000000,800.000000,0.500000,0.080000,-1233.730748,0.916582,-0.405692,3.704742,64598.287944
1740.000000,63.000000,32.227852,36.230936,6.000000,800.000000,0.500000,0.080000,-1242.493843,0.919646,-0.405591,3.834939,65521.452397
1770.000000,63.000000,32.418309,36.418649,6.000000,800.000000,0.500000,0.080000,-1251.210790,0.922693,-0.405492,3.964450,66438.903116
1800.000000,63.000000,32.607764,36.605373,6.000000,400.000000,0.500000,0.080000,-1259.881830,0.925724,-0.405395,4.093280,67350.670190
1830.000000,63.000000,32.796221,35.859437,6.000000,400.000000,0.500000,0.080000,-1268.507205,0.928740,-0.405300,4.221430,68256.783552
1860.000000,63.000000,32.913810,35.471917,6.000000,400.000000,0.500000,0.080000,-1273.889055,0.930621,-0.405241,4.301391,69159.369250
1890.000000,63.000000,32.993024,35.277979,6.000000,400.000000,0.500000,0.080000,-1277.514530,0.931888,-0.405202,4.355256,70059.578542
1920.000000,63.000000,33.051419,35.188558,6.000000,400.000000,0.500000,0.080000,-1280.187202,0.932823,-0.405173,4.394965,70958.035965
1950.000000,63.000000,33.098484,35.155529,6.000000,400.000000,0.500000,0.080000,-1282.341288,0.933576,-0.405150,4.426969,71855.081441
1980.000000,63.000000,33.139345,35.152890,6.000000,400.000000,0.500000,0.080000,-1284.211426,0.934230,-0.405130,4.454755,72750.901089
2010.000000,63.000000,33.176772,35.166593,6.000000,400.000000,0.500000,0.080000,-1285.924419,0.934828,-0.405112,4.480205,73645.597914
2040.000000,63.000000,33.212264,35.189044,6.000000,400.000000,0.500000,0.080000,-1287.548802,0.935396,-0.405094,4.504339,74539.229997
2070.000000,63.000000,33.246629,35.216145,6.000000,400.000000,0.500000,0.080000,-1289.121627,0.935946,-0.405078,4.527708,75431.831134
2100.000000,63.000000,33.280305,35.245678,6.000000,400.000000,0.500000,0.080000,-1290.662932,0.936485,-0.405061,4.550607,76323.421985
2130.000000,63.000000,33.313529,35.276447,6.000000,400.000000,0.500000,0.080000,-1292.183565,0.937016,-0.405045,4.573200,77214.016100
2160.000000,63.000000,33.346431,35.307806,6.000000,400.000000,0.500000,0.080000,-1293.689406,0.937543,-0.405029,4.595573,78103.623176
2190.000000,63.000000,33.379079,35.339407,6.000000,400.000000,0.500000,0.080000,-1295.183651,0.938065,-0.405014,4.617774,78992.250812
2220.000000,63.000000,33.411512,35.371060,6.000000,400.000000,0.500000,0.080000,-1296.668046,0.938584,-0.404998,4.639828,79879.905465
2250.000000,63.000000,33.443750,35.402666,6.000000,400.000000,0.500000,0.080000,-1298.143553,0.939100,-0.404983,4.661750,80766.592961
