t,T_h_ref,T_h,T_coll,T_c,G_b,m_dot_f_cmd,m_dot_wf_cmd,W_net,P_inlet,eta_th,delta_T_super,iae_cumulative
0.000000,68.000000,20.000000,20.000000,4.000000,1050.000000,0.500000,0.080000,-652.476875,0.724000,-0.349142,0.000000,1440.000000
30.000000,68.000000,19.933034,28.000000,4.000000,1050.000000,0.500000,0.080000,-649.411946,0.722929,-0.348963,0.000000,2882.008982
60.000000,68.000000,20.471371,28.000000,4.000000,1050.000000,0.500000,0.080000,-674.050744,0.731542,-0.350364,0.000000,4307.867865
90.000000,68.000000,20.967079,28.000000,4.000000,1050.000000,0.500000,0.080000,-696.738508,0.739473,-0.351577,0.000000,5718.855500
120.000000,68.000000,21.423534,28.000000,4.000000,1050.000000,0.500000,0.080000,-717.629734,0.746777,-0.352632,0.000000,7116.149472
150.000000,68.000000,21.843845,28.000000,4.000000,1050.000000,0.500000,0.080000,-736.866680,0.753502,-0.353556,0.000000,8500.834119
180.000000,68.000000,22.230873,28.137094,4.000000,1050.000000,0.500000,0.080000,-754.580340,0.759694,-0.354369,0.000000,9873.907916
210.000000,68.000000,22.597537,28.366440,4.000000,1050.000000,0.500000,0.080000,-771.361932,0.765561,-0.355108,0.000000,11235.981811
240.000000,68.000000,22.952367,28.644814,4.000000,1050.000000,0.500000,0.080000,-787.601924,0.771238,-0.355796,0.000000,12587.410807
270.000000,68.000000,23.299977,28.948867,4.000000,1050.000000,0.500000,0.080000,-803.511503,0.776800,-0.356445,0.000000,13928.411482
300.000000,68.000000,23.642866,29.265985,4.000000,1050.000000,0.500000,0.080000,-819.204975,0.782286,-0.357063,0.000000,15259.125488
330.000000,68.000000,23.982387,29.589358,4.000000,1050.000000,0.500000,0.080000,-834.744303,0.787718,-0.357654,0.000000,16579.653863
360.000000,68.000000,24.319276,29.915311,4.000000,1050.000000,0.500000,0.080000,-850.163164,0.793108,-0.358221,0.000000,17890.075571
390.000000,68.000000,24.653935,30.241860,4.000000,1050.000000,0.500000,0.080000,-865.479949,0.798463,-0.358766,0.000000,19190.457519
420.000000,68.000000,24.986585,30.567940,4.000000,1050.000000,0.500000,0.080000,-880.704793,0.803785,-0.359291,0.000000,20480.859972
450.000000,68.000000,25.317350,30.892978,4.000000,1050.000000,0.500000,0.080000,-895.843363,0.809078,-0.359796,0.000000,21761.339481
480.000000,68.000000,25.646301,31.216670,4.000000,1050.000000,0.500000,0.080000,-910.898915,0.814341,-0.360283,0.000000,23031.950461
510.000000,68.000000,25.973480,31.538854,4.000000,1050.000000,0.500000,0.080000,-925.873400,0.819576,-0.360753,0.000000,24292.746050
540.000000,68.000000,26.298916,31.859448,4.000000,1050.000000,0.500000,0.080000,-940.768064,0.824783,-0.361207,0.000000,25543.778569
570.000000,68.000000,26.622626,32.178411,4.000000,1050.000000,0.500000,0.080000,-955.583768,0.829962,-0.361645,0.023386,26785.099774
600.000000,68.000000,26.944626,32.495726,4.000000,1050.000000,0.500000,0.080000,-970.321167,0.835114,-0.362069,0.242346,28016.760992
630.000000,68.000000,27.264927,32.811386,4.000000,1050.000000,0.500000,0.080000,-984.980802,0.840239,-0.362479,0.460150,29238.813196
660.000000,68.000000,27.583538,33.125393,4.000000,1050.000000,0.500000,0.080000,-999.563152,0.845337,-0.362876,0.676806,30451.307042
690.000000,68.000000,27.900471,33.437751,4.000000,1050.000000,0.500000,0.080000,-1014.068663,0.850408,-0.363260,0.892321,31654.292898
720.000000,68.000000,28.215735,33.748467,4.000000,1050.000000,0.500000,0.080000,-1028.497759,0.855452,-0.363633,1.106700,32847.820852
750.000000,68.000000,28.529338,34.057548,4.000000,1050.000000,0.500000,0.080000,-1042.850854,0.860469,-0.363993,1.319950,34031.940720
