t,T_h_ref,T_h,T_coll,T_c,G_b,m_dot_f_cmd,m_dot_wf_cmd,W_net,P_inlet,eta_th,delta_T_super,iae_cumulative
0.000000,60.000000,20.000000,20.000000,6.000000,400.000000,0.350000,0.080000,-670.218613,0.724000,-0.409870,0.000000,1200.000000
30.000000,60.000000,19.941405,20.931677,6.000000,420.934379,0.400000,0.080000,-671.745554,0.723062,-0.412530,0.000000,2401.757860
60.000000,60.000000,19.942471,21.605017,6.000000,441.811379,0.450000,0.080000,-676.003110,0.723080,-0.415113,0.000000,3603.483731
90.000000,60.000000,19.996338,22.055717,6.000000,462.573777,0.500000,0.080000,-682.677284,0.723941,-0.417598,0.000000,4803.593583
120.000000,60.000000,20.092212,22.338774,6.000000,483.164664,0.500000,0.080000,-687.065256,0.725475,-0.417423,0.000000,6000.827232
150.000000,60.000000,20.201723,22.596555,6.000000,503.527603,0.500000,0.080000,-692.077394,0.727228,-0.417225,0.000000,7194.775553
180.000000,60.000000,20.321895,22.843392,6.000000,523.606780,0.500000,0.080000,-697.577509,0.729150,-0.417013,0.000000,8385.118690
210.000000,60.000000,20.451065,23.086845,6.000000,543.347160,0.500000,0.080000,-703.489396,0.731217,-0.416788,0.000000,9571.586736
240.000000,60.000000,20.588265,23.330804,6.000000,562.694635,0.500000,0.080000,-709.768832,0.733412,-0.416553,0.000000,10753.938773
270.000000,60.000000,20.732898,23.577170,6.000000,581.596176,0.500000,0.080000,-716.388448,0.735726,-0.416311,0.000000,11931.951822
300.000000,60.000000,20.884556,23.826762,6.000000,599.999974,0.500000,0.080000,-723.329569,0.738153,-0.416061,0.000000,13105.415143
330.000000,60.000000,21.042924,24.079812,6.000000,617.855586,0.500000,0.080000,-730.577814,0.740687,-0.415807,0.000000,14274.127426
360.000000,60.000000,21.207730,24.336225,6.000000,635.114072,0.500000,0.080000,-738.120730,0.743324,-0.415547,0.000000,15437.895521
390.000000,60.000000,21.378717,24.595728,6.000000,651.728126,0.500000,0.080000,-745.946529,0.746059,-0.415284,0.000000,16596.534006
420.000000,60.000000,21.555627,24.857944,6.000000,667.652211,0.500000,0.080000,-754.043413,0.748890,-0.415017,0.000000,17749.865190
450.000000,60.000000,21.738195,25.122443,6.000000,682.842680,0.500000,0.080000,-762.399236,0.751811,-0.414748,0.000000,18897.719347
480.000000,60.000000,21.926143,25.388755,6.000000,697.257898,0.500000,0.080000,-771.001323,0.754818,-0.414478,0.000000,20039.935056
510.000000,60.000000,22.119182,25.656394,6.000000,710.858352,0.500000,0.080000,-779.836402,0.757907,-0.414207,0.000000,21176.359597
540.000000,60.000000,22.317008,25.924858,6.000000,723.606766,0.500000,0.080000,-788.890577,0.761072,-0.413936,0.000000,22306.849360
570.000000,60.000000,22.519304,26.193641,6.000000,735.468196,0.500000,0.080000,-798.149333,0.764309,-0.413666,0.000000,23431.270245
600.000000,60.000000,22.725740,26.462229,6.000000,746.410131,0.500000,0.080000,-807.597561,0.767612,-0.413397,0.000000,24549.498058
630.000000,60.000000,22.935973,26.730109,6.000000,756.402581,0.500000,0.080000,-817.219592,0.770976,-0.413129,0.000000,25661.418877
660.000000,60.000000,23.149649,26.996766,6.000000,765.418156,0.500000,0.080000,-826.999230,0.774394,-0.412864,0.000000,26766.929395
690.000000,60.000000,23.366405,27.261687,6.000000,773.432146,0.500000,0.080000,-836.919797,0.777862,-0.412602,0.000000,27865.937235
720.000000,60.000000,23.585866,27.524365,6.000000,780.422584,0.500000,0.080000,-846.964178,0.781374,-0.412343,0.000000,28958.361241
750.000000,60.000000,23.807650,27.784295,6.000000,786.370311,0.500000,0.080000,-857.114866,0.784922,-0.412088,0.000000,30044.131731
780.000000,60.000000,24.031367,28.040979,6.000000,791.259024,0.500000,0.080000,-867.354010,0.788502,-0.411837,0.000000,31123.190726
810.000000,60.000000,24.256620,28.293927,6.000000,795.075323,0.500000,0.080000,-877.663464,0.792106,-0.411590,0.000000,32195.492137
840.000000,60.000000,24.483007,28.542660,6.000000,797.808749,0.500000,0.080000,-888.024840,0.795728,-0.411348,0.000000,33261.001932
870.000000,60.000000,24.710122,28.786706,6.000000,799.451809,0.500000,0.080000,-898.419552,0.799362,-0.411112,0.000000,34319.698260
900.000000,60.000000,24.937557,29.025606,6.000000,800.000000,0.500000,0.080000,-908.828873,0.803001,-0.410880,0.000000,35371.571545
930.000000,60.000000,25.164900,29.258915,6.000000,799.451819,0.500000,0.080000,-919.233984,0.806638,-0.410655,0.000000,36416.624546
960.000000,60.000000,25.391739,29.486202,6.000000,797.808768,0.500000,0.080000,-929.616027,0.810268,-0.410435,0.000000,37454.872385
990.000000,60.000000,25.617662,29.707051,6.000000,795.075352,0.500000,0.080000,-939.956156,0.813883,-0.410221,0.000000,38486.342534
1020.000000,60.000000,25.842259,29.921062,6.000000,791.259062,0.500000,0.080000,-950.235589,0.817476,-0.410013,0.000000,39511.074778
1050.000000,60.000000,26.065121,30.127853,6.000000,786.370358,0.500000,0.080000,-960.435661,0.821042,-0.409811,0.000000,40529.121137
1080.000000,60.000000,26.285846,30.327061,6.000000,780.422640,0.500000,0.080000,-970.537872,0.824574,-0.409616,0.000000,41540.545755
1110.000000,60.000000,26.504033,30.518343,6.000000,773.432211,0.500000,0.080000,-980.523944,0.828065,-0.409427,0.000000,42545.424760
1140.000000,60.000000,26.719289,30.701376,6.000000,765.418230,0.500000,0.080000,-990.375864,0.831509,-0.409244,0.089117,43543.846083
1170.000000,60.000000,26.931228,30.875859,6.000000,756.402663,0.500000,0.080000,-1000.075941,0.834900,-0.409068,0.233235,44535.909255
1200.000000,60.000000,27.139470,31.041513,6.000000,746.410222,0.500000,0.080000,-1009.606849,0.838232,-0.408898,0.374839,45521.725161
1230.000000,60.000000,27.343646,31.198082,6.000000,735.468295,0.500000,0.080000,-1018.951677,0.841498,-0.408735,0.513679,46501.415772
1260.000000,60.000000,27.543398,31.345335,6.000000,723.606872,0.500000,0.080000,-1028.093976,0.844694,-0.408579,0.649510,47475.113840
1290.000000,60.000000,27.738376,31.483065,6.000000,710.858466,0.500000,0.080000,-1037.017804,0.847814,-0.408429,0.782096,48442.962568
1320.000000,60.000000,27.928244,31.611088,6.000000,697.258019,0.500000,0.080000,-1045.707770,0.850852,-0.408285,0.911206,49405.115246
1350.000000,60.000000,28.112679,31.729249,6.000000,682.842809,0.500000,0.080000,-1054.149074,0.853803,-0.408148,1.036622,50361.734866
1380.000000,60.000000,28.291372,31.837417,6.000000,667.652346,0.500000,0.080000,-1062.327553,0.856662,-0.408018,1.158133,51312.993702
1410.000000,60.000000,28.464028,31.935487,6.000000,651.728267,0.500000,0.080000,-1070.229717,0.859424,-0.407893,1.275539,52259.072873
1440.000000,60.000000,28.630367,32.023383,6.000000,635.114218,0.500000,0.080000,-1077.842783,0.862086,-0.407775,1.388649,53200.161874
1470.000000,60.000000,28.790126,32.101052,6.000000,617.855738,0.500000,0.080000,-1085.154718,0.864642,-0.407664,1.497286,54136.458089
1500.000000,60.000000,28.943060,32.168472,6.000000,600.000131,0.500000,0.080000,-1092.154265,0.867089,-0.407558,1.601281,55068.166281
1530.000000,60.000000,29.088941,32.225646,6.000000,581.596337,0.500000,0.080000,-1098.830978,0.869423,-0.407459,1.700480,55995.498058
1560.000000,60.000000,29.227558,32.272604,6.000000,562.694801,0.500000,0.080000,-1105.175249,0.871641,-0.407366,1.794739,56918.671329
1590.000000,60.000000,29.358720,32.309404,6.000000,543.347329,0.500000,0.080000,-1111.178338,0.873740,-0.407279,1.883930,57837.909729
1620.000000,60.000000,29.482256,32.336131,6.000000,523.606953,0.500000,0.080000,-1116.832390,0.875716,-0.407198,1.967934,58753.442043
1650.000000,60.000000,29.598015,32.352894,6.000000,503.527779,0.500000,0.080000,-1122.130466,0.877568,-0.407122,2.046650,59665.501604
1680.000000,60.000000,29.705864,32.359832,6.000000,483.164842,0.500000,0.080000,-1127.066554,0.879294,-0.407053,2.119987,60574.325685
1710.000000,60.000000,29.805694,32.357109,6.000000,462.573956,0.500000,0.080000,-1131.635593,0.880891,-0.406989,2.187872,61480.154879
1740.000000,60.000000,29.897414,32.344911,6.000000,441.811560,0.500000,0.080000,-1135.833481,0.882359,-0.406931,2.250241,62383.232464
1770.000000,60.000000,29.980956,32.323455,6.000000,420.934561,0.500000,0.080000,-1139.657089,0.883695,-0.406879,2.307050,63283.803774
1800.000000,60.000000,30.056274,32.292977,6.000000,400.000181,0.500000,0.080000,-1143.104270,0.884900,-0.406832,2.358267,64182.115544
1830.000000,60.000000,30.123342,32.253740,6.000000,379.065802,0.500000,0.080000,-1146.173866,0.885973,-0.406790,2.403873,65078.415272
1860.000000,60.000000,30.182157,32.206029,6.000000,358.188801,0.500000,0.080000,-1148.865708,0.886915,-0.406754,2.443867,65972.950567
1890.000000,60.000000,30.232736,32.150151,6.000000,337.426402,0.500000,0.080000,-1151.180622,0.887724,-0.406722,2.478260,66865.968496
1920.000000,60.000000,30.275119,32.086436,6.000000,316.835513,0.500000,0.080000,-1153.120422,0.888402,-0.406697,2.507081,67757.714935
1950.000000,60.000000,30.309367,32.015232,6.000000,296.472572,0.500000,0.080000,-1154.687907,0.888950,-0.406676,2.530369,68648.433928
1980.000000,60.000000,30.335563,31.936909,6.000000,276.393392,0.500000,0.080000,-1155.886854,0.889369,-0.406660,2.548183,69538.367043
2010.000000,60.000000,30.353810,31.851855,6.000000,256.653009,0.500000,0.080000,-1156.722008,0.889661,-0.406649,2.560591,70427.752735
2040.000000,60.000000,30.364234,31.760473,6.000000,237.305531,0.500000,0.080000,-1157.199069,0.889828,-0.406642,2.567679,71316.825725
2070.000000,60.000000,30.366978,31.663187,6.000000,218.403986,0.500000,0.080000,-1157.324676,0.889872,-0.406641,2.569545,72205.816384
2100.000000,60.000000,30.362209,31.560433,6.000000,200.000183,0.500000,0.080000,-1157.106390,0.889795,-0.406643,2.566302,73094.950123
2130.000000,60.000000,30.350110,31.452662,6.000000,182.144566,0.500000,0.080000,-1156.552672,0.889602,-0.406651,2.558075,73984.446811
2160.000000,60.000000,30.330887,31.340337,6.000000,164.886075,0.500000,0.080000,-1155.672862,0.889294,-0.406662,2.545003,74874.520191
