t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,920.000000,35.600000,0.350000,3.028000,0.024918,0.850000,49.423534,7.000000,-202639.788008,0.000001,4.425055,0.625055,6.079463,-0.008813,0.026337,-117742.147688,81.510546,149979.403946,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-148.822406,40.000000,-9.423534
10.000000,920.000000,35.600000,0.350000,3.028000,0.043050,0.850000,32.301645,7.000000,132.189831,0.008756,4.559590,0.759590,5.002699,-0.611610,0.422785,139.461952,0.077930,143.390618,0.162240,0.521552,531.943278,0.244171,3.309694,1.148143,40.000000,7.698355
20.000000,920.000000,35.600000,0.350000,3.028000,0.026647,0.850000,46.968370,7.000000,-198026.616067,0.000001,4.458196,0.658196,5.773356,-0.009752,0.025769,-115060.274876,79.657908,146570.550508,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.380411,40.000000,-6.968370
30.000000,920.000000,35.600000,0.350000,3.028000,0.039152,0.850000,34.817673,7.000000,128.812454,0.001975,4.559073,0.759073,5.006106,-0.199058,0.268607,137.611319,0.079208,145.742906,0.000000,0.521552,531.943278,0.244171,3.317985,1.145273,40.000000,5.182327
40.000000,920.000000,35.600000,0.350000,3.028000,0.028304,0.850000,44.851233,7.000000,-187984.561041,0.000001,4.484663,0.684663,5.550176,-0.010682,0.025268,-109222.314641,75.625045,139150.082716,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-137.933476,40.000000,-4.851233
50.000000,920.000000,35.600000,0.350000,3.028000,0.037054,0.850000,36.364968,7.000000,-31206.475440,0.000001,4.554764,0.754764,5.034688,-0.016525,0.023147,-18079.194325,12.663377,23300.614489,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-22.013907,40.000000,3.635032
60.000000,920.000000,35.600000,0.350000,3.028000,0.029651,0.850000,43.276698,7.000000,-175611.924822,0.000001,4.502574,0.702574,5.408683,-0.011466,0.024888,-102029.468350,70.656227,130007.457195,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-128.772940,40.000000,-3.276698
70.000000,920.000000,35.600000,0.350000,3.028000,0.035745,0.850000,37.409579,7.000000,-67164.713598,0.000001,4.550189,0.750189,5.065391,-0.015508,0.023420,-38983.557420,27.104111,49871.565097,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-48.589433,40.000000,2.590421
80.000000,920.000000,35.600000,0.350000,3.028000,0.030655,0.850000,42.176739,7.000000,-163818.388316,0.000001,4.513986,0.713986,5.322232,-0.012071,0.024620,-95173.282343,65.919973,121292.751135,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-120.046822,40.000000,-2.176739
90.000000,920.000000,35.600000,0.350000,3.028000,0.034875,0.850000,38.141295,7.000000,-88390.684813,0.000001,4.546214,0.746214,5.092374,-0.014867,0.023608,-51323.300191,35.628406,65556.266620,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-64.278110,40.000000,1.858705
