t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,250.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117416.414251,81.285529,40642.764482,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-38.610135,40.000000,-18.346276
10.000000,252.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117430.098194,81.294982,41099.129704,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-39.066500,40.000000,-18.346276
20.000000,255.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117443.785355,81.304437,41555.601094,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-39.522972,40.000000,-18.346276
30.000000,258.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117457.475737,81.313894,42012.178690,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-39.979549,40.000000,-18.346276
40.000000,261.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117471.169339,81.323354,42468.862529,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-40.436233,40.000000,-18.346276
50.000000,263.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117484.866163,81.332816,42925.652649,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-40.893023,40.000000,-18.346276
60.000000,266.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117498.566210,81.342280,43382.549087,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-41.349920,40.000000,-18.346276
70.000000,269.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117512.269482,81.351746,43839.551881,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-41.806923,40.000000,-18.346276
80.000000,272.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117525.975980,81.361214,44296.661068,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-42.264032,40.000000,-18.346276
90.000000,275.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117539.685704,81.370685,44753.876686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-42.721247,40.000000,-18.346276
100.000000,277.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117553.398655,81.380158,45211.198773,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-43.178570,40.000000,-18.346276
110.000000,280.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117567.114836,81.389633,45668.627366,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-43.635998,40.000000,-18.346276
120.000000,283.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117580.834247,81.399110,46126.162502,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-44.093533,40.000000,-18.346276
130.000000,286.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117594.556889,81.408590,46583.804220,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-44.551175,40.000000,-18.346276
140.000000,288.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117608.282763,81.418072,47041.552557,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-45.008923,40.000000,-18.346276
150.000000,291.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117622.011871,81.427556,47499.407550,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-45.466778,40.000000,-18.346276
160.000000,294.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117635.744213,81.437042,47957.369238,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-45.924740,40.000000,-18.346276
170.000000,297.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117649.479791,81.446531,48415.437658,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-46.382808,40.000000,-18.346276
180.000000,300.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117663.218607,81.456021,48873.612848,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-46.840984,40.000000,-18.346276
190.000000,302.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117676.960660,81.465514,49331.894845,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-47.299266,40.000000,-18.346276
200.000000,305.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117690.705952,81.475010,49790.283688,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-47.757654,40.000000,-18.346276
210.000000,308.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117704.454485,81.484507,50248.779414,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-48.216150,40.000000,-18.346276
220.000000,311.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117718.206259,81.494007,50707.382061,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-48.674753,40.000000,-18.346276
230.000000,313.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117731.961276,81.503509,51166.091667,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-49.133462,40.000000,-18.346276
240.000000,316.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117745.719537,81.513013,51624.908269,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-49.592279,40.000000,-18.346276
250.000000,319.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117759.481042,81.522520,52083.831905,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-50.051203,40.000000,-18.346276
260.000000,322.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117773.245794,81.532028,52542.862614,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-50.510233,40.000000,-18.346276
270.000000,325.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117787.013793,81.541539,53002.000433,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-50.969371,40.000000,-18.346276
280.000000,327.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117800.785040,81.551052,53461.245400,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-51.428616,40.000000,-18.346276
290.000000,330.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117814.559537,81.560568,53920.597554,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-51.887968,40.000000,-18.346276
300.000000,333.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117828.337284,81.570085,54380.056931,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-52.347428,40.000000,-18.346276
310.000000,336.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117842.118284,81.579605,54839.623570,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-52.806994,40.000000,-18.346276
320.000000,338.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117855.902536,81.589127,55299.297509,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-53.266668,40.000000,-18.346276
330.000000,341.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117869.690043,81.598652,55759.078786,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-53.726450,40.000000,-18.346276
340.000000,344.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117883.480804,81.608179,56218.967438,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-54.186338,40.000000,-18.346276
350.000000,347.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117897.274823,81.617707,56678.963505,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-54.646334,40.000000,-18.346276
360.000000,350.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117911.072099,81.627239,57139.067024,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-55.106438,40.000000,-18.346276
370.000000,352.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117924.872633,81.636772,57599.278033,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-55.566649,40.000000,-18.346276
380.000000,355.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117938.676428,81.646308,58059.596570,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-56.026967,40.000000,-18.346276
390.000000,358.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117952.483483,81.655846,58520.022673,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-56.487393,40.000000,-18.346276
400.000000,361.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117966.293801,81.665386,58980.556381,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-56.947927,40.000000,-18.346276
410.000000,363.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117980.107382,81.674928,59441.197731,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-57.408568,40.000000,-18.346276
420.000000,366.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-117993.924228,81.684473,59901.946761,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-57.869318,40.000000,-18.346276
430.000000,369.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118007.744339,81.694020,60362.803511,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-58.330174,40.000000,-18.346276
440.000000,372.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118021.567717,81.703569,60823.768018,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-58.791139,40.000000,-18.346276
450.000000,375.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118035.394364,81.713120,61284.840320,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-59.252211,40.000000,-18.346276
460.000000,377.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118049.224279,81.722674,61746.020455,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-59.713391,40.000000,-18.346276
470.000000,380.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118063.057465,81.732230,62207.308462,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-60.174679,40.000000,-18.346276
480.000000,383.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118076.893922,81.741788,62668.704380,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-60.636075,40.000000,-18.346276
490.000000,386.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118090.733652,81.751349,63130.208245,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-61.097579,40.000000,-18.346276
500.000000,388.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118104.576655,81.760912,63591.820097,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-61.559191,40.000000,-18.346276
510.000000,391.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118118.422934,81.770477,64053.539974,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-62.020911,40.000000,-18.346276
520.000000,394.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118132.272489,81.780044,64515.367915,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-62.482739,40.000000,-18.346276
530.000000,397.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118146.125321,81.789613,64977.303956,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-62.944675,40.000000,-18.346276
540.000000,400.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118159.981431,81.799185,65439.348138,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-63.406719,40.000000,-18.346276
550.000000,402.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118173.840822,81.808759,65901.500498,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-63.868871,40.000000,-18.346276
560.000000,405.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118187.703492,81.818336,66363.761076,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-64.331132,40.000000,-18.346276
570.000000,408.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118201.569445,81.827914,66826.129908,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-64.793501,40.000000,-18.346276
580.000000,411.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118215.438681,81.837495,67288.607034,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-65.255978,40.000000,-18.346276
590.000000,413.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118229.311202,81.847078,67751.192492,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-65.718563,40.000000,-18.346276
600.000000,416.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118243.187007,81.856664,68213.886321,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-66.181257,40.000000,-18.346276
610.000000,419.444444,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118257.066100,81.866251,68676.688558,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-66.644059,40.000000,-18.346276
620.000000,422.222222,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118270.948480,81.875841,69139.599244,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-67.106970,40.000000,-18.346276
630.000000,425.000000,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118284.834149,81.885433,69602.618415,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-67.569989,40.000000,-18.346276
640.000000,427.777778,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118298.723108,81.895028,70065.746112,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-68.033117,40.000000,-18.346276
650.000000,430.555556,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118312.615358,81.904625,70528.982372,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-68.496353,40.000000,-18.346276
660.000000,433.333333,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118326.510901,81.914224,70992.327233,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-68.959698,40.000000,-18.346276
670.000000,436.111111,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118340.409738,81.923825,71455.780735,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-69.423151,40.000000,-18.346276
680.000000,438.888889,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118354.311869,81.933429,71919.342917,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-69.886714,40.000000,-18.346276
690.000000,441.666667,30.000000,0.500000,5.000000,0.020000,0.850000,58.346276,7.000000,-228399.415715,0.000001,4.298710,0.498710,7.619655,-0.006149,0.028291,-118368.217297,81.943035,72383.013816,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-70.350385,40.000000,-18.346276
