t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,250.000000,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.135977,0.155524,77.762234,2.540630,0.616283,865.194553,0.244913,2.852864,1.331995,40.000000,28.282367
10.000000,252.777778,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.241595,0.155452,78.589373,2.540630,0.616283,865.194553,0.244913,2.854637,1.331168,40.000000,28.282367
20.000000,255.555556,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.347234,0.155379,79.415693,2.540630,0.616283,865.194553,0.244913,2.856410,1.330341,40.000000,28.282367
30.000000,258.333333,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.452894,0.155306,80.241196,2.540630,0.616283,865.194553,0.244913,2.858183,1.329516,40.000000,28.282367
40.000000,261.111111,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.558574,0.155233,81.065880,2.540630,0.616283,865.194553,0.244913,2.859957,1.328691,40.000000,28.282367
50.000000,263.888889,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.664275,0.155160,81.889746,2.540630,0.616283,865.194553,0.244913,2.861732,1.327867,40.000000,28.282367
60.000000,266.666667,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.769997,0.155086,82.712792,2.540630,0.616283,865.194553,0.244913,2.863507,1.327044,40.000000,28.282367
70.000000,269.444444,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.875740,0.155013,83.535020,2.540630,0.616283,865.194553,0.244913,2.865282,1.326222,40.000000,28.282367
80.000000,272.222222,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.981504,0.154940,84.356428,2.540630,0.616283,865.194553,0.244913,2.867058,1.325401,40.000000,28.282367
90.000000,275.000000,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.087288,0.154867,85.177016,2.540630,0.616283,865.194553,0.244913,2.868834,1.324580,40.000000,28.282367
100.000000,277.777778,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.193093,0.154794,85.996784,2.540630,0.616283,865.194553,0.244913,2.870611,1.323760,40.000000,28.282367
110.000000,280.555556,30.000000,0.500000,5.000000,0.220000,1.000000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.298918,0.154721,86.815732,2.540630,0.616283,865.194553,0.244913,2.872388,1.322941,40.000000,28.282367
