t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,900.000000,28.000000,0.600000,4.000000,0.025639,0.850000,48.366044,7.000000,-319272.329284,0.000001,4.439581,0.639581,5.941389,-0.009008,0.026094,-176730.351983,122.259597,220067.274870,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-218.895751,38.000000,-10.366044
10.000000,900.000000,28.000000,0.600000,4.000000,0.042797,0.850000,32.452780,7.000000,18.244324,0.008320,4.559788,0.759788,5.001398,-0.579522,0.416621,66.192130,0.128544,231.380058,0.149506,0.521552,531.943278,0.244171,3.583720,1.060351,38.000000,5.547220
20.000000,900.000000,28.000000,0.600000,4.000000,0.027212,0.850000,46.222130,7.000000,-332431.147504,0.000001,4.467794,0.667794,5.690380,-0.009822,0.025593,-184016.637179,127.292963,229127.333334,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-227.927596,38.000000,-8.222130
30.000000,900.000000,28.000000,0.600000,4.000000,0.038907,0.850000,34.990939,7.000000,-176.124670,0.001543,4.558740,0.758740,5.008303,-0.163719,0.248348,-40.780545,0.202441,364.394161,0.000000,0.521552,531.943278,0.244171,4.102391,0.926289,38.000000,3.009061
40.000000,900.000000,28.000000,0.600000,4.000000,0.028753,0.850000,44.313287,7.000000,-342130.067824,0.000001,4.490974,0.690974,5.499485,-0.010638,0.025139,-189387.111820,131.002887,235805.196321,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-234.582279,38.000000,-6.313287
50.000000,900.000000,28.000000,0.600000,4.000000,0.036871,0.850000,36.507448,7.000000,-338174.462259,0.000001,4.554218,0.754218,5.038334,-0.015543,0.023185,-187196.818604,129.489832,233081.698125,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-231.795537,38.000000,1.492552
60.000000,900.000000,28.000000,0.600000,4.000000,0.030008,0.850000,42.877941,7.000000,-347668.928108,0.000001,4.506824,0.706824,5.376165,-0.011322,0.024791,-192454.082958,133.121551,239618.790913,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-238.380024,38.000000,-4.877941
70.000000,900.000000,28.000000,0.600000,4.000000,0.035628,0.850000,37.506545,7.000000,-345149.972889,0.000001,4.549698,0.749698,5.068707,-0.014701,0.023445,-191059.290065,132.158028,237884.449639,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-236.602808,38.000000,0.493455
80.000000,900.000000,28.000000,0.600000,4.000000,0.030945,0.850000,41.870672,7.000000,-350391.168036,0.000001,4.516983,0.716983,5.299989,-0.011846,0.024545,-193961.438418,134.162832,241493.096986,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-240.244171,38.000000,-3.870672
90.000000,900.000000,28.000000,0.600000,4.000000,0.034814,0.850000,38.193496,7.000000,-348401.050606,0.000001,4.545907,0.745907,5.094471,-0.014171,0.023622,-192859.472958,133.401594,240122.869055,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-238.845019,38.000000,-0.193496
100.000000,900.000000,28.000000,0.600000,4.000000,0.031612,0.850000,41.183000,7.000000,-351585.821758,0.000001,4.523411,0.723411,5.252894,-0.012228,0.024375,-194622.940658,134.619797,242315.635331,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-241.060281,38.000000,-3.183000
110.000000,900.000000,28.000000,0.600000,4.000000,0.034267,0.850000,38.671487,7.000000,-350019.134077,0.000001,4.542950,0.742950,5.114744,-0.013823,0.023744,-193755.436216,134.020525,241236.945608,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-239.962052,38.000000,-0.671487
120.000000,900.000000,28.000000,0.600000,4.000000,0.032078,0.850000,40.717675,7.000000,-352046.830961,0.000001,4.527511,0.727511,5.223287,-0.012498,0.024259,-194878.210126,134.796138,242633.047599,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-241.373593,38.000000,-2.717675
