t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-168.102349,38.000000,-20.346276
10.000000,900.000000,28.000000,0.600000,4.000000,0.046846,0.850000,30.222761,7.000000,48.564802,0.015177,4.553949,0.753949,5.040129,-0.916936,0.491948,82.558531,0.117239,211.029421,0.349526,0.521552,531.943278,0.244171,3.535335,1.074863,38.000000,7.777239
20.000000,900.000000,28.000000,0.600000,4.000000,0.028896,0.850000,44.144358,7.000000,-342870.114110,0.000001,4.492916,0.692916,5.484070,-0.010715,0.025098,-189796.889370,131.285961,236314.730118,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-235.089871,38.000000,-6.144358
30.000000,900.000000,28.000000,0.600000,4.000000,0.038929,0.850000,34.975426,7.000000,-170.638135,0.001581,4.558771,0.758771,5.008096,-0.166825,0.250307,-37.742547,0.200343,360.616593,0.000000,0.521552,531.943278,0.244171,4.085591,0.930098,38.000000,3.024574
40.000000,900.000000,28.000000,0.600000,4.000000,0.032832,0.850000,39.986627,7.000000,-352136.756822,0.000001,4.533526,0.733526,5.180457,-0.012944,0.024077,-194928.003767,134.830535,242694.963004,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-241.429494,38.000000,-1.986627
50.000000,900.000000,28.000000,0.600000,4.000000,0.036331,0.850000,36.934129,7.000000,-341507.193868,0.000001,4.552434,0.752434,5.050276,-0.015172,0.023296,-189042.214793,130.764632,235376.337562,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-234.091960,38.000000,1.065871
60.000000,900.000000,28.000000,0.600000,4.000000,0.034272,0.850000,38.666791,7.000000,-350005.621062,0.000001,4.542981,0.742981,5.114535,-0.013827,0.023743,-193747.953805,134.015356,241227.641679,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-239.952718,38.000000,-0.666791
70.000000,900.000000,28.000000,0.600000,4.000000,0.035472,0.850000,37.636446,7.000000,-345854.174574,0.000001,4.549023,0.749023,5.073274,-0.014598,0.023478,-191449.219786,132.427391,238369.303851,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-237.088337,38.000000,0.363554
80.000000,900.000000,28.000000,0.600000,4.000000,0.034775,0.850000,38.227657,7.000000,-348533.418224,0.000001,4.545704,0.745704,5.095856,-0.014146,0.023630,-192932.767398,133.452226,240214.006294,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-238.936359,38.000000,-0.227657
90.000000,900.000000,28.000000,0.600000,4.000000,0.035184,0.850000,37.877926,7.000000,-347050.150708,0.000001,4.547716,0.747716,5.082142,-0.014410,0.023541,-192111.454271,132.884863,239192.752698,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-237.913093,38.000000,0.122074
