t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
10.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
20.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
30.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
40.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
50.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
60.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
70.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
80.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
90.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
100.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
110.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
120.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
130.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
140.000000,900.000000,28.000000,0.600000,4.000000,0.020000,0.850000,58.346276,7.000000,-245295.451550,0.000001,4.298710,0.498710,7.619655,-0.006154,0.028291,-135767.963104,93.962779,169133.002042,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-167.100373,38.000000,-20.346276
