t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-123.684562,42.000000,-16.346276
10.000000,750.000000,32.000000,0.450000,3.500000,0.042846,0.850000,32.423119,7.000000,76.943025,0.008405,4.559751,0.759751,5.001638,-0.588272,0.417847,94.718708,0.108838,163.257475,0.151996,0.521552,531.943278,0.244171,3.367490,1.128437,42.000000,9.576881
20.000000,750.000000,32.000000,0.450000,3.500000,0.025096,0.850000,49.157251,7.000000,-255327.957324,0.000001,4.428743,0.628743,6.043808,-0.008820,0.026276,-143781.399870,99.498461,149247.691546,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-148.087006,42.000000,-7.157251
30.000000,750.000000,32.000000,0.450000,3.500000,0.037042,0.850000,36.374429,7.000000,-177272.412187,0.000001,4.554728,0.754728,5.034925,-0.016080,0.023150,-99810.636592,69.123458,103685.186637,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-102.398515,42.000000,5.625571
40.000000,750.000000,32.000000,0.450000,3.500000,0.027838,0.850000,45.425875,7.000000,-260375.559220,0.000001,4.477722,0.677722,5.607018,-0.010283,0.025405,-146624.848183,101.462715,152194.072688,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-150.984407,42.000000,-3.425875
50.000000,750.000000,32.000000,0.450000,3.500000,0.034076,0.850000,38.840446,7.000000,-222417.094206,0.000001,4.541844,0.741844,5.122370,-0.013998,0.023787,-125241.835911,86.691330,130036.995371,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-128.763208,42.000000,3.159554
60.000000,750.000000,32.000000,0.450000,3.500000,0.029204,0.850000,43.785777,7.000000,-258128.741331,0.000001,4.496973,0.696973,5.452145,-0.011041,0.025012,-145359.155946,100.588375,150882.562391,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-149.653646,42.000000,-1.785777
70.000000,750.000000,32.000000,0.450000,3.500000,0.032569,0.850000,40.237919,7.000000,-238297.461217,0.000001,4.531519,0.731519,5.194671,-0.013032,0.024140,-134187.668746,92.871112,139306.667355,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-138.043205,42.000000,1.762081
80.000000,750.000000,32.000000,0.450000,3.500000,0.029915,0.850000,42.981885,7.000000,-255665.736483,0.000001,4.505728,0.705728,5.384512,-0.011445,0.024817,-143971.679849,99.629906,149444.859660,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-148.207189,42.000000,-0.981885
90.000000,750.000000,32.000000,0.450000,3.500000,0.031777,0.850000,41.016611,7.000000,-244860.752075,0.000001,4.524901,0.724901,5.242098,-0.012545,0.024334,-137884.944937,95.425190,143137.784944,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-141.880941,42.000000,0.983389
100.000000,750.000000,32.000000,0.450000,3.500000,0.030303,0.850000,42.555471,7.000000,-253936.600766,0.000001,4.510168,0.710168,5.350847,-0.011670,0.024713,-142997.611740,98.957020,148435.530285,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-147.193419,42.000000,-0.555471
110.000000,750.000000,32.000000,0.450000,3.500000,0.031350,0.850000,41.450117,7.000000,-247905.659067,0.000001,4.520965,0.720965,5.270714,-0.012287,0.024441,-139600.221979,96.610103,144915.155015,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-143.662247,42.000000,0.549883
120.000000,750.000000,32.000000,0.450000,3.500000,0.030523,0.850000,42.318530,7.000000,-252838.827992,0.000001,4.512571,0.712571,5.332803,-0.011797,0.024655,-142379.207158,98.529826,147794.739457,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-146.550225,42.000000,-0.318530
130.000000,750.000000,32.000000,0.450000,3.500000,0.031116,0.850000,41.691921,7.000000,-249429.780282,0.000001,4.518695,0.718695,5.287364,-0.012147,0.024501,-140458.799970,97.203209,145804.813529,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-144.554176,42.000000,0.308079
140.000000,750.000000,32.000000,0.450000,3.500000,0.030649,0.850000,42.183680,7.000000,-252168.437638,0.000001,4.513917,0.713917,5.322745,-0.011871,0.024622,-142001.558452,98.268947,147403.419868,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-146.157559,42.000000,-0.183680
150.000000,750.000000,32.000000,0.450000,3.500000,0.030986,0.850000,41.827086,7.000000,-250229.755337,0.000001,4.517403,0.717403,5.296886,-0.012070,0.024534,-140909.447182,97.514516,146271.774170,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.022428,42.000000,0.172914
160.000000,750.000000,32.000000,0.450000,3.500000,0.030722,0.850000,42.106088,7.000000,-251767.326307,0.000001,4.514685,0.714685,5.317027,-0.011914,0.024603,-141775.601778,98.112856,147169.283562,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.922655,42.000000,-0.106088
170.000000,750.000000,32.000000,0.450000,3.500000,0.030914,0.850000,41.902789,7.000000,-250661.921650,0.000001,4.516672,0.716672,5.302286,-0.012028,0.024553,-141152.897953,97.682692,146524.037859,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.275423,42.000000,0.097211
180.000000,750.000000,32.000000,0.450000,3.500000,0.030764,0.850000,42.061255,7.000000,-251530.379293,0.000001,4.515126,0.715126,5.313747,-0.011939,0.024592,-141642.123227,98.020649,147030.973088,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.783903,42.000000,-0.061255
190.000000,750.000000,32.000000,0.450000,3.500000,0.030874,0.850000,41.945265,7.000000,-250899.479250,0.000001,4.516260,0.716260,5.305337,-0.012004,0.024563,-141286.720463,97.775136,146662.704744,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.414502,42.000000,0.054735
200.000000,750.000000,32.000000,0.450000,3.500000,0.030789,0.850000,42.035331,7.000000,-251391.615603,0.000001,4.515381,0.715381,5.311857,-0.011953,0.024585,-141563.953952,97.966649,146949.974085,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.702650,42.000000,-0.035331
210.000000,750.000000,32.000000,0.450000,3.500000,0.030851,0.850000,41.969138,7.000000,-251031.451212,0.000001,4.516027,0.716027,5.307059,-0.011990,0.024569,-141361.063778,97.826493,146739.739286,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.491769,42.000000,0.030862
220.000000,750.000000,32.000000,0.450000,3.500000,0.030803,0.850000,42.020351,7.000000,-251310.845873,0.000001,4.515527,0.715527,5.310768,-0.011962,0.024582,-141518.454216,97.935218,146902.827259,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.655357,42.000000,-0.020351
230.000000,750.000000,32.000000,0.450000,3.500000,0.030838,0.850000,41.982576,7.000000,-251105.253239,0.000001,4.515896,0.715896,5.308030,-0.011983,0.024572,-141402.638421,97.855213,146782.818932,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.534979,42.000000,0.017424
240.000000,750.000000,32.000000,0.450000,3.500000,0.030811,0.850000,42.011706,7.000000,-251264.039756,0.000001,4.515612,0.715612,5.310140,-0.011967,0.024579,-141492.087086,97.917004,146875.505639,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.627950,42.000000,-0.011706
250.000000,750.000000,32.000000,0.450000,3.500000,0.030831,0.850000,41.990151,7.000000,-251146.703223,0.000001,4.515823,0.715823,5.308578,-0.011979,0.024574,-141425.988299,97.871343,146807.014075,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.559248,42.000000,0.009849
260.000000,750.000000,32.000000,0.450000,3.500000,0.030816,0.850000,42.006725,7.000000,-251237.004193,0.000001,4.515661,0.715661,5.309779,-0.011969,0.024578,-141476.857235,97.906483,146859.724467,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-145.612121,42.000000,-0.006725
