t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
10.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
20.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
30.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
40.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
50.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
60.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
70.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
80.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
90.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
100.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
110.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
120.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
130.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
140.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
150.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
160.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
170.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
180.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
190.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
200.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
210.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
220.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
230.000000,750.000000,32.000000,0.450000,3.500000,0.020000,0.850000,58.346276,7.000000,-213300.071003,0.000001,4.298710,0.498710,7.619655,-0.006190,0.028291,-120105.974412,83.143477,124715.215686,0.000000,0.521552,1533.919004,0.084675,1000000000.000000,-122.682586,42.000000,-16.346276
240.000000,750.000000,32.000000,0.450000,3.500000,0.220000,0.850000,11.717633,7.000000,10.581547,0.118913,4.344562,0.544562,6.978080,1.338955,0.581102,49.142230,0.140323,210.483821,2.540630,0.521552,1533.919004,0.084675,2.034264,1.867998,42.000000,30.282367
