t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,800.000000,38.000000,0.900000,2.000000,0.020000,0.850000,58.346277,7.000000,-207116.061869,0.000001,4.298710,0.498710,7.619654,-0.007733,0.028291,-126265.944290,87.398784,139838.054905,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-138.807401,40.000000,-18.346277
10.000000,800.000000,38.000000,0.900000,2.000000,0.044846,0.850000,31.277265,7.000000,127.377028,0.011816,4.557486,0.757486,5.016592,-0.308176,0.459944,136.019957,0.080307,128.491862,0.251591,0.521552,531.943278,0.244171,3.273216,1.160938,40.000000,8.722735
20.000000,800.000000,38.000000,0.900000,2.000000,0.026950,0.850000,46.564329,7.000000,-273332.746314,0.000001,4.463426,0.663426,5.727847,-0.017359,0.025674,-166652.908662,115.298099,184476.958886,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-183.281590,40.000000,-6.564329
30.000000,800.000000,38.000000,0.900000,2.000000,0.037876,0.850000,35.740966,7.000000,-1929258.492053,0.000001,4.556861,0.756861,5.020734,0.269167,0.022982,-1176637.245028,812.995279,1300792.446184,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-1299.503641,40.000000,4.259034
40.000000,800.000000,38.000000,0.900000,2.000000,0.030335,0.850000,42.520973,7.000000,-266623.406325,0.000001,4.510521,0.710521,5.348192,-0.028323,0.024704,-162560.739485,112.471229,179953.966138,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-178.711502,40.000000,-2.520973
50.000000,800.000000,38.000000,0.900000,2.000000,0.034985,0.850000,38.046760,7.000000,-10752.081318,0.000001,4.546762,0.746762,5.088634,-0.099300,0.023584,-6499.375594,4.664039,7462.461857,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-6.183756,40.000000,1.953240
60.000000,800.000000,38.000000,0.900000,2.000000,0.031772,0.850000,41.022397,7.000000,-244102.583729,0.000001,4.524849,0.724849,5.242470,-0.037047,0.024335,-148824.810732,102.982449,164771.918805,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-163.515126,40.000000,-1.022397
70.000000,800.000000,38.000000,0.900000,2.000000,0.033771,0.850000,39.115488,7.000000,-157977.946708,0.000001,4.539976,0.739976,5.135300,-0.061598,0.023857,-96295.562612,66.695245,106712.391444,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-105.440472,40.000000,0.884512
80.000000,800.000000,38.000000,0.900000,2.000000,0.032375,0.850000,40.426200,7.000000,-227585.514336,0.000001,4.529973,0.729973,5.205671,-0.042274,0.024187,-138750.698766,96.023253,153637.204332,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-152.375288,40.000000,-0.426200
90.000000,800.000000,38.000000,0.900000,2.000000,0.033243,0.850000,39.599793,7.000000,-191307.310901,0.000001,4.536489,0.736489,5.159616,-0.052654,0.023979,-116623.850799,80.738026,129180.841811,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-127.912410,40.000000,0.400207
