t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,78.22,4.88,0.0000,0.0114,30.014,49.983,0.50234,43.156,0.04
0.00100,154.51,55.02,0.0000,0.1069,30.189,49.856,0.97346,32.777,0.09
0.00150,227.00,258.18,0.0002,0.7405,30.908,49.362,-0.53699,-7.823,0.10
0.00200,293.89,435.26,0.0009,2.2730,31.536,48.933,-1.00000,-25.688,0.17
0.00250,353.55,401.67,0.0025,3.8669,31.476,49.112,-0.29496,-7.751,0.20
0.00300,404.51,261.90,0.0047,4.7707,31.188,49.797,1.00000,19.420,0.27
0.00350,445.50,224.17,0.0071,5.0505,31.113,49.986,1.00000,26.419,0.38
0.00400,475.53,395.89,0.0098,5.6014,31.722,49.571,1.00000,9.507,0.42
0.00450,493.84,732.83,0.0129,7.3375,32.920,48.759,-1.00000,-25.824,0.54
0.00500,500.00,939.32,0.0174,10.4919,33.656,48.266,-1.00000,-41.304,0.76
0.00550,493.84,863.25,0.0234,13.7743,33.453,48.561,-1.00000,-36.797,0.94
0.00600,475.53,604.81,0.0310,16.0857,32.866,49.737,-1.00000,-15.209,1.01
0.00650,445.50,216.21,0.0392,16.6336,32.023,51.570,1.00000,27.234,1.12
0.00700,404.51,-61.75,0.0473,15.2236,31.397,52.842,1.00000,49.056,1.35
0.00750,353.55,-89.10,0.0543,12.9813,31.322,52.945,1.00000,51.385,1.58
0.00800,293.89,100.04,0.0603,11.0655,31.988,52.480,1.00000,33.409,1.67
0.00850,227.00,453.28,0.0656,10.4603,33.233,51.612,-1.00000,-44.910,1.79
0.00900,154.51,675.59,0.0710,11.4207,34.019,51.068,-1.00000,-73.484,2.05
0.00950,78.22,612.29,0.0771,12.6088,33.848,51.312,-1.00000,-81.668,2.31
0.01000,0.00,372.92,0.0835,12.9232,33.309,52.407,-1.00000,0.000,2.50
0.01050,-78.22,8.82,0.0897,11.6144,32.533,54.148,-1.00000,-48.056,2.54
0.01100,-154.51,-433.37,0.0948,8.2136,31.623,56.317,1.00000,61.011,2.68
0.01150,-227.00,-725.34,0.0976,2.9370,31.033,57.766,1.00000,65.511,2.93
0.01200,-293.89,-737.73,0.0977,-2.3230,31.038,57.877,1.00000,56.489,3.15
0.01250,-353.55,-517.21,0.0955,-6.3045,31.800,57.310,0.15955,24.839,3.24
0.01300,-404.51,-215.12,0.0917,-8.6061,32.846,56.536,-1.00000,-25.088,3.33
0.01350,-445.50,-85.71,0.0871,-9.6245,33.294,56.204,-1.00000,-38.924,3.51
0.01400,-475.53,-156.84,0.0821,-10.4504,33.220,56.674,-1.00000,-33.829,3.67
0.01450,-493.84,-370.63,0.0765,-11.9181,32.875,57.881,-1.00000,-14.009,3.73
0.01500,-500.00,-679.41,0.0700,-14.6039,32.358,59.592,1.00000,19.739,3.82
0.01550,-493.84,-854.33,0.0617,-18.5394,32.123,60.658,1.00000,36.128,4.00
0.01600,-475.53,-763.22,0.0514,-22.4943,32.468,60.474,1.00000,31.173,4.15
0.01650,-445.50,-445.14,0.0394,-25.2496,33.561,59.645,-1.00000,-0.046,4.15
0.01700,-404.51,-198.25,0.0265,-26.1822,34.410,59.001,-1.00000,-27.017,4.25
0.01750,-353.55,-172.53,0.0134,-26.2933,34.622,59.140,-1.00000,-27.113,4.34
0.01800,-293.89,-302.91,0.0002,-26.4900,34.523,60.063,-0.10502,1.758,4.34
0.01850,-227.00,-455.30,-0.0132,-27.2795,34.384,61.100,1.00000,45.165,4.46
0.01900,-154.51,-436.35,-0.0271,-28.2704,34.591,61.288,1.00000,61.268,4.60
0.01950,-78.22,-198.75,-0.0413,-28.3979,35.405,60.665,1.00000,57.020,4.66
0.02000,-0.00,230.86,-0.0552,-26.6157,36.880,59.543,-1.00000,0.000,4.77
0.02050,78.22,540.96,-0.0676,-22.5742,37.945,58.734,-1.00000,-80.406,5.01
0.02100,154.51,575.17,-0.0776,-17.5802,38.137,58.769,-1.00000,-69.832,5.22
0.02150,227.00,422.70,-0.0852,-12.7763,37.915,59.669,-1.00000,-40.767,5.31
0.02200,293.89,131.42,-0.0906,-9.0348,37.385,61.213,1.00000,28.935,5.40
0.02250,353.55,-59.67,-0.0945,-6.6646,37.044,62.237,1.00000,49.450,5.60
0.02300,404.51,-11.19,-0.0973,-4.6658,37.227,62.139,1.00000,45.782,5.81
0.02350,445.50,238.64,-0.0990,-2.1020,38.078,61.475,1.00000,24.907,5.91
0.02400,475.53,637.66,-0.0992,1.5974,39.441,60.421,-1.00000,-18.827,5.99
0.02450,493.84,888.70,-0.0972,6.4140,40.298,59.757,-1.00000,-38.644,6.19
0.02500,500.00,836.96,-0.0928,11.2944,40.163,59.963,-1.00000,-33.977,6.36
0.02550,493.84,591.69,-0.0861,15.2706,39.582,61.039,-1.00000,-11.207,6.41
0.02600,475.53,205.23,-0.0778,17.5194,38.692,62.776,1.00000,29.614,6.54
0.02650,445.50,-77.66,-0.0689,17.7898,38.011,63.999,1.00000,49.584,6.81
0.02700,404.51,-114.43,-0.0602,17.1659,37.895,64.113,1.00000,52.064,7.07
0.02750,353.55,62.06,-0.0517,16.7709,38.488,63.630,1.00000,39.505,7.21
0.02800,293.89,398.66,-0.0432,17.5571,39.627,62.723,-1.00000,-19.621,7.26
0.02850,227.00,596.46,-0.0339,19.7554,40.294,62.186,-1.00000,-58.434,7.45
0.02900,154.51,498.95,-0.0234,21.9776,39.998,62.506,-1.00000,-65.840,7.62
0.02950,78.22,219.78,-0.0121,23.0731,39.295,63.660,-1.00000,-61.078,7.69
0.03000,0.00,-187.84,-0.0007,22.2569,38.324,65.439,1.00000,0.000,7.79
0.03050,-78.22,-480.25,0.0098,19.3573,37.606,66.678,1.00000,78.990,7.99
0.03100,-154.51,-515.14,0.0185,15.5373,37.495,66.784,1.00000,66.808,8.17
0.03150,-227.00,-322.59,0.0254,12.0144,38.137,66.250,1.00000,22.838,8.21
0.03200,-293.89,43.34,0.0308,9.8453,39.368,65.252,-1.00000,-48.929,8.38
0.03250,-353.55,280.78,0.0355,9.3419,40.166,64.603,-1.00000,-60.866,8.70
0.03300,-404.51,231.51,0.0402,9.1679,40.035,64.796,-1.00000,-57.544,9.02
0.03350,-445.50,9.98,0.0446,8.2419,39.526,65.794,-1.00000,-45.635,9.25
0.03400,-475.53,-332.77,0.0482,5.8772,38.773,67.395,-1.00000,-16.711,9.32
0.03450,-493.84,-751.04,0.0501,1.8041,37.882,69.395,1.00000,27.511,9.45
0.03500,-500.00,-1017.25,0.0498,-3.3704,37.336,70.704,1.00000,45.972,9.70
0.03550,-493.84,-1002.85,0.0468,-8.4249,37.425,70.733,1.00000,45.866,9.96
0.03600,-475.53,-751.86,0.0415,-12.5854,38.266,70.042,1.00000,30.161,10.10
0.03650,-445.50,-312.40,0.0345,-14.8691,39.740,68.836,-1.00000,-16.635,10.16
0.03700,-404.51,5.35,0.0270,-14.9274,40.808,67.968,-1.00000,-45.377,10.37
0.03750,-353.55,42.03,0.0197,-14.0646,40.980,67.950,-1.00000,-48.211,10.57
0.03800,-293.89,-96.69,0.0129,-13.3705,40.763,68.744,-1.00000,-33.862,10.66
0.03850,-227.00,-362.30,0.0062,-13.6078,40.273,70.141,1.00000,30.797,10.73
0.03900,-154.51,-516.19,-0.0009,-14.9565,40.027,71.013,1.00000,66.868,10.91
0.03950,-78.22,-419.16,-0.0087,-16.2921,40.370,70.776,1.00000,77.079,11.08
0.04000,-0.00,-106.04,-0.0170,-16.4706,41.419,69.915,0.09728,0.000,11.14
0.04050,78.22,253.92,-0.0249,-14.7310,42.624,68.925,-1.00000,-66.003,11.22
0.04100,154.51,408.04,-0.0315,-11.5192,43.143,68.505,-1.00000,-58.641,11.35
0.04150,227.00,338.01,-0.0364,-8.0900,43.047,68.928,-1.00000,-26.062,11.41
0.04200,293.89,102.99,-0.0397,-5.4821,42.577,70.104,1.00000,33.007,11.50
0.04250,353.55,-48.38,-0.0421,-4.1060,42.279,70.868,1.00000,48.664,11.70
