t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,0.00,4.88,0.0000,0.0114,30.014,49.983,-0.00634,0.000,0.00
0.00100,0.00,9.67,0.0000,0.0426,30.028,49.965,-0.00768,0.000,0.01
0.00150,0.00,14.28,0.0000,0.0891,30.041,49.949,-0.00890,0.000,0.01
0.00200,0.00,18.68,0.0001,0.1469,30.053,49.932,-0.01000,0.000,0.02
0.00250,0.00,22.82,0.0002,0.2124,30.064,49.917,-0.01099,0.000,0.04
0.00300,0.00,26.68,0.0003,0.2827,30.075,49.902,-0.01186,0.000,0.05
0.00350,0.00,30.24,0.0005,0.3550,30.084,49.888,-0.01263,0.000,0.06
0.00400,0.00,33.50,0.0007,0.4272,30.092,49.875,-0.01331,0.000,0.08
0.00450,0.00,36.47,0.0009,0.4975,30.100,49.863,-0.01391,0.000,0.10
0.00500,0.00,39.15,0.0012,0.5645,30.106,49.851,-0.01443,0.000,0.12
0.00550,0.00,41.56,0.0015,0.6270,30.112,49.840,-0.01488,0.000,0.14
0.00600,0.00,43.73,0.0018,0.6844,30.116,49.829,-0.01529,0.000,0.16
0.00650,0.00,45.67,0.0022,0.7362,30.120,49.820,-0.01564,0.000,0.18
0.00700,0.00,47.41,0.0025,0.7820,30.123,49.810,-0.01597,0.000,0.21
0.00750,0.00,48.98,0.0029,0.8217,30.126,49.802,-0.01626,0.000,0.23
0.00800,0.00,50.39,0.0034,0.8556,30.128,49.793,-0.01653,0.000,0.26
0.00850,0.00,51.67,0.0038,0.8836,30.129,49.785,-0.01679,0.000,0.28
0.00900,0.00,52.85,0.0042,0.9063,30.131,49.777,-0.01704,0.000,0.31
0.00950,0.00,53.95,0.0047,0.9239,30.132,49.770,-0.01728,0.000,0.34
0.01000,0.00,54.98,0.0052,0.9370,30.132,49.762,-0.01753,0.000,0.36
0.01050,0.00,55.97,0.0056,0.9459,30.133,49.755,-0.01777,0.000,0.39
0.01100,0.00,56.92,0.0061,0.9511,30.133,49.748,-0.01803,0.000,0.42
0.01150,0.00,57.86,0.0066,0.9533,30.134,49.741,-0.01829,0.000,0.45
0.01200,0.00,58.79,0.0071,0.9528,30.134,49.734,-0.01857,0.000,0.48
0.01250,0.00,59.73,0.0075,0.9502,30.134,49.726,-0.01886,0.000,0.51
0.01300,0.00,60.68,0.0080,0.9458,30.135,49.719,-0.01915,0.000,0.54
0.01350,0.00,61.64,0.0085,0.9402,30.135,49.712,-0.01946,0.000,0.57
0.01400,0.00,62.64,0.0089,0.9335,30.136,49.705,-0.01978,0.000,0.60
0.01450,0.00,63.65,0.0094,0.9263,30.137,49.697,-0.02011,0.000,0.63
0.01500,0.00,64.70,0.0099,0.9187,30.137,49.690,-0.02046,0.000,0.67
0.01550,0.00,65.78,0.0103,0.9110,30.138,49.682,-0.02081,0.000,0.70
0.01600,0.00,66.88,0.0108,0.9034,30.139,49.675,-0.02117,0.000,0.73
0.01650,0.00,67.91,0.0112,0.8960,30.140,49.668,-0.02140,0.000,0.77
0.01700,0.00,68.76,0.0117,0.8880,30.141,49.662,-0.02148,0.000,0.80
0.01750,0.00,69.46,0.0121,0.8788,30.141,49.656,-0.02154,0.000,0.83
0.01800,0.00,70.07,0.0126,0.8683,30.141,49.652,-0.02162,0.000,0.87
0.01850,0.00,70.60,0.0130,0.8563,30.142,49.648,-0.02172,0.000,0.90
0.01900,0.00,71.09,0.0134,0.8429,30.142,49.644,-0.02181,0.000,0.94
0.01950,0.00,71.55,0.0138,0.8283,30.142,49.640,-0.02192,0.000,0.98
0.02000,0.00,71.98,0.0142,0.8127,30.142,49.637,-0.02203,0.000,1.01
0.02050,0.00,72.40,0.0146,0.7962,30.143,49.634,-0.02214,0.000,1.05
0.02100,0.00,72.82,0.0150,0.7792,30.143,49.632,-0.02226,0.000,1.08
0.02150,0.00,73.22,0.0154,0.7617,30.144,49.629,-0.02237,0.000,1.12
0.02200,0.00,73.62,0.0158,0.7441,30.144,49.627,-0.02249,0.000,1.16
0.02250,0.00,74.02,0.0162,0.7263,30.145,49.625,-0.02260,0.000,1.20
0.02300,0.00,74.41,0.0165,0.7086,30.146,49.623,-0.02272,0.000,1.23
0.02350,0.00,74.80,0.0169,0.6910,30.147,49.621,-0.02283,0.000,1.27
0.02400,0.00,75.18,0.0172,0.6736,30.148,49.620,-0.02294,0.000,1.31
0.02450,0.00,75.56,0.0176,0.6565,30.149,49.619,-0.02305,0.000,1.35
0.02500,0.00,75.94,0.0179,0.6397,30.150,49.618,-0.02316,0.000,1.38
0.02550,0.00,76.31,0.0182,0.6232,30.152,49.617,-0.02326,0.000,1.42
0.02600,0.00,76.67,0.0185,0.6072,30.153,49.616,-0.02336,0.000,1.46
0.02650,0.00,77.03,0.0188,0.5915,30.155,49.616,-0.02347,0.000,1.50
0.02700,0.00,77.38,0.0191,0.5763,30.156,49.616,-0.02356,0.000,1.54
0.02750,0.00,77.72,0.0194,0.5614,30.158,49.616,-0.02366,0.000,1.58
0.02800,0.00,78.06,0.0197,0.5469,30.160,49.616,-0.02375,0.000,1.61
0.02850,0.00,78.38,0.0199,0.5329,30.162,49.616,-0.02384,0.000,1.65
0.02900,0.00,78.70,0.0202,0.5192,30.164,49.617,-0.02393,0.000,1.69
0.02950,0.00,79.02,0.0204,0.5059,30.166,49.617,-0.02402,0.000,1.73
0.03000,0.00,79.32,0.0207,0.4930,30.168,49.618,-0.02410,0.000,1.77
0.03050,0.00,79.62,0.0209,0.4804,30.170,49.619,-0.02418,0.000,1.81
