t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,0.00000,0.000,0.00
0.00050,0.00,4.88,0.0000,0.0114,30.014,49.983,0.00000,0.000,0.00
0.00100,0.00,9.67,0.0000,0.0426,30.028,49.965,0.00000,0.000,0.01
0.00150,0.00,14.28,0.0000,0.0891,30.041,49.949,0.00000,0.000,0.01
0.00200,0.00,18.68,0.0001,0.1469,30.053,49.932,0.00000,0.000,0.02
0.00250,0.00,22.82,0.0002,0.2124,30.064,49.917,0.00000,0.000,0.04
0.00300,0.00,26.68,0.0003,0.2827,30.075,49.902,0.00000,0.000,0.05
0.00350,0.00,30.24,0.0005,0.3550,30.084,49.888,0.00000,0.000,0.06
0.00400,0.00,33.50,0.0007,0.4272,30.092,49.875,0.00000,0.000,0.08
0.00450,0.00,36.47,0.0009,0.4975,30.100,49.863,0.00000,0.000,0.10
0.00500,0.00,39.15,0.0012,0.5645,30.106,49.851,0.00000,0.000,0.12
0.00550,0.00,41.56,0.0015,0.6270,30.112,49.840,0.00000,0.000,0.14
0.00600,0.00,43.73,0.0018,0.6844,30.116,49.829,0.00000,0.000,0.16
0.00650,0.00,45.67,0.0022,0.7362,30.120,49.820,0.00000,0.000,0.18
0.00700,0.00,47.41,0.0025,0.7820,30.123,49.810,0.00000,0.000,0.21
0.00750,0.00,48.98,0.0029,0.8217,30.126,49.802,0.00000,0.000,0.23
0.00800,0.00,50.39,0.0034,0.8556,30.128,49.793,0.00000,0.000,0.26
0.00850,0.00,51.67,0.0038,0.8836,30.129,49.785,0.00000,0.000,0.28
0.00900,0.00,52.85,0.0042,0.9063,30.131,49.777,0.00000,0.000,0.31
0.00950,0.00,53.95,0.0047,0.9239,30.132,49.770,0.00000,0.000,0.34
0.01000,0.00,54.98,0.0052,0.9370,30.132,49.762,0.00000,0.000,0.36
0.01050,0.00,55.97,0.0056,0.9459,30.133,49.755,0.00000,0.000,0.39
0.01100,0.00,56.92,0.0061,0.9511,30.133,49.748,0.00000,0.000,0.42
0.01150,0.00,57.86,0.0066,0.9533,30.134,49.741,0.00000,0.000,0.45
0.01200,0.00,58.79,0.0071,0.9528,30.134,49.734,0.00000,0.000,0.48
0.01250,0.00,59.73,0.0075,0.9502,30.134,49.726,0.00000,0.000,0.51
0.01300,0.00,60.68,0.0080,0.9458,30.135,49.719,0.00000,0.000,0.54
0.01350,0.00,61.64,0.0085,0.9402,30.135,49.712,0.00000,0.000,0.57
0.01400,0.00,62.64,0.0089,0.9335,30.136,49.705,0.00000,0.000,0.60
0.01450,0.00,63.65,0.0094,0.9263,30.137,49.697,0.00000,0.000,0.63
0.01500,0.00,64.70,0.0099,0.9187,30.137,49.690,0.00000,0.000,0.67
0.01550,0.00,65.78,0.0103,0.9110,30.138,49.682,0.00000,0.000,0.70
0.01600,0.00,66.88,0.0108,0.9034,30.139,49.675,0.00000,0.000,0.73
0.01650,0.00,68.01,0.0112,0.8961,30.140,49.667,0.00000,0.000,0.77
0.01700,0.00,69.17,0.0117,0.8892,30.142,49.660,0.00000,0.000,0.80
0.01750,0.00,70.35,0.0121,0.8828,30.143,49.652,0.00000,0.000,0.84
0.01800,0.00,71.56,0.0126,0.8769,30.144,49.644,0.00000,0.000,0.87
0.01850,0.00,72.79,0.0130,0.8717,30.146,49.636,0.00000,0.000,0.91
0.01900,0.00,74.03,0.0134,0.8670,30.147,49.628,0.00000,0.000,0.94
0.01950,0.00,75.29,0.0139,0.8630,30.149,49.620,0.00000,0.000,0.98
0.02000,0.00,76.57,0.0143,0.8595,30.150,49.612,0.00000,0.000,1.02
0.02050,0.00,77.85,0.0147,0.8566,30.152,49.604,0.00000,0.000,1.06
0.02100,0.00,79.14,0.0152,0.8543,30.153,49.596,0.00000,0.000,1.10
0.02150,0.00,80.44,0.0156,0.8524,30.155,49.588,0.00000,0.000,1.14
0.02200,0.00,81.74,0.0160,0.8509,30.157,49.580,0.00000,0.000,1.18
0.02250,0.00,83.05,0.0164,0.8499,30.158,49.572,0.00000,0.000,1.22
0.02300,0.00,84.35,0.0169,0.8491,30.160,49.564,0.00000,0.000,1.26
0.02350,0.00,85.66,0.0173,0.8487,30.162,49.556,0.00000,0.000,1.31
0.02400,0.00,86.96,0.0177,0.8485,30.163,49.548,0.00000,0.000,1.35
0.02450,0.00,88.27,0.0181,0.8484,30.165,49.540,0.00000,0.000,1.39
0.02500,0.00,89.57,0.0186,0.8485,30.167,49.532,0.00000,0.000,1.44
0.02550,0.00,90.87,0.0190,0.8487,30.169,49.524,0.00000,0.000,1.48
0.02600,0.00,92.16,0.0194,0.8490,30.170,49.516,0.00000,0.000,1.53
0.02650,0.00,93.45,0.0198,0.8493,30.172,49.508,0.00000,0.000,1.58
0.02700,0.00,94.74,0.0203,0.8496,30.173,49.500,0.00000,0.000,1.62
0.02750,0.00,96.02,0.0207,0.8499,30.175,49.492,0.00000,0.000,1.67
