t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,12.57,4.88,0.0000,0.0114,30.014,49.983,0.30000,31.451,0.00
0.00100,25.13,31.56,0.0000,0.0711,30.105,49.913,-0.30000,-14.336,0.01
0.00150,37.70,49.87,0.0001,0.2640,30.167,49.863,-0.30000,-17.902,0.01
0.00200,50.26,23.83,0.0003,0.3977,30.121,50.003,0.30000,27.740,0.03
0.00250,62.82,9.44,0.0005,0.3725,30.097,50.082,0.30000,40.358,0.05
0.00300,75.38,41.40,0.0007,0.3902,30.207,50.000,0.30000,24.267,0.07
0.00350,87.94,128.77,0.0009,0.6835,30.514,49.784,-0.30000,-24.910,0.09
0.00400,100.49,181.65,0.0014,1.2929,30.700,49.652,-0.30000,-38.926,0.13
0.00450,113.04,170.86,0.0022,1.8538,30.674,49.699,-0.30000,-27.092,0.16
0.00500,125.58,113.43,0.0032,2.1539,30.558,49.984,0.30000,5.526,0.17
0.00550,138.12,77.42,0.0043,2.1321,30.481,50.157,0.30000,23.725,0.20
0.00600,150.65,90.39,0.0053,2.0588,30.525,50.121,0.30000,21.803,0.23
0.00650,163.18,160.15,0.0064,2.1778,30.770,49.949,0.30000,1.063,0.23
0.00700,175.70,271.93,0.0076,2.6906,31.165,49.675,-0.30000,-28.709,0.28
0.00750,188.22,338.97,0.0091,3.5833,31.401,49.511,-0.30000,-38.693,0.35
0.00800,200.72,326.36,0.0111,4.4371,31.361,49.549,-0.30000,-32.044,0.41
0.00850,213.22,267.07,0.0135,5.0091,31.223,49.813,-0.30000,-14.172,0.44
0.00900,225.71,167.28,0.0161,5.1090,31.007,50.284,0.30000,14.513,0.47
0.00950,238.19,98.94,0.0185,4.7139,30.851,50.594,0.30000,30.312,0.54
0.01000,250.67,91.62,0.0208,4.1633,30.825,50.612,0.30000,32.394,0.62
0.01050,263.13,140.52,0.0227,3.7320,30.997,50.491,0.30000,24.984,0.68
0.01100,275.58,237.67,0.0246,3.6758,31.340,50.252,0.30000,7.833,0.70
0.01150,288.02,367.56,0.0265,4.1416,31.799,49.936,-0.30000,-15.437,0.74
0.01200,300.45,445.80,0.0288,5.0807,32.076,49.745,-0.30000,-25.816,0.81
0.01250,312.87,433.58,0.0316,6.0315,32.034,49.776,-0.30000,-21.098,0.87
0.01300,325.27,374.55,0.0348,6.7102,31.885,50.021,-0.30000,-8.615,0.90
0.01350,337.67,272.42,0.0382,6.9060,31.652,50.484,0.30000,10.936,0.93
0.01400,350.05,200.06,0.0416,6.5670,31.477,50.794,0.30000,23.195,1.00
0.01450,362.41,187.07,0.0447,6.0113,31.431,50.825,0.30000,25.819,1.09
0.01500,374.76,230.80,0.0476,5.5136,31.584,50.717,0.30000,21.014,1.16
0.01550,387.10,322.47,0.0503,5.3451,31.908,50.493,0.30000,9.479,1.20
0.01600,399.42,446.91,0.0530,5.6767,32.348,50.189,-0.30000,-6.781,1.22
0.01650,411.73,519.95,0.0561,6.4808,32.607,50.011,-0.30000,-14.728,1.27
0.01700,424.01,502.66,0.0595,7.2975,32.547,50.056,-0.30000,-10.507,1.31
0.01750,436.29,438.99,0.0633,7.8321,32.382,50.311,-0.30000,-0.356,1.32
0.01800,448.54,332.66,0.0673,7.8660,32.133,50.783,0.30000,14.486,1.37
0.01850,460.78,256.79,0.0711,7.3434,31.945,51.102,0.30000,23.879,1.48
0.01900,473.00,241.10,0.0746,6.5849,31.890,51.140,0.30000,26.118,1.59
0.01950,485.20,283.01,0.0777,5.8738,32.037,51.036,0.30000,22.622,1.69
0.02000,497.38,373.70,0.0805,5.4930,32.357,50.814,0.30000,13.964,1.75
0.02050,509.54,497.99,0.0833,5.6234,32.796,50.509,0.30000,1.299,1.76
0.02100,521.68,643.91,0.0862,6.3623,33.312,50.154,-0.30000,-13.187,1.82
0.02150,533.80,729.88,0.0897,7.6378,33.616,49.945,-0.30000,-20.169,1.92
0.02200,545.90,714.09,0.0939,8.9542,33.561,49.984,-0.30000,-17.124,2.00
0.02250,557.98,649.44,0.0986,9.9731,33.381,50.224,-0.30000,-9.309,2.05
0.02300,570.04,537.92,0.1038,10.4571,33.107,50.695,0.30000,3.225,2.07
0.02350,582.07,453.87,0.1090,10.3199,32.884,51.025,0.30000,12.422,2.13
