t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.000000e+10,8,8
5.000000e-01,3.580307e-05,9.217490e-05,4.266161e-09,1.431592e-04,3.682280e-04,1.697016e-08,-4.332521e-08,-1.651233e-07,-1.164165e-12,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.790153e-05,4.608745e-05,2.133080e-09,1.600000e+11,8,16
1.000000e+00,1.453374e-04,3.735023e-04,1.714312e-08,2.949218e-04,7.565840e-04,3.444042e-08,-1.259962e-07,-4.786608e-07,-3.322952e-12,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,9.057022e-05,2.328386e-04,1.070464e-08,2.400000e+11,8,24
1.500000e+00,3.254855e-04,8.349193e-04,3.799335e-08,4.256222e-04,1.088659e-03,4.888013e-08,-2.346599e-07,-8.882325e-07,-6.058606e-12,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,2.533130e-04,6.502982e-04,2.970131e-08,3.200000e+11,8,32
2.000000e+00,5.602965e-04,1.434410e-03,6.467943e-08,5.135895e-04,1.309022e-03,5.781447e-08,-3.503734e-07,-1.320536e-06,-8.820003e-12,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,5.334612e-04,1.367503e-03,6.204103e-08,4.000000e+11,8,40
2.500000e+00,8.271667e-04,2.113086e-03,9.434386e-08,5.538765e-04,1.405559e-03,6.082652e-08,-4.546619e-07,-1.704643e-06,-1.109355e-11,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,9.470446e-04,2.424046e-03,1.092130e-07,4.800000e+11,8,48
3.000000e+00,1.105734e-03,2.818159e-03,1.244857e-07,5.603920e-04,1.414721e-03,5.974701e-08,-5.354522e-07,-1.994625e-06,-1.256237e-11,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.499912e-03,3.833125e-03,1.714558e-07,5.600000e+11,8,56
3.500000e+00,1.385955e-03,3.523674e-03,1.539060e-07,5.604920e-04,1.407349e-03,5.794418e-08,-5.905031e-07,-2.182429e-06,-1.318983e-11,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,2.192889e-03,5.594962e-03,2.484088e-07,6.400000e+11,8,64
4.000000e+00,1.672117e-03,4.240683e-03,1.831417e-07,5.841456e-04,1.460618e-03,5.899268e-08,-6.269382e-07,-2.295761e-06,-1.319318e-11,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,3.028948e-03,7.715304e-03,3.399797e-07,7.200000e+11,8,72
4.500000e+00,1.981164e-03,5.012728e-03,2.142123e-07,6.520177e-04,1.627351e-03,6.525477e-08,-6.570519e-07,-2.381779e-06,-1.291747e-11,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,4.019530e-03,1.022167e-02,4.470858e-07,8.000000e+11,8,80
