t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,1.363517e-06,6.370382e-04,1.624720e-10,5.452046e-06,2.544893e-03,6.462915e-10,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.817583e-07,3.185191e-04,8.123602e-11,0.000000e+00,0,0
1.000000e+00,5.035870e-06,2.537438e-03,5.928236e-10,9.235970e-06,5.053492e-03,1.072745e-09,-4.681288e-26,-5.148685e-18,-7.824430e-40,1.486297e-18,1.486297e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.199693e-06,1.587238e-03,3.776478e-10,2.209079e-36,2,2
1.500000e+00,1.013691e-05,5.683060e-03,1.177535e-09,1.116748e-05,7.525829e-03,1.265036e-09,-1.377235e-24,-1.941976e-16,-2.220696e-38,5.606002e-17,5.606002e-17,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.268147e-06,4.428768e-03,9.664154e-10,3.144935e-33,2,4
2.000000e+00,1.586371e-05,1.005622e-02,1.816229e-09,1.173956e-05,9.963674e-03,1.289607e-09,-1.025195e-23,-1.958980e-15,-1.593138e-37,5.655087e-16,5.655087e-16,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.620000e-05,9.456876e-03,1.874530e-09,3.229450e-31,2,6
2.500000e+00,2.173435e-05,1.564029e-02,2.450050e-09,1.174302e-05,1.236954e-02,1.245924e-09,-4.104276e-23,-1.087892e-14,-6.136352e-37,3.140474e-15,3.140474e-15,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.706718e-05,1.727702e-02,3.099555e-09,1.018552e-29,2,8
3.000000e+00,2.762937e-05,2.241983e-02,3.065102e-09,1.183712e-05,1.474558e-02,1.214467e-09,-1.161285e-22,-4.262625e-14,-1.668439e-36,1.230514e-14,1.230514e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.088187e-05,2.848694e-02,4.632106e-09,1.616019e-28,2,10
3.500000e+00,3.366095e-05,3.038020e-02,3.675362e-09,1.228914e-05,1.709290e-02,1.226509e-09,-2.664236e-22,-1.326699e-13,-3.677083e-36,3.829851e-14,3.829851e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.771234e-05,4.367704e-02,6.469787e-09,1.628378e-27,2,12
4.000000e+00,3.997778e-05,3.950707e-02,4.298599e-09,1.297806e-05,1.941159e-02,1.266225e-09,-5.349963e-22,-3.505302e-13,-7.096432e-36,1.011894e-13,1.011894e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.770123e-05,6.343057e-02,8.619087e-09,1.186766e-26,2,14
4.500000e+00,4.662337e-05,4.978603e-02,4.939487e-09,1.360427e-05,2.170131e-02,1.297159e-09,-9.809043e-22,-8.192202e-13,-1.251418e-35,2.364885e-13,2.364885e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.010129e-04,8.832358e-02,1.108883e-08,6.779447e-26,2,16
5.000000e+00,5.351111e-05,6.120255e-02,5.587125e-09,1.394682e-05,2.396188e-02,1.293421e-09,-1.679265e-21,-1.740398e-12,-2.061697e-35,5.024096e-13,5.024096e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.277685e-04,1.189249e-01,1.388239e-08,3.202099e-25,2,18
5.500000e+00,6.050005e-05,7.374216e-02,6.224578e-09,1.400922e-05,2.619373e-02,1.256601e-09,-2.717316e-21,-3.425658e-12,-3.211031e-35,9.889022e-13,9.889022e-13,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.580185e-04,1.557959e-01,1.699468e-08,1.298138e-24,2,20
6.000000e+00,6.749806e-05,8.739074e-02,6.841301e-09,1.398317e-05,2.839774e-02,1.210550e-09,-4.191137e-21,-6.334317e-12,-4.766290e-35,1.828560e-12,1.828560e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.917675e-04,1.994913e-01,2.041533e-08,4.641768e-24,2,22
6.500000e+00,7.451393e-05,1.021346e-01,7.439075e-09,1.408070e-05,3.057485e-02,1.180717e-09,-6.208525e-21,-1.111800e-11,-6.794056e-35,3.209489e-12,3.209489e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.290245e-04,2.505586e-01,2.413487e-08,1.494259e-23,2,24
7.000000e+00,8.162532e-05,1.179604e-01,8.027762e-09,1.436522e-05,3.272560e-02,1.174073e-09,-8.897074e-21,-1.867222e-11,-9.369682e-35,5.390205e-12,5.390205e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.698372e-04,3.095388e-01,2.814875e-08,4.399690e-23,2,26
7.500000e+00,8.889341e-05,1.348550e-01,8.614910e-09,1.470758e-05,3.485002e-02,1.174523e-09,-1.240840e-20,-3.019514e-11,-1.257954e-34,8.716586e-12,8.716585e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.142839e-04,3.769663e-01,3.245621e-08,1.199758e-22,2,28
8.000000e+00,9.629707e-05,1.528051e-01,9.198042e-09,1.490764e-05,3.694798e-02,1.158104e-09,-1.691053e-20,-4.725344e-11,-1.650850e-34,1.364089e-11,1.364089e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.624324e-04,4.533688e-01,3.705523e-08,3.060497e-22,2,30
8.500000e+00,1.037508e-04,1.717977e-01,9.767153e-09,1.490785e-05,3.901967e-02,1.118562e-09,-2.257444e-20,-7.185541e-11,-2.122338e-34,2.074287e-11,2.074287e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.143078e-04,5.392677e-01,4.193880e-08,7.363163e-22,2,32
9.000000e+00,1.112156e-04,1.918198e-01,1.031814e-08,1.495209e-05,4.106610e-02,1.085591e-09,-2.957943e-20,-1.065313e-10,-2.678175e-34,3.075294e-11,3.075294e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.699155e-04,6.351776e-01,4.709787e-08,1.682060e-21,2,34
9.500000e+00,1.188431e-04,2.128592e-01,1.086970e-08,1.555885e-05,4.308894e-02,1.120441e-09,-3.816769e-20,-1.544212e-10,-3.329419e-34,4.457756e-11,4.457756e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.293371e-04,7.416072e-01,5.253272e-08,3.669219e-21,2,36
1.000000e+01,1.270528e-04,2.349046e-01,1.147161e-08,1.728029e-05,4.508994e-02,1.286298e-09,-4.875648e-20,-2.193704e-10,-4.103629e-34,6.332679e-11,6.332679e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.928635e-04,8.590595e-01,5.826853e-08,7.679501e-21,2,38
1.050000e+01,1.364615e-04,2.579452e-01,1.219537e-08,2.035458e-05,4.707003e-02,1.607002e-09,-6.207200e-20,-3.060325e-10,-5.055913e-34,8.834397e-11,8.834397e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.610943e-04,9.880321e-01,6.436622e-08,1.548416e-20,2,40
1.100000e+01,1.476628e-04,2.819705e-01,1.310723e-08,2.445029e-05,4.902865e-02,2.038069e-09,-7.923663e-20,-4.199788e-10,-6.272800e-34,1.212374e-10,1.212374e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.349257e-04,1.129017e+00,7.091983e-08,3.018268e-20,2,42
1.150000e+01,1.609474e-04,3.069692e-01,1.423522e-08,2.868779e-05,5.096383e-02,2.471521e-09,-1.017528e-19,-5.678143e-10,-7.865116e-34,1.639139e-10,1.639139e-10,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.153994e-04,1.282502e+00,7.803744e-08,5.705043e-20,2,44
