t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,4.990411e-05,4.514822e-04,-4.699186e-08,1.995424e-04,1.803618e-03,-1.869265e-07,-1.031991e+03,-6.033183e+03,3.363053e+05,1.270351e+02,3.356225e+03,0.000000e+00,9.049554e+02,0.000000e+00,0.000000e+00,0.000000e+00,2.495205e-05,2.257411e-04,2.349593e-08,6.049664e+06,1,1
1.000000e+00,2.000960e-04,1.795448e-03,-1.854060e-07,4.011498e-04,3.569983e-03,-3.657344e-07,-4.137277e+03,-2.398919e+04,1.326695e+06,5.887263e+02,1.326144e+04,0.000000e+00,3.548551e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.250001e-04,1.123465e-03,1.161989e-07,1.004519e+08,1,2
1.500000e+00,4.536337e-04,4.006890e-03,-4.104274e-07,6.129197e-04,5.273603e-03,-5.334170e-07,-9.146768e+03,-5.217580e+04,2.861016e+06,1.509890e+03,2.861382e+04,0.000000e+00,7.636878e+03,0.000000e+00,0.000000e+00,0.000000e+00,3.518169e-04,3.126910e-03,3.214126e-07,5.401282e+08,1,3
2.000000e+00,8.173585e-04,7.049412e-03,-7.159034e-07,8.418878e-04,6.894409e-03,-6.876281e-07,-1.575031e+04,-8.751136e+04,4.752939e+06,3.026288e+03,4.749842e+04,0.000000e+00,1.272402e+04,0.000000e+00,0.000000e+00,0.000000e+00,7.604962e-04,6.651616e-03,6.793643e-07,1.753708e+09,1,4
2.500000e+00,1.300959e-03,1.087848e-02,-1.094782e-06,1.092407e-03,8.419926e-03,-8.271082e-07,-2.376188e+04,-1.273427e+05,6.843052e+06,5.288928e+03,6.823242e+04,0.000000e+00,1.847295e+04,0.000000e+00,0.000000e+00,0.000000e+00,1.410976e-03,1.209086e-02,1.226755e-06,4.266151e+09,2,6
3.000000e+00,1.915573e-03,1.544477e-02,-1.539623e-06,1.365923e-03,9.843402e-03,-9.515614e-07,-3.311891e+04,-1.697720e+05,9.017773e+06,8.438260e+03,8.957967e+04,0.000000e+00,2.468065e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.368762e-03,1.981324e-02,1.996567e-06,8.618579e+09,2,8
3.500000e+00,2.672419e-03,2.069643e-02,-2.043018e-06,1.661316e-03,1.116157e-02,-1.061407e-06,-4.382105e+04,-2.135450e+05,1.120353e+07,1.257808e+04,1.107122e+05,0.000000e+00,3.124297e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.704971e-03,3.016146e-02,3.018075e-06,1.531434e+10,2,10
4.000000e+00,3.581678e-03,2.658053e-02,-2.597885e-06,1.975549e-03,1.237327e-02,-1.157527e-06,-5.587608e+04,-2.578611e+05,1.335631e+07,1.776010e+04,1.311161e+05,0.000000e+00,3.811598e+04,0.000000e+00,0.000000e+00,0.000000e+00,5.495810e-03,4.345173e-02,4.317018e-06,2.479417e+10,2,12
4.500000e+00,4.651726e-03,3.304393e-02,-3.197645e-06,2.304448e-03,1.347894e-02,-1.241049e-06,-6.926874e+04,-3.022147e+05,1.545232e+07,2.398141e+04,1.505023e+05,0.000000e+00,4.528733e+04,0.000000e+00,0.000000e+00,0.000000e+00,7.821674e-03,5.997369e-02,5.915841e-06,3.743267e+10,2,14
