t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,4.990411e-05,4.514822e-04,-4.699186e-08,1.995424e-04,1.803618e-03,-1.869265e-07,-1.404184e+03,-9.098319e+03,1.420729e+03,3.319550e+03,1.933367e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.495205e-05,2.257411e-04,2.349593e-08,7.378659e+06,2,2
1.000000e+00,1.983784e-04,1.792135e-03,-1.859828e-07,3.942818e-04,3.556749e-03,-3.680287e-07,-2.794264e+03,-1.811973e+04,2.843919e+03,6.609830e+03,3.851600e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.241412e-04,1.121809e-03,1.164873e-07,3.664100e+07,2,4
1.500000e+00,4.429850e-04,3.996798e-03,-4.141158e-07,5.840718e-04,5.259720e-03,-5.435260e-07,-4.168737e+03,-2.706091e+04,4.269783e+03,9.869130e+03,5.754493e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.456338e-04,3.120208e-03,3.235452e-07,1.018980e+08,2,6
2.000000e+00,7.813834e-04,7.040909e-03,-7.286216e-07,7.694460e-04,6.914606e-03,-7.135499e-07,-5.530869e+03,-3.592738e+04,5.697920e+03,1.310068e+04,7.642003e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.363255e-04,6.640663e-03,6.878560e-07,2.169119e+08,2,8
2.500000e+00,1.211573e-03,1.090113e-02,-1.126787e-06,9.512292e-04,8.524206e-03,-8.781932e-07,-6.886030e+03,-4.472852e+04,7.127666e+03,1.630987e+04,9.514152e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.342112e-03,1.209123e-02,1.251249e-06,3.951774e+08,2,10
3.000000e+00,1.731929e-03,1.555541e-02,-1.605948e-06,1.130105e-03,1.009093e-02,-1.037563e-06,-8.238672e+03,-5.347202e+04,8.558488e+03,1.950116e+04,1.137093e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.208076e-03,1.986893e-02,2.054223e-06,6.499740e+08,2,12
3.500000e+00,2.341071e-03,2.098266e-02,-2.163505e-06,1.306355e-03,1.161613e-02,-1.191809e-06,-9.590499e+03,-6.216048e+04,9.990214e+03,2.267614e+04,1.321223e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.378612e-03,3.036026e-02,3.135976e-06,9.943592e+08,2,14
4.000000e+00,3.037659e-03,2.716220e-02,-2.796947e-06,1.479872e-03,1.310013e-02,-1.341126e-06,-1.094048e+04,-7.079147e+04,1.142303e+04,2.583361e+04,1.503786e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.897441e-03,4.394137e-02,4.534449e-06,1.441115e+09,2,16
4.500000e+00,3.820257e-03,3.407340e-02,-3.503860e-06,1.650369e-03,1.454282e-02,-1.485719e-06,-1.228635e+04,-7.936029e+04,1.285727e+04,2.897106e+04,1.684762e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.807570e-03,6.097806e-02,6.286379e-06,2.002698e+09,2,18
5.000000e+00,4.687305e-03,4.169562e-02,-4.281929e-06,1.817644e-03,1.594427e-02,-1.625778e-06,-1.362637e+04,-8.786331e+04,1.429320e+04,3.208658e+04,1.864132e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.151222e-03,8.182587e-02,8.427344e-06,2.691222e+09,2,20
5.500000e+00,5.637200e-03,5.000840e-02,-5.128928e-06,1.981720e-03,1.730516e-02,-1.761460e-06,-1.496040e+04,-9.629984e+04,1.573088e+04,3.517991e+04,2.041883e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.196982e-02,1.068301e-01,1.099181e-05,3.518499e+09,2,22
6.000000e+00,6.668399e-03,5.899177e-02,-6.042699e-06,2.142812e-03,1.862663e-02,-1.892894e-06,-1.628962e+04,-1.046717e+05,1.717018e+04,3.825215e+04,2.218008e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.530402e-02,1.363260e-01,1.401316e-05,4.496090e+09,2,24
6.500000e+00,7.779467e-03,6.862630e-02,-7.021150e-06,2.301150e-03,1.990987e-02,-2.020201e-06,-1.761536e+04,-1.129809e+05,1.861098e+04,4.130456e+04,2.392501e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.919376e-02,1.706391e-01,1.752373e-05,5.635327e+09,2,26
7.000000e+00,8.969050e-03,7.889307e-02,-8.062252e-06,2.456815e-03,2.115566e-02,-2.143519e-06,-1.893793e+04,-1.212277e+05,2.005328e+04,4.433735e+04,2.565351e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.367828e-02,2.100856e-01,2.155486e-05,6.947278e+09,2,28
7.500000e+00,1.023578e-02,8.977343e-02,-9.164049e-06,2.609691e-03,2.236427e-02,-2.263001e-06,-2.025624e+04,-1.294098e+05,2.149726e+04,4.734931e+04,2.736545e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.879617e-02,2.549724e-01,2.613688e-05,8.442691e+09,2,30
8.000000e+00,1.157823e-02,1.012488e-01,-1.032466e-05,2.759598e-03,2.353581e-02,-2.378805e-06,-2.156874e+04,-1.375239e+05,2.294315e+04,5.033875e+04,2.906071e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.458529e-02,3.055968e-01,3.129921e-05,1.013195e+10,2,32
