t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,4.990411e-05,4.514822e-04,-4.699186e-08,1.995424e-04,1.803618e-03,-1.869265e-07,-8.175954e+01,-7.396785e+02,1.954078e+00,2.543942e+02,1.726594e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.495205e-05,2.257411e-04,2.349593e-08,4.726383e+04,2,2
1.000000e+00,1.989822e-04,1.798112e-03,-1.858465e-07,3.966964e-04,3.580627e-03,-3.674865e-07,-2.707993e+02,-2.446519e+03,6.434536e+00,8.416081e+02,5.708903e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.244432e-04,1.124797e-03,1.164192e-07,5.643738e+05,2,4
1.500000e+00,4.459459e-04,4.025854e-03,-4.134515e-07,5.910835e-04,5.328103e-03,-5.419617e-07,-5.015174e+02,-4.525431e+03,1.187094e+01,1.557063e+03,1.055696e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.474161e-04,3.137725e-03,3.231449e-07,2.333843e+06,2,6
2.000000e+00,7.895176e-04,7.120080e-03,-7.268061e-07,7.831249e-04,7.046599e-03,-7.105177e-07,-7.630766e+02,-6.876355e+03,1.800317e+01,2.366457e+03,1.603609e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.421749e-04,6.697765e-03,6.865480e-07,6.419682e+06,2,8
2.500000e+00,1.228710e-03,1.106670e-02,-1.122981e-06,9.735595e-04,8.737712e-03,-8.732750e-07,-1.054222e+03,-9.483377e+03,2.478794e+01,3.264569e+03,2.210661e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.356530e-03,1.223111e-02,1.248038e-06,1.419190e+07,2,10
3.000000e+00,1.762873e-03,1.585234e-02,-1.599110e-06,1.162997e-03,1.040273e-02,-1.030365e-06,-1.375443e+03,-1.234498e+04,3.221764e+01,4.251207e+03,2.876173e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.237967e-03,2.015728e-02,2.047593e-06,2.736447e+07,2,12
3.500000e+00,2.391564e-03,2.146403e-02,-2.152402e-06,1.351655e-03,1.204194e-02,-1.181960e-06,-1.727388e+03,-1.546166e+04,4.029102e+01,5.326834e+03,3.599957e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.433749e-03,3.088930e-02,3.123794e-06,4.803189e+07,2,14
4.000000e+00,3.114351e-03,2.788868e-02,-2.780164e-06,1.539360e-03,1.365460e-02,-1.328274e-06,-2.110465e+03,-1.883342e+04,4.900865e+01,6.491661e+03,4.381817e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.990924e-03,4.483364e-02,4.513876e-06,7.870289e+07,2,16
4.500000e+00,3.930671e-03,3.511272e-02,-3.479814e-06,1.725760e-03,1.523954e-02,-1.469536e-06,-2.524807e+03,-2.245954e+04,5.837212e+01,7.745544e+03,5.221477e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.956260e-03,6.239001e-02,6.253783e-06,1.223315e+08,2,18
5.000000e+00,4.839805e-03,4.312205e-02,-4.248877e-06,1.910584e-03,1.679579e-02,-1.605957e-06,-2.970425e+03,-2.633890e+04,6.838337e+01,9.088164e+03,6.118606e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.376162e-03,8.395103e-02,8.378222e-06,1.823476e+08,2,20
5.500000e+00,5.840954e-03,5.190223e-02,-5.084979e-06,2.093781e-03,1.832298e-02,-1.737716e-06,-3.447393e+03,-3.047043e+04,7.904414e+01,1.051925e+04,7.072860e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.229664e-02,1.099021e-01,1.092071e-05,2.626876e+08,2,22
6.000000e+00,6.933342e-03,6.143876e-02,-5.985827e-06,2.275492e-03,1.982122e-02,-1.864964e-06,-3.955938e+03,-3.485338e+04,9.035567e+01,1.203870e+04,8.083907e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.576331e-02,1.406215e-01,1.391363e-05,3.678275e+08,2,24
6.500000e+00,8.116268e-03,7.171719e-02,-6.949200e-06,2.455877e-03,2.129067e-02,-1.987843e-06,-4.496403e+03,-3.948719e+04,1.023189e+02,1.364652e+04,9.151416e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.982144e-02,1.764801e-01,1.738823e-05,5.028155e+08,2,26
7.000000e+00,9.389072e-03,8.272309e-02,-7.972953e-06,2.634946e-03,2.273112e-02,-2.106510e-06,-5.069111e+03,-4.437116e+04,1.149346e+02,1.534268e+04,1.027502e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.451598e-02,2.178417e-01,2.137470e-05,6.733024e+08,2,28
7.500000e+00,1.075105e-02,9.444178e-02,-9.055025e-06,2.812517e-03,2.414187e-02,-2.221139e-06,-5.674251e+03,-4.950413e+04,1.282043e+02,1.712693e+04,1.145430e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.989151e-02,2.650626e-01,2.590221e-05,8.855687e+08,2,30
8.000000e+00,1.220140e-02,1.068582e-01,-1.019344e-05,2.988335e-03,2.552203e-02,-2.331907e-06,-6.311867e+03,-5.488451e+04,1.421297e+02,1.899883e+04,1.268876e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.599221e-02,3.184916e-01,3.099894e-05,1.146549e+09,2,32
8.500000e+00,1.373922e-02,1.199569e-01,-1.138631e-05,3.162290e-03,2.687110e-02,-2.438970e-06,-6.981979e+03,-6.051051e+04,1.567126e+02,2.095788e+04,1.397788e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.286182e-02,3.784701e-01,3.669209e-05,1.463856e+09,2,34
9.000000e+00,1.536361e-02,1.337224e-01,-1.263181e-05,3.334573e-03,2.818937e-02,-2.542441e-06,-7.684753e+03,-6.638067e+04,1.719544e+02,2.300374e+04,1.532116e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.054362e-02,4.453313e-01,4.300799e-05,1.845811e+09,2,36
9.500000e+00,1.707388e-02,1.481396e-01,-1.392816e-05,3.505648e-03,2.947782e-02,-2.642398e-06,-8.420623e+03,-7.249409e+04,1.878556e+02,2.513636e+04,1.671812e+04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.908056e-02,5.194011e-01,4.997207e-05,2.301477e+09,2,38
