t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.280963e-03,-3.216909e-03,-4.054134e-09,2.069124e-03,0.000000e+00,0.000000e+00,2.118399e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.163074e-06,2,2
5.000000e-01,4.990410e-05,4.514822e-04,-4.699186e-08,1.995424e-04,1.803618e-03,-1.869265e-07,-1.240828e-02,-1.371859e-01,-9.641538e-11,4.580630e-02,3.339801e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.495205e-05,2.257411e-04,2.349593e-08,1.608985e-03,2,4
1.000000e+00,1.990201e-04,1.798641e-03,-1.858380e-07,3.968476e-04,3.582739e-03,-3.674526e-07,-2.313274e-02,-2.739904e-01,2.686737e-09,9.066058e-02,6.752783e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.244621e-04,1.125062e-03,1.164149e-07,7.998660e-03,2,6
1.500000e+00,4.461845e-04,4.029183e-03,-4.133978e-07,5.917353e-04,5.337180e-03,-5.418157e-07,-4.448946e-02,-4.273102e-01,-1.139547e-08,1.455986e-01,1.011091e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.475543e-04,3.139653e-03,3.231138e-07,2.370965e-02,2,8
2.000000e+00,7.903136e-04,7.131157e-03,-7.266277e-07,7.847024e-04,7.068500e-03,-7.101658e-07,-5.146914e-02,-5.625838e-01,-1.449149e-09,1.881385e-01,1.366694e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.427112e-04,6.705232e-03,6.864277e-07,5.074697e-02,2,10
2.500000e+00,1.230647e-03,1.109358e-02,-1.122548e-06,9.765435e-04,8.779009e-03,-8.726118e-07,-6.155465e-02,-7.041227e-01,3.683614e-09,2.340400e-01,1.724854e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.358034e-03,1.225202e-02,1.247702e-06,9.300994e-02,2,12
3.000000e+00,1.766787e-03,1.590654e-02,-1.598238e-06,1.167922e-03,1.047066e-02,-1.029274e-06,-7.350921e-02,-8.503251e-01,5.620907e-09,2.822223e-01,2.087131e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.241428e-03,2.020529e-02,2.046821e-06,1.546152e-01,2,14
3.500000e+00,2.398573e-03,2.156083e-02,-2.150846e-06,1.359107e-03,1.214436e-02,-1.180316e-06,-8.876683e-02,-1.003071e+00,2.801342e-09,3.339450e-01,2.451782e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.440714e-03,3.098571e-02,3.122244e-06,2.404310e-01,2,16
4.000000e+00,3.125879e-03,2.804746e-02,-2.777613e-06,1.549983e-03,1.380005e-02,-1.325939e-06,-1.097188e-01,-1.165509e+00,-7.974898e-09,3.913129e-01,2.815941e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.003654e-03,4.500944e-02,4.511050e-06,3.566415e-01,2,18
4.500000e+00,3.948478e-03,3.535728e-02,-3.475884e-06,1.740252e-03,1.543716e-02,-1.466362e-06,-1.196181e-01,-1.314671e+00,-9.126470e-10,4.393218e-01,3.197037e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.977893e-03,6.268808e-02,6.248992e-06,5.042486e-01,2,20
5.000000e+00,4.866015e-03,4.348093e-02,-4.243109e-06,1.929698e-03,1.705536e-02,-1.601786e-06,-1.352157e-01,-1.473570e+00,-2.730216e-09,4.929910e-01,3.577753e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.410900e-03,8.442854e-02,8.370547e-06,6.897702e-01,2,22
5.500000e+00,5.878080e-03,5.240900e-02,-5.076832e-06,2.118327e-03,1.865490e-02,-1.732378e-06,-1.500356e-01,-1.633182e+00,-2.639080e-09,5.464767e-01,3.964411e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.234994e-02,1.106330e-01,1.090896e-05,9.176714e-01,2,24
6.000000e+00,6.984317e-03,6.213235e-02,-5.974672e-06,2.306334e-03,2.023648e-02,-1.858279e-06,-1.660677e-01,-1.796354e+00,-4.415158e-09,6.015967e-01,4.355289e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.584210e-02,1.416992e-01,1.389630e-05,1.193473e+00,2,26
6.500000e+00,8.184470e-03,7.264218e-02,-6.934316e-06,2.493935e-03,2.180087e-02,-1.979622e-06,-1.738947e-01,-1.949976e+00,7.880797e-09,6.498570e-01,4.759623e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.993433e-02,1.780203e-01,1.736346e-05,1.517901e+00,2,28
