t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.000000e+10,8,8
5.000000e-01,7.350742e-05,1.251380e-05,5.791806e-10,2.939208e-04,4.999118e-05,2.303896e-09,-1.168873e+02,-1.987206e+01,-2.358148e-02,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,3.675371e-05,6.256901e-06,2.895903e-10,1.600000e+11,8,16
1.000000e+00,2.923679e-04,4.609266e-05,2.120276e-09,5.814144e-04,8.428033e-05,3.851870e-09,-3.586010e+02,-5.563636e+01,-6.513963e-02,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.829376e-04,2.930323e-05,1.349728e-09,2.400000e+11,8,24
1.500000e+00,6.532033e-04,9.249473e-05,4.230062e-09,8.618236e-04,1.013061e-04,4.583206e-09,-6.646172e+02,-9.080994e+01,-1.057793e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,5.095393e-04,7.555059e-05,3.464759e-09,3.200000e+11,8,32
2.000000e+00,1.152911e-03,1.442552e-04,6.557203e-09,1.136905e-03,1.057299e-04,4.724579e-09,-1.029606e+03,-1.207841e+02,-1.405851e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.085995e-03,1.476782e-04,6.743361e-09,4.000000e+11,8,40
2.500000e+00,1.789532e-03,1.969137e-04,8.894040e-09,1.409478e-03,1.049054e-04,4.623333e-09,-1.451967e+03,-1.446404e+02,-1.685247e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.980761e-03,2.461350e-04,1.119038e-08,4.800000e+11,8,48
3.000000e+00,2.562400e-03,2.493702e-04,1.119065e-08,1.681892e-03,1.049204e-04,4.563437e-09,-1.925417e+03,-1.641531e+02,-1.915481e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,3.261961e-03,3.708201e-04,1.678570e-08,5.600000e+11,8,56
3.500000e+00,3.471674e-03,3.026560e-04,1.349586e-08,1.955103e-03,1.082188e-04,4.656898e-09,-2.443972e+03,-1.826501e+02,-2.134273e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,4.997798e-03,5.221481e-04,2.353363e-08,6.400000e+11,8,64
4.000000e+00,4.517644e-03,3.581286e-04,1.587264e-08,2.228678e-03,1.136643e-04,4.849167e-09,-3.005379e+03,-2.027632e+02,-2.371960e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,7.256620e-03,7.012124e-04,3.146996e-08,7.200000e+11,8,72
4.500000e+00,5.700227e-03,4.161692e-04,1.833802e-08,2.501552e-03,1.184921e-04,5.011454e-09,-3.610080e+03,-2.249986e+02,-2.634638e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.010673e-02,9.092970e-04,4.063897e-08,8.000000e+11,8,80
5.000000e+00,7.018875e-03,4.759634e-04,2.085371e-08,2.772938e-03,1.206815e-04,5.051086e-09,-4.259268e+03,-2.481065e+02,-2.908075e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.361617e-02,1.147279e-03,5.106582e-08,8.800000e+11,8,88
5.500000e+00,8.472846e-03,5.362052e-04,2.335944e-08,3.042848e-03,1.202862e-04,4.972261e-09,-4.954104e+03,-2.705450e+02,-3.174492e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,1.785259e-02,1.415381e-03,6.274554e-08,9.600000e+11,8,96
6.000000e+00,1.006158e-02,5.960477e-04,2.581699e-08,3.311968e-03,1.190851e-04,4.858602e-09,-5.695774e+03,-2.917751e+02,-3.427595e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,2.288338e-02,1.713405e-03,7.565404e-08,1.040000e+12,8,104
6.500000e+00,1.178486e-02,6.555762e-04,2.823167e-08,3.581053e-03,1.190287e-04,4.800446e-09,-6.485591e+03,-3.125302e+02,-3.675811e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,2.877581e-02,2.041193e-03,8.976988e-08,1.120000e+12,8,112
7.000000e+00,1.364273e-02,7.155063e-04,3.063765e-08,3.850330e-03,1.206892e-04,4.823335e-09,-7.324817e+03,-3.340381e+02,-3.933366e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,3.559717e-02,2.398946e-03,1.050887e-07,1.200000e+12,8,120
7.500000e+00,1.563517e-02,7.763964e-04,3.306127e-08,4.119341e-03,1.228684e-04,4.870891e-09,-8.214342e+03,-3.569108e+02,-4.207434e-01,2.000000e+05,2.000000e+05,2.000000e+05,2.000000e+05,0.000000e+00,0.000000e+00,0.000000e+00,4.341476e-02,2.787145e-03,1.216193e-07,1.280000e+12,8,128
