t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,7.001026e-05,3.510370e-06,1.624717e-10,2.799373e-04,1.402352e-05,6.462886e-10,-1.017890e+03,-3.650195e+01,-2.596259e+00,5.194986e+02,0.000000e+00,0.000000e+00,4.983913e+02,0.000000e+00,0.000000e+00,0.000000e+00,3.500513e-05,1.755185e-06,8.123583e-11,2.591363e+05,2,2
1.000000e+00,2.789798e-04,1.290376e-05,5.925740e-10,5.558386e-04,2.353787e-05,1.071753e-09,-2.202619e+03,-7.134205e+01,-4.983584e+00,1.121936e+03,0.000000e+00,0.000000e+00,1.080683e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.744950e-04,8.207067e-06,3.775228e-10,1.472445e+06,2,4
1.500000e+00,6.247683e-04,2.581742e-05,1.175776e-09,8.272147e-04,2.811090e-05,1.260007e-09,-3.588850e+03,-1.014627e+02,-7.051928e+00,1.823760e+03,0.000000e+00,0.000000e+00,1.765091e+03,0.000000e+00,0.000000e+00,0.000000e+00,4.868792e-04,2.111578e-05,9.654108e-10,4.693267e+06,2,6
2.000000e+00,1.105144e-03,4.011162e-05,1.809800e-09,1.094190e-03,2.906469e-05,1.276000e-09,-5.209395e+03,-1.245261e+02,-8.639469e+00,2.640700e+03,0.000000e+00,0.000000e+00,2.568695e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.039451e-03,4.117159e-05,1.870311e-09,1.147901e+07,2,8
2.500000e+00,1.717998e-03,5.449840e-05,2.433483e-09,1.357126e-03,2.848316e-05,1.219051e-09,-7.030130e+03,-1.393893e+02,-9.649025e+00,3.555364e+03,0.000000e+00,0.000000e+00,3.474766e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.898450e-03,6.842079e-05,3.087052e-09,2.383632e+07,2,10
3.000000e+00,2.461383e-03,6.864361e-05,3.030910e-09,1.616319e-03,2.809815e-05,1.170926e-09,-8.968587e+03,-1.476101e+02,-1.017233e+01,4.526970e+03,0.000000e+00,0.000000e+00,4.441618e+03,0.000000e+00,0.000000e+00,0.000000e+00,3.129142e-03,1.027426e-04,4.602507e-09,4.394703e+07,2,12
3.500000e+00,3.333443e-03,8.282198e-05,3.614812e-09,1.871824e-03,2.861465e-05,1.164716e-09,-1.094727e+04,-1.526854e+02,-1.044627e+01,5.517777e+03,0.000000e+00,0.000000e+00,5.429491e+03,0.000000e+00,0.000000e+00,0.000000e+00,4.795863e-03,1.441536e-04,6.409913e-09,7.390965e+07,2,14
4.000000e+00,4.332285e-03,9.740677e-05,4.202496e-09,2.123453e-03,2.972308e-05,1.185903e-09,-1.292158e+04,-1.576065e+02,-1.068344e+01,6.506352e+03,0.000000e+00,0.000000e+00,6.415223e+03,0.000000e+00,0.000000e+00,0.000000e+00,6.962005e-03,1.928570e-04,8.511160e-09,1.156535e+08,2,16
4.500000e+00,5.455902e-03,1.124999e-04,4.798589e-09,2.370922e-03,3.064840e-05,1.198402e-09,-1.487565e+04,-1.632435e+02,-1.095439e+01,7.485017e+03,0.000000e+00,0.000000e+00,7.390630e+03,0.000000e+00,0.000000e+00,0.000000e+00,9.689956e-03,2.491069e-04,1.091045e-08,1.709769e+08,2,18
5.000000e+00,6.702169e-03,1.278676e-04,5.392170e-09,2.614055e-03,3.082186e-05,1.176048e-09,-1.680861e+04,-1.686220e+02,-1.120044e+01,8.453051e+03,0.000000e+00,0.000000e+00,8.355555e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.304104e-02,3.130407e-04,1.360654e-08,2.416116e+08,2,20
5.500000e+00,8.068930e-03,1.431377e-04,5.966127e-09,2.852902e-03,3.025934e-05,1.120091e-09,-1.872472e+04,-1.723958e+02,-1.133233e+01,9.412200e+03,0.000000e+00,0.000000e+00,9.312524e+03,0.000000e+00,0.000000e+00,0.000000e+00,1.707551e-02,3.846096e-04,1.658960e-08,3.292679e+08,2,22
6.000000e+00,9.554101e-03,1.580684e-04,6.509653e-09,3.087692e-03,2.946456e-05,1.054382e-09,-2.062892e+04,-1.741913e+02,-1.132385e+01,1.036482e+04,0.000000e+00,0.000000e+00,1.026410e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.185256e-02,4.636438e-04,1.984443e-08,4.356586e+08,2,24
6.500000e+00,1.115571e-02,1.726820e-04,7.024363e-09,3.318666e-03,2.899044e-05,1.004734e-09,-2.252521e+04,-1.748907e+02,-1.123445e+01,1.131316e+04,0.000000e+00,0.000000e+00,1.121205e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.743041e-02,5.499848e-04,2.335661e-08,5.625074e+08,2,26
7.000000e+00,1.287188e-02,1.871798e-04,7.520149e-09,3.545910e-03,2.900059e-05,9.785582e-10,-2.441618e+04,-1.758187e+02,-1.115572e+01,1.225891e+04,0.000000e+00,0.000000e+00,1.215726e+04,0.000000e+00,0.000000e+00,0.000000e+00,3.386635e-02,6.435747e-04,2.711669e-08,7.115474e+08,2,28
7.500000e+00,1.470070e-02,2.017196e-04,8.004753e-09,3.769312e-03,2.915824e-05,9.599612e-10,-2.630285e+04,-1.776012e+02,-1.113301e+01,1.320277e+04,0.000000e+00,0.000000e+00,1.310009e+04,0.000000e+00,0.000000e+00,0.000000e+00,4.121670e-02,7.444345e-04,3.111906e-08,8.845101e+08,2,30
8.000000e+00,1.664022e-02,2.162453e-04,8.475903e-09,3.988685e-03,2.894498e-05,9.248373e-10,-2.818493e+04,-1.796847e+02,-1.113071e+01,1.414441e+04,0.000000e+00,0.000000e+00,1.404052e+04,0.000000e+00,0.000000e+00,0.000000e+00,4.953681e-02,8.525572e-04,3.535701e-08,1.083110e+09,2,32
8.500000e+00,1.868841e-02,2.305351e-04,8.923694e-09,4.203988e-03,2.821491e-05,8.666483e-10,-3.006154e+04,-1.810255e+02,-1.107769e+01,1.508310e+04,0.000000e+00,0.000000e+00,1.497844e+04,0.000000e+00,0.000000e+00,0.000000e+00,5.888102e-02,9.678247e-04,3.981886e-08,1.309037e+09,2,34
9.000000e+00,2.084330e-02,2.444891e-04,9.344029e-09,4.415482e-03,2.760166e-05,8.149824e-10,-3.193227e+04,-1.815950e+02,-1.097059e+01,1.601863e+04,0.000000e+00,0.000000e+00,1.591365e+04,0.000000e+00,0.000000e+00,0.000000e+00,6.930267e-02,1.090069e-03,4.449088e-08,1.563957e+09,2,36
9.500000e+00,2.310311e-02,2.584998e-04,9.755631e-09,4.623703e-03,2.844016e-05,8.313340e-10,-3.379797e+04,-1.836500e+02,-1.096293e+01,1.695207e+04,0.000000e+00,0.000000e+00,1.684590e+04,0.000000e+00,0.000000e+00,0.000000e+00,8.085422e-02,1.219319e-03,4.936869e-08,1.849536e+09,2,38
1.000000e+01,2.546636e-02,2.736447e-04,1.020849e-08,4.829220e-03,3.213454e-05,9.792935e-10,-3.566073e+04,-1.916645e+02,-1.136299e+01,1.788577e+04,0.000000e+00,0.000000e+00,1.777497e+04,0.000000e+00,0.000000e+00,0.000000e+00,9.358741e-02,1.356141e-03,5.447294e-08,2.167461e+09,2,40
1.050000e+01,2.793176e-02,2.914949e-04,1.077443e-08,5.032282e-03,3.925714e-05,1.282773e-09,-3.752293e+04,-2.105111e+02,-1.250998e+01,1.882231e+04,0.000000e+00,0.000000e+00,1.870062e+04,0.000000e+00,0.000000e+00,0.000000e+00,1.075533e-01,1.501889e-03,5.986015e-08,2.519457e+09,2,42
1.100000e+01,3.049799e-02,3.135365e-04,1.151982e-08,5.232567e-03,4.889674e-05,1.696501e-09,-3.938563e+04,-2.425873e+02,-1.457473e+01,1.976293e+04,0.000000e+00,0.000000e+00,1.962269e+04,0.000000e+00,0.000000e+00,0.000000e+00,1.228023e-01,1.658657e-03,6.562006e-08,2.907269e+09,2,44
