t,x,y,psi,u,v,r,tau_x,tau_y,tau_psi,T1,T2,T3,T4,ref_x,ref_y,ref_psi,IAE_x,IAE_y,IAE_psi,E_fuel,sat_step,sat_total
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0
5.000000e-01,7.001026e-05,3.510370e-06,1.624717e-10,2.799373e-04,1.402352e-05,6.462886e-10,-1.147001e+02,-5.751156e+00,-6.756113e-03,5.901033e+01,0.000000e+00,0.000000e+00,5.568982e+01,0.000000e+00,0.000000e+00,0.000000e+00,3.500513e-05,1.755185e-06,8.123583e-11,3.291787e+03,2,2
1.000000e+00,2.793979e-04,1.292579e-05,5.944324e-10,5.575104e-04,2.362588e-05,1.079146e-09,-3.803078e+02,-1.729390e+01,-2.024600e-02,1.951463e+02,0.000000e+00,0.000000e+00,1.851614e+02,0.000000e+00,0.000000e+00,0.000000e+00,1.747041e-04,8.218082e-06,3.784520e-10,3.947521e+04,2,4
1.500000e+00,6.268651e-04,2.592196e-05,1.184545e-09,8.322566e-04,2.835272e-05,1.280188e-09,-7.053541e+02,-2.753892e+01,-3.218237e-02,3.606271e+02,0.000000e+00,0.000000e+00,3.447270e+02,0.000000e+00,0.000000e+00,0.000000e+00,4.881367e-04,2.117906e-05,9.707246e-10,1.639195e+05,2,6
2.000000e+00,1.111095e-03,4.038943e-05,1.832985e-09,1.104560e-03,2.951567e-05,1.313390e-09,-1.074807e+03,-3.507895e+01,-4.092561e-02,5.475300e+02,0.000000e+00,0.000000e+00,5.272767e+02,0.000000e+00,0.000000e+00,0.000000e+00,1.043684e-03,4.137377e-05,1.887217e-09,4.528244e+05,2,8
2.500000e+00,1.731043e-03,5.506465e-05,2.480508e-09,1.375132e-03,2.918563e-05,1.276904e-09,-1.486843e+03,-4.053348e+01,-4.721156e-02,7.551226e+02,0.000000e+00,0.000000e+00,7.317200e+02,0.000000e+00,0.000000e+00,0.000000e+00,1.909205e-03,6.890610e-05,3.127471e-09,1.005637e+06,2,10
3.000000e+00,2.485989e-03,6.963015e-05,3.112431e-09,1.644553e-03,2.907650e-05,1.250934e-09,-1.941986e+03,-4.523442e+01,-5.260602e-02,9.840516e+02,0.000000e+00,0.000000e+00,9.579349e+02,0.000000e+00,0.000000e+00,0.000000e+00,3.152200e-03,1.037212e-04,4.683687e-09,1.948635e+06,2,12
3.500000e+00,3.375406e-03,8.436858e-05,3.741964e-09,1.913015e-03,2.987617e-05,1.267111e-09,-2.441021e+03,-5.030555e+01,-5.842495e-02,1.235033e+03,0.000000e+00,0.000000e+00,1.205988e+03,0.000000e+00,0.000000e+00,0.000000e+00,4.839903e-03,1.459055e-04,6.554669e-09,3.438492e+06,2,14
4.000000e+00,4.398763e-03,9.965430e-05,4.386318e-09,2.180316e-03,3.126491e-05,1.310067e-09,-2.984498e+03,-5.615721e+01,-6.514491e-02,1.508461e+03,0.000000e+00,0.000000e+00,1.476038e+03,0.000000e+00,0.000000e+00,0.000000e+00,7.039284e-03,1.957326e-04,8.747828e-09,5.665562e+06,2,16
4.500000e+00,5.555386e-03,1.155872e-04,5.049760e-09,2.446078e-03,3.246507e-05,1.343513e-09,-3.572696e+03,-6.250584e+01,-7.242921e-02,1.804392e+03,0.000000e+00,0.000000e+00,1.768304e+03,0.000000e+00,0.000000e+00,0.000000e+00,9.816977e-03,2.535262e-04,1.127271e-08,8.856927e+06,2,18
