time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,2.0000,0.0000,0.0000,25.0000,2.0000,0.2000
0.100,2.0000,0.4701,2.4636,25.0000,1.5299,0.3530
0.200,2.0000,2.2719,4.8793,21.8947,-0.2719,0.3802
0.300,2.0000,1.9827,6.8595,15.3323,0.0173,0.3819
0.400,2.0000,1.8756,8.2023,9.8518,0.1244,0.3943
0.500,2.0000,1.8607,9.0022,6.0204,0.1393,0.4083
0.600,2.0000,1.8853,9.4177,3.6557,0.1147,0.4197
0.700,2.0000,1.9201,9.5934,2.3731,0.0799,0.4277
0.800,2.0000,1.9512,9.6373,1.7925,0.0488,0.4326
0.900,2.0000,1.9740,9.6203,1.6131,0.0260,0.4352
1.000,2.0000,1.9886,9.5834,1.6292,0.0114,0.4364
1.100,2.0000,1.9967,9.5470,1.7175,0.0033,0.4367
1.200,2.0000,2.0005,9.5188,1.8140,-0.0005,0.4367
1.300,2.0000,2.0019,9.5001,1.8922,-0.0019,0.4369
1.400,2.0000,2.0020,9.4891,1.9461,-0.0020,0.4371
1.500,2.0000,2.0016,9.4835,1.9787,-0.0016,0.4373
1.600,2.0000,2.0011,9.4812,1.9959,-0.0011,0.4374
1.700,2.0000,2.0006,9.4808,2.0034,-0.0006,0.4375
1.800,2.0000,2.0003,9.4810,2.0055,-0.0003,0.4375
1.900,2.0000,2.0001,9.4816,2.0051,-0.0001,0.4375
2.000,2.0000,2.0000,9.4821,2.0038,-0.0000,0.4375
2.100,2.0000,2.0000,9.4825,2.0025,0.0000,0.4375
2.200,2.0000,2.0000,9.4827,2.0014,0.0000,0.4375
2.300,2.0000,2.0000,9.4829,2.0007,0.0000,0.4375
2.400,2.0000,2.0000,9.4829,2.0003,0.0000,0.4375
2.500,2.0000,2.0000,9.4830,2.0000,0.0000,0.4375
2.600,2.0000,2.0000,9.4830,1.9999,0.0000,0.4375
2.700,2.0000,2.0000,9.4830,1.9999,0.0000,0.4375
2.800,2.0000,2.0000,9.4829,1.9999,0.0000,0.4375
2.900,2.0000,2.0000,9.4829,1.9999,0.0000,0.4375
3.000,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.100,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.200,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.300,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.400,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.500,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.600,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.700,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.800,2.0000,2.0000,9.4829,2.0000,-0.0000,0.4375
3.900,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.000,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.100,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.200,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.300,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.400,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
4.500,2.0000,2.0000,9.4829,2.0000,0.0000,0.4375
