time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,2.0000,0.0000,0.0000,25.0000,2.0000,0.2000
0.100,2.0000,0.4701,2.4636,5.6821,1.5299,0.3530
0.200,2.0000,1.3715,2.9845,3.9026,0.6285,0.4158
0.300,2.0000,0.4094,3.3285,20.7765,1.5906,0.5749
0.400,2.0000,2.2255,5.3266,1.2093,-0.2255,0.5975
0.500,2.0000,1.1849,5.2752,19.1758,0.8151,0.6790
0.600,2.0000,0.5598,7.1066,17.8444,1.4402,0.8230
0.700,2.0000,0.9414,8.8673,5.8752,1.0586,0.9289
0.800,2.0000,0.5971,9.3774,15.9796,1.4029,1.0691
0.900,2.0000,0.6553,10.9160,10.6299,1.3447,1.2036
1.000,2.0000,0.9677,11.9011,6.4518,1.0323,1.3068
1.100,2.0000,1.5276,12.4241,4.0284,0.4724,1.3541
1.200,2.0000,2.2634,12.6387,1.0929,-0.2634,1.3804
1.300,2.0000,3.0074,12.4846,-1.1886,-1.0074,1.4812
1.400,2.0000,3.6467,12.0322,-3.0508,-1.6467,1.6458
1.500,2.0000,4.1079,11.3381,-3.9091,-2.1079,1.8566
1.600,2.0000,4.3700,10.5217,-3.0332,-2.3700,2.0936
1.700,2.0000,4.4732,9.7748,-3.7011,-2.4732,2.3409
1.800,2.0000,4.3785,8.9605,-9.2996,-2.3785,2.5788
1.900,2.0000,3.8873,7.6148,-5.1735,-1.8873,2.7675
2.000,2.0000,3.2508,6.7388,-1.6058,-1.2508,2.8926
2.100,2.0000,2.5414,6.2875,3.1805,-0.5414,2.9467
2.200,2.0000,1.8702,6.3845,8.8288,0.1298,2.9597
2.300,2.0000,1.3502,7.1068,10.8236,0.6498,3.0247
2.400,2.0000,0.9476,8.0750,11.5090,1.0524,3.1299
2.500,2.0000,0.6440,9.1471,11.8910,1.3560,3.2655
2.600,2.0000,0.4566,10.2823,12.0250,1.5434,3.4199
2.700,2.0000,0.4655,11.4410,8.8312,1.5345,3.5733
2.800,2.0000,0.6983,12.2688,5.4391,1.3017,3.7035
2.900,2.0000,1.1872,12.7212,4.6816,0.8128,3.7848
3.000,2.0000,1.9543,13.0344,2.1201,0.0457,3.7894
3.100,2.0000,2.8117,13.0087,-0.6038,-0.8117,3.8705
3.200,2.0000,3.5928,12.6275,-3.0323,-1.5928,4.0298
3.300,2.0000,4.1917,11.9337,-4.8853,-2.1917,4.2490
3.400,2.0000,4.5507,11.0062,-4.3633,-2.5507,4.5040
3.500,2.0000,4.7093,10.1052,-3.8033,-2.7093,4.7750
3.600,2.0000,4.6799,9.2537,-6.3229,-2.6799,5.0430
3.700,2.0000,4.3620,8.1673,-8.3364,-2.3620,5.2792
3.800,2.0000,3.7263,6.9269,-3.8780,-1.7263,5.4518
3.900,2.0000,2.9805,6.2023,0.3591,-0.9805,5.5499
4.000,2.0000,2.2100,5.9778,5.4752,-0.2100,5.5709
4.100,2.0000,1.5121,6.3389,9.8746,0.4879,5.6196
4.200,2.0000,0.9177,7.2049,12.0010,1.0823,5.7279
4.300,2.0000,0.3416,8.3413,14.5706,1.6584,5.8937
4.400,2.0000,1.0094,9.7805,3.3084,0.9906,5.9928
4.500,2.0000,0.8558,10.0180,7.9262,1.1442,6.1072
4.600,2.0000,0.9021,10.7243,3.6997,1.0979,6.2170
4.700,2.0000,0.9812,11.0009,3.5750,1.0188,6.3189
4.800,2.0000,1.1730,11.2518,3.2802,0.8270,6.4016
4.900,2.0000,1.4954,11.4476,2.8368,0.5046,6.4520
5.000,2.0000,1.9339,11.5607,2.0440,0.0661,6.4586
5.100,2.0267,2.4335,11.5472,0.9954,-0.4068,6.4993
5.200,2.0533,2.9253,11.3787,-0.3200,-0.8719,6.5865
5.300,2.0800,3.3413,11.0328,-1.4765,-1.2613,6.7126
5.400,2.1067,3.6355,10.5354,-1.8509,-1.5289,6.8655
5.500,2.1333,3.7995,9.9775,-1.2080,-1.6662,7.0321
5.600,2.1600,3.8583,9.4728,-1.0386,-1.6983,7.2020
5.700,2.1867,3.8072,8.9847,-2.3504,-1.6205,7.3640
5.800,2.2133,3.5945,8.3784,-2.8414,-1.3812,7.5021
5.900,2.2400,3.2241,7.7521,-0.4696,-0.9841,7.6006
6.000,2.2667,2.7957,7.4034,1.5652,-0.5290,7.6535
6.100,2.2933,2.3485,7.3022,3.9713,-0.0552,7.6590
6.200,2.3200,1.9364,7.4851,6.0367,0.3836,7.6973
