time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,4.0000,0.0000,0.0000,14.0000,4.0000,0.4000
5.100,4.0000,-0.0289,1.3864,13.8616,4.0289,0.8029
5.200,4.0000,0.7850,2.7057,11.9842,3.2150,1.1244
5.300,4.0000,1.8755,3.8187,9.4833,2.1245,1.3368
5.400,4.0000,0.6976,4.6369,11.8227,3.3024,1.6671
5.500,4.0000,0.3992,5.8116,12.4136,3.6008,2.0272
5.600,4.0000,1.6228,6.9579,9.7800,2.3772,2.2649
5.700,4.0000,1.2295,7.7940,10.5610,2.7705,2.5419
5.800,4.0000,0.9551,8.7418,11.1000,3.0449,2.8464
5.900,4.0000,0.8365,9.7638,11.3309,3.1635,3.1628
6.000,4.0000,0.9584,10.8096,11.0634,3.0416,3.4669
6.100,4.0000,1.4233,11.8001,10.0827,2.5767,3.7246
6.200,4.0000,2.2333,12.6283,8.4509,1.7667,3.9013
6.300,4.0000,3.2596,13.2003,6.3019,0.7404,3.9753
6.400,4.0000,4.3487,13.4506,3.9350,-0.3487,4.0102
6.500,4.0000,5.3826,13.3572,2.1795,-1.3826,4.1484
6.600,4.0000,6.2963,12.9903,0.8202,-2.2963,4.3781
6.700,4.0000,7.0433,12.4041,1.1328,-3.0433,4.6824
6.800,4.0000,7.6421,11.7818,0.7908,-3.6421,5.0466
6.900,4.0000,8.0649,11.0741,0.6822,-4.0649,5.4531
7.000,4.0000,8.3077,10.3222,0.6483,-4.3077,5.8839
7.100,4.0000,8.3700,9.5516,0.7347,-4.3700,6.3209
7.200,4.0000,8.2588,8.7922,0.9490,-4.2588,6.7468
7.300,4.0000,7.9880,8.0735,1.2812,-3.9880,7.1456
7.400,4.0000,7.5770,7.4222,1.6663,-3.5770,7.5033
7.500,4.0000,7.0484,6.8566,1.9602,-3.0484,7.8081
7.600,4.0000,6.4222,6.3783,2.1444,-2.4222,8.0503
7.700,4.0000,5.7168,5.9851,2.3326,-1.7168,8.2220
7.800,4.0000,4.9531,5.6845,2.6868,-0.9531,8.3173
7.900,4.0000,4.1565,5.4974,3.7288,-0.1565,8.3330
8.000,4.0000,3.3712,5.4939,5.6625,0.6288,8.3958
8.100,4.0000,2.6560,5.7591,7.6756,1.3440,8.5302
8.200,4.0000,2.0476,6.2920,8.9153,1.9524,8.7255
