time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,4.0000,0.0000,0.0000,5.0000,4.0000,0.4000
5.100,4.0000,-0.2862,0.4973,10.0000,4.2862,0.8286
5.200,4.0000,0.3535,1.4535,5.0000,3.6465,1.1933
5.300,4.0000,0.8906,1.9356,7.6100,3.1094,1.5042
5.400,4.0000,1.7626,2.6088,2.6100,2.2374,1.7279
5.500,4.0000,0.8855,2.7819,7.6100,3.1145,2.0394
5.600,4.0000,0.1823,3.5327,2.6100,3.8177,2.4212
5.700,4.0000,1.0885,3.7758,1.5046,2.9115,2.7123
5.800,4.0000,0.0613,3.9105,6.4305,3.9387,3.1062
5.900,4.0000,1.2984,4.5292,1.4305,2.7016,3.3763
6.000,4.0000,0.6540,4.6185,-3.5211,3.3460,3.7109
6.100,4.0000,1.8578,4.1844,-5.8921,2.1422,3.9252
6.200,4.0000,0.0664,3.4918,-0.8921,3.9336,4.3185
6.300,4.0000,0.8490,3.3987,-3.1897,3.1510,4.6336
6.400,4.0000,1.7587,2.9918,1.8103,2.2413,4.8577
6.500,4.0000,0.7963,3.0818,6.8103,3.2037,5.1781
6.600,4.0000,1.8820,3.6749,1.8103,2.1180,5.3899
6.700,4.0000,0.3039,3.7415,6.5069,3.6961,5.7595
6.800,4.0000,1.5060,4.3484,1.5069,2.4940,6.0089
6.900,4.0000,0.8717,4.4212,-2.7690,3.1283,6.3217
7.000,4.0000,0.9823,4.0544,-7.7690,3.0177,6.6235
7.100,4.0000,0.8479,3.1874,-2.7690,3.1521,6.9387
7.200,4.0000,1.7558,2.8226,1.6773,2.2442,7.1631
7.300,4.0000,0.8898,2.9023,6.6773,3.1102,7.4742
7.400,4.0000,0.0615,3.5651,1.6773,3.9385,7.8680
7.500,4.0000,0.9940,3.7220,2.6871,3.0060,8.1686
7.600,4.0000,0.8033,3.9043,1.5327,3.1967,8.4883
7.700,4.0000,1.4054,3.9916,-3.2250,2.5946,8.7477
7.800,4.0000,0.4257,3.6190,-1.8092,3.5743,9.1052
7.900,4.0000,1.2882,3.3958,-6.8092,2.7118,9.3764
8.000,4.0000,-0.1585,2.6970,-1.8092,4.1585,9.7922
8.100,4.0000,0.5995,2.4504,-1.4538,3.4005,10.1323
8.200,4.0000,1.2471,2.2550,-2.6779,2.7529,10.4075
