time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,20.0000,0.0000,0.0000,25.0000,20.0000,2.0000
5.100,20.0000,0.4701,2.4636,25.0000,19.5299,3.9530
5.200,20.0000,2.2719,4.8793,25.0000,17.7281,5.7258
5.300,20.0000,2.1080,7.1645,25.0000,17.8920,7.5150
5.400,20.0000,2.4802,9.4398,25.0000,17.5198,9.2670
5.500,20.0000,3.4121,11.6497,25.0000,16.5879,10.9258
5.600,20.0000,4.8553,13.7402,25.0000,15.1447,12.4402
5.700,20.0000,6.7344,15.6641,25.0000,13.2656,13.7668
5.800,20.0000,8.9818,17.3811,25.0000,11.0182,14.8686
5.900,20.0000,11.5336,18.8576,25.0000,8.4664,15.7153
6.000,20.0000,14.3234,20.0664,23.6667,5.6766,16.2829
6.100,20.0000,17.2315,20.8562,17.8869,2.7685,16.5598
6.200,20.0000,19.9910,20.7830,12.4916,0.0090,16.5607
6.300,20.0000,22.4268,19.9091,7.7799,-2.4268,16.8034
6.400,20.0000,24.3956,18.3425,4.0310,-4.3956,17.2429
6.500,20.0000,25.7945,16.2318,1.4447,-5.7945,17.8224
6.600,20.0000,26.5656,13.7533,0.1300,-6.5656,18.4789
6.700,20.0000,26.6973,11.0980,0.1026,-6.6973,19.1487
6.800,20.0000,26.2222,8.4574,1.2892,-6.2222,19.7709
6.900,20.0000,25.2121,6.0101,3.5385,-5.2121,20.2921
7.000,20.0000,23.7709,3.9111,6.6356,-3.7709,20.6692
7.100,20.0000,22.0258,2.2821,10.3208,-2.0258,20.8718
7.200,20.0000,20.1165,1.2054,14.3103,-0.1165,20.8834
7.300,20.0000,18.1858,0.7208,18.3161,1.8142,21.0648
7.400,20.0000,16.3691,0.8253,22.0671,3.6309,21.4279
7.500,20.0000,14.7858,1.4759,25.0000,5.2142,21.9493
7.600,20.0000,13.5198,2.5630,25.0000,6.4802,22.5974
7.700,20.0000,12.5475,3.7621,25.0000,7.4525,23.3426
7.800,20.0000,11.8831,5.0432,25.0000,8.1169,24.1543
7.900,20.0000,11.5337,6.3750,25.0000,8.4663,25.0009
8.000,20.0000,11.4988,7.7259,5.0000,8.5012,25.8511
8.100,20.0000,11.0176,7.0990,10.0000,8.9824,26.7493
8.200,20.0000,10.6009,7.0180,15.0000,9.3991,27.6892
