time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.2718,0.0000,0.0000
0.100,0.0000,0.5849,-0.0200,-11.0611,-0.5849,0.0585
0.200,0.0000,0.1461,-1.1240,3.5286,-0.1461,0.0731
0.300,0.0000,-0.1399,-0.7273,6.0625,0.1399,0.0871
0.400,0.0000,0.0760,-0.1602,-0.8070,-0.0760,0.0947
0.500,0.0000,-0.1181,-0.1971,4.3505,0.1181,0.1065
0.600,0.0000,0.1649,0.1930,-4.9258,-0.1649,0.1230
0.700,0.0000,-0.1328,-0.2587,3.6103,0.1328,0.1363
0.800,0.0000,0.1018,0.0611,-1.7924,-0.1018,0.1465
0.900,0.0000,-0.1047,-0.0752,3.1068,0.1047,0.1569
1.000,0.0000,0.1548,0.1904,-4.3714,-0.1548,0.1724
1.100,0.0000,-0.1237,-0.2057,4.6667,0.1237,0.1848
1.200,0.0000,0.1702,0.2161,-4.6884,-0.1702,0.2018
1.300,0.0000,-0.1096,-0.2133,3.6543,0.1096,0.2128
1.400,0.0000,0.1388,0.1081,-3.6972,-0.1388,0.2266
1.500,0.0000,-0.1370,-0.2189,4.7916,0.1370,0.2403
1.600,0.0000,0.1569,0.2167,-4.7301,-0.1569,0.2560
1.700,0.0000,-0.1293,-0.2152,3.2503,0.1293,0.2690
1.800,0.0000,0.1019,0.0683,-3.6889,-0.1019,0.2792
1.900,0.0000,-0.1828,-0.2541,6.2036,0.1828,0.2974
2.000,0.0000,0.1462,0.3260,-4.0859,-0.1462,0.3121
2.100,0.0000,-0.0880,-0.0428,1.1947,0.0880,0.3209
2.200,0.0000,0.0879,0.0343,-2.5025,-0.0879,0.3296
2.300,0.0000,-0.1453,-0.1710,3.8046,0.1453,0.3442
2.400,0.0000,0.1172,0.1681,-2.8214,-0.1172,0.3559
2.500,0.0000,-0.1086,-0.0715,4.8285,0.1086,0.3668
2.600,0.0000,0.2256,0.3631,-5.7576,-0.2256,0.3893
2.700,0.0000,-0.0389,-0.1800,2.2906,0.0389,0.3932
2.800,0.0000,-0.0417,0.0182,2.4337,0.0417,0.3974
2.900,0.0000,0.0363,0.2262,-2.8255,-0.0363,0.4010
3.000,0.0000,0.0515,-0.0268,-0.9507,-0.0515,0.4062
3.100,0.0000,-0.0296,-0.0846,2.7697,0.0296,0.4091
3.200,0.0000,-0.0790,0.1662,2.7789,0.0790,0.4170
3.300,0.0000,0.2054,0.3962,-6.2344,-0.2054,0.4376
3.400,0.0000,-0.0792,-0.1916,1.6582,0.0792,0.4455
3.500,0.0000,0.0658,-0.0669,-2.2204,-0.0658,0.4521
3.600,0.0000,-0.1388,-0.2449,4.1029,0.1388,0.4659
