time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,10.0000,0.0000,0.0000,2.5918,10.0000,1.0000
5.100,10.0000,-0.0543,0.2444,4.7257,10.0543,2.0054
5.200,10.0000,0.2582,0.6688,6.5556,9.7418,2.9796
5.300,10.0000,0.6100,1.3257,8.2031,9.3900,3.9186
5.400,10.0000,1.3830,2.0909,9.4783,8.6170,4.7803
5.500,10.0000,0.4311,2.9919,11.4607,9.5689,5.7372
5.600,10.0000,1.7220,4.0779,13.2489,8.2780,6.5650
5.700,10.0000,0.7315,5.2797,15.7528,9.2685,7.4919
5.800,10.0000,0.5586,6.8383,18.9310,9.4414,8.4360
5.900,10.0000,0.9122,8.7096,22.2596,9.0878,9.3448
6.000,10.0000,1.2800,10.8312,25.0000,8.7200,10.2168
6.100,10.0000,2.4309,13.1518,25.0000,7.5691,10.9737
6.200,10.0000,4.2218,15.3237,25.0000,5.7782,11.5515
6.300,10.0000,6.4802,17.2920,25.0000,3.5198,11.9035
6.400,10.0000,9.1055,19.0154,20.3583,0.8945,11.9929
6.500,10.0000,11.8476,20.0049,12.9466,-1.8476,12.1777
6.600,10.0000,14.4312,19.9850,3.6155,-4.4312,12.6208
6.700,10.0000,16.5615,18.7941,-6.6895,-6.5615,13.2770
6.800,10.0000,17.9539,16.3945,-15.3230,-7.9539,14.0723
6.900,10.0000,18.4255,13.0367,-21.7188,-8.4255,14.9149
7.000,10.0000,17.8787,9.0421,-25.0000,-7.8787,15.7028
7.100,10.0000,16.3249,4.8242,-25.0000,-6.3249,16.3353
7.200,10.0000,13.8751,0.8070,-25.0000,-3.8751,16.7228
7.300,10.0000,10.6086,-2.9236,-22.4021,-0.6086,16.7836
7.400,10.0000,6.7184,-6.0352,-13.1401,3.2816,17.1118
7.500,10.0000,2.5977,-7.8183,-0.1374,7.4023,17.8520
7.600,10.0000,-1.0781,-7.8714,15.4491,11.0781,18.9598
7.700,10.0000,-0.4479,-6.2901,25.0000,10.4479,20.0046
7.800,10.0000,-1.0274,-3.7544,25.0000,11.0274,21.1074
7.900,10.0000,-1.1938,-1.1788,25.0000,11.1938,22.2267
8.000,10.0000,-0.7426,1.3841,25.0000,10.7426,23.3010
8.100,10.0000,0.5801,3.8574,25.0000,9.4199,24.2430
