time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,10.0000,0.0000,0.0000,25.0000,10.0000,1.0000
5.100,10.0000,0.4701,2.4636,25.0000,9.5299,1.9530
5.200,10.0000,2.2719,4.8793,25.0000,7.7281,2.7258
5.300,10.0000,2.1080,7.1645,25.0000,7.8920,3.5150
5.400,10.0000,2.4802,9.4398,25.0000,7.5198,4.2670
5.500,10.0000,3.4121,11.6497,25.0000,6.5879,4.9258
5.600,10.0000,4.8553,13.7402,25.0000,5.1447,5.4402
5.700,10.0000,6.7344,15.6641,13.3309,3.2656,5.7668
5.800,10.0000,8.5421,16.2341,-10.4676,1.4579,5.9126
5.900,10.0000,9.5148,14.2805,-11.9581,0.4852,5.9611
6.000,10.0000,9.9527,12.1071,-6.1517,0.0473,5.9658
6.100,10.0000,10.1010,10.4861,0.2445,-0.1010,5.9759
6.200,10.0000,10.1178,9.4977,4.9972,-0.1178,5.9877
6.300,10.0000,10.0894,8.9861,7.8877,-0.0894,5.9967
6.400,10.0000,10.0551,8.7672,9.3802,-0.0551,6.0022
6.500,10.0000,10.0288,8.7009,10.0165,-0.0288,6.0051
6.600,10.0000,10.0125,8.7005,10.2077,-0.0125,6.0063
6.700,10.0000,10.0039,8.7205,10.2072,-0.0039,6.0067
6.800,10.0000,10.0002,8.7410,10.1480,-0.0002,6.0067
6.900,10.0000,9.9990,8.7559,10.0875,0.0010,6.0068
7.000,10.0000,9.9989,8.7648,10.0439,0.0011,6.0069
7.100,10.0000,9.9992,8.7693,10.0180,0.0008,6.0070
7.200,10.0000,9.9995,8.7711,10.0049,0.0005,6.0071
7.300,10.0000,9.9997,8.7717,9.9994,0.0003,6.0071
7.400,10.0000,9.9999,8.7716,9.9979,0.0001,6.0071
7.500,10.0000,10.0000,8.7714,9.9981,0.0000,6.0071
7.600,10.0000,10.0000,8.7712,9.9986,-0.0000,6.0071
7.700,10.0000,10.0000,8.7711,9.9992,-0.0000,6.0071
7.800,10.0000,10.0000,8.7710,9.9996,-0.0000,6.0071
7.900,10.0000,10.0000,8.7710,9.9998,-0.0000,6.0071
8.000,10.0000,10.0000,8.7710,10.0000,-0.0000,6.0071
8.100,10.0000,10.0000,8.7710,10.0000,-0.0000,6.0071
