time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.000,10.0000,0.0000,0.0000,25.0000,10.0000,1.0000
5.100,10.0000,0.4701,2.4636,25.0000,9.5299,1.9530
5.200,10.0000,2.2719,4.8793,25.0000,7.7281,2.7258
5.300,10.0000,2.1080,7.1645,25.0000,7.8920,3.5150
5.400,10.0000,2.4802,9.4398,25.0000,7.5198,4.2670
5.500,10.0000,3.4121,11.6497,25.0000,6.5879,4.9258
5.600,10.0000,4.8553,13.7402,25.0000,5.1447,5.4402
5.700,10.0000,6.7344,15.6641,25.0000,3.2656,5.7668
5.800,10.0000,8.9818,17.3811,25.0000,1.0182,5.8686
5.900,10.0000,11.5336,18.8576,-17.3551,-1.5336,6.0220
6.000,10.0000,12.7279,15.9031,-20.0000,-2.7279,6.2948
6.100,10.0000,13.1091,12.6048,-20.0000,-3.1091,6.6057
6.200,10.0000,12.7295,9.3067,-20.0000,-2.7295,6.8786
6.300,10.0000,11.6179,6.0834,25.0000,-1.6179,7.0404
6.400,10.0000,11.5138,7.4294,-13.0242,-1.5138,7.1918
6.500,10.0000,10.2860,5.0327,25.0000,-0.2860,7.2204
6.600,10.0000,9.9943,6.5216,24.9001,0.0057,7.2210
6.700,10.0000,10.0467,8.0124,11.9742,-0.0467,7.2257
6.800,10.0000,9.9477,8.2105,17.0821,0.0523,7.2309
6.900,10.0000,10.0896,8.9181,10.9082,-0.0896,7.2398
7.000,10.0000,10.1537,8.9969,9.6223,-0.1537,7.2552
7.100,10.0000,10.1849,8.9421,8.9404,-0.1849,7.2737
7.200,10.0000,10.1767,8.8178,8.5106,-0.1767,7.2914
7.300,10.0000,10.1246,8.6535,11.4835,-0.1246,7.3038
7.400,10.0000,10.1492,8.7885,9.6162,-0.1492,7.3188
7.500,10.0000,10.1331,8.7359,9.6635,-0.1331,7.3321
7.600,10.0000,10.1075,8.6901,10.5873,-0.1075,7.3428
7.700,10.0000,10.1072,8.7382,9.7028,-0.1072,7.3535
7.800,10.0000,10.0846,8.6988,10.8861,-0.0846,7.3620
7.900,10.0000,10.0985,8.7784,10.3672,-0.0985,7.3718
8.000,10.0000,10.1103,8.8048,10.0213,-0.1103,7.3829
8.100,10.0000,10.1146,8.7956,9.6046,-0.1146,7.3943
