t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.050000,0.050000,0.000000,10.000000,20.440000,150.000000,-0.000000,0.000000,0.000000,0.000000
0.005000,0.050000,0.049999,-0.000150,10.009469,20.434973,150.000000,0.000045,0.000000,0.000000,0.000000
0.010000,0.050000,0.050000,0.000226,10.004073,20.437842,149.999982,0.000013,0.000019,0.000019,0.000000
0.015000,0.050000,0.050000,-0.000208,10.004201,20.437786,149.999933,0.000017,0.000026,0.000026,0.000000
0.020000,0.050000,0.049999,0.000129,10.008554,20.435488,149.999909,0.000037,0.000020,0.000020,0.000000
0.025000,0.050000,0.050000,-0.000012,10.001917,20.439022,149.999896,0.000002,0.000025,0.000025,0.000000
0.030000,0.050000,0.049999,-0.000085,10.008232,20.435682,149.999884,0.000036,0.000019,0.000019,0.000000
0.035000,0.050000,0.050000,0.000144,10.004355,20.437750,149.999889,0.000013,0.000021,0.000021,0.000000
0.040000,0.050000,0.050000,-0.000138,10.004870,20.437488,149.999883,0.000018,0.000021,0.000021,0.000000
0.045000,0.050000,0.049999,0.000092,10.007377,20.436167,149.999886,0.000029,0.000018,0.000018,0.000000
0.050000,0.050000,0.050000,-0.000016,10.003191,20.438399,149.999887,0.000007,0.000022,0.000022,0.000000
0.055000,0.050000,0.049999,-0.000047,10.007380,20.436186,149.999885,0.000029,0.000018,0.000018,0.000000
0.060000,0.050000,0.050000,0.000091,10.004629,20.437656,149.999891,0.000013,0.000019,0.000019,0.000000
0.065000,0.050000,0.050000,-0.000091,10.005243,20.437340,149.999889,0.000017,0.000019,0.000019,0.000000
0.070000,0.050000,0.049999,0.000065,10.006651,20.436602,149.999893,0.000023,0.000017,0.000017,0.000000
0.075000,0.050000,0.050000,-0.000016,10.004031,20.438002,149.999895,0.000010,0.000019,0.000019,0.000000
0.080000,0.050000,0.049999,-0.000025,10.006792,20.436546,149.999895,0.000024,0.000017,0.000017,0.000000
0.085000,0.050000,0.050000,0.000057,10.004865,20.437578,149.999900,0.000013,0.000018,0.000018,0.000000
0.090000,0.050000,0.050000,-0.000059,10.005444,20.437280,149.999899,0.000017,0.000017,0.000017,0.000000
0.095000,0.050000,0.050000,0.000046,10.006210,20.436882,149.999902,0.000020,0.000016,0.000016,0.000000
0.100000,0.050000,0.050000,-0.000014,10.004583,20.437754,149.999904,0.000011,0.000017,0.000017,0.000000
0.105000,0.050000,0.050000,-0.000013,10.006393,20.436802,149.999904,0.000020,0.000015,0.000015,0.000000
0.110000,0.050000,0.050000,0.000036,10.005056,20.437519,149.999908,0.000013,0.000016,0.000016,0.000000
