t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.100000,0.100000,0.000000,10.000000,20.440000,150.000000,0.015000,0.000000,0.000000,0.000000
0.005000,0.100000,0.099999,0.000086,10.015560,20.430901,149.993798,0.014989,0.006349,0.006349,0.000000
0.010000,0.100000,0.100004,0.001654,10.015170,20.436876,149.973171,0.014979,0.013100,0.013100,0.000000
0.015000,0.100000,0.100012,0.001154,10.005478,20.451683,149.951026,0.014970,0.015495,0.015495,0.000000
0.020000,0.100000,0.100017,0.001226,10.022327,20.449122,149.935531,0.014962,0.015565,0.015565,0.000000
0.025000,0.100000,0.100025,0.001623,10.015213,20.462611,149.926735,0.014955,0.015184,0.015184,0.000000
0.030000,0.100000,0.100031,0.000933,10.020667,20.467419,149.922078,0.014949,0.014970,0.014970,0.000000
0.035000,0.100000,0.100036,0.001482,10.029588,20.469812,149.919513,0.014944,0.014921,0.014921,0.000000
0.040000,0.100000,0.100044,0.001298,10.022944,20.482712,149.917981,0.014939,0.014929,0.014929,0.000000
0.045000,0.100000,0.100049,0.001086,10.034478,20.483324,149.917029,0.014935,0.014938,0.014938,0.000000
0.050000,0.100000,0.100056,0.001534,10.034257,20.491882,149.916443,0.014931,0.014939,0.014939,0.000000
0.055000,0.100000,0.100063,0.001101,10.034727,20.499965,149.916092,0.014928,0.014935,0.014935,0.000000
0.060000,0.100000,0.100069,0.001313,10.044194,20.501958,149.915890,0.014925,0.014931,0.014931,0.000000
0.065000,0.100000,0.100076,0.001388,10.040770,20.512661,149.915776,0.014922,0.014927,0.014927,0.000000
0.070000,0.100000,0.100082,0.001105,10.047356,20.516586,149.915715,0.014919,0.014924,0.014924,0.000000
0.075000,0.100000,0.100088,0.001428,10.051150,20.522395,149.915686,0.014917,0.014921,0.014921,0.000000
0.080000,0.100000,0.100095,0.001225,10.050288,20.531345,149.915674,0.014914,0.014918,0.014918,0.000000
0.085000,0.100000,0.100101,0.001229,10.058145,20.534391,149.915673,0.014912,0.014916,0.014916,0.000000
0.090000,0.100000,0.100108,0.001395,10.058010,20.542837,149.915678,0.014910,0.014913,0.014913,0.000000
0.095000,0.100000,0.100114,0.001164,10.061421,20.548878,149.915686,0.014908,0.014911,0.014911,0.000000
