Time,Drum Pressure,Electric Power,Water Level Deviation,u1,u2,u3
0,100,50,11.1654,0.493018,0.502543,0.46933
1,100.212,48.6785,10.9624,0.49734,0.505944,0.467318
2,100.428,47.5422,10.7769,0.495244,0.521782,0.499602
3,100.631,46.7351,10.5611,0.498696,0.508747,0.535496
4,100.835,45.8473,10.3114,0.501643,0.509288,0.515896
5,101.045,45.064,10.0837,0.494853,0.492944,0.502341
6,101.255,44.1533,9.86659,0.489916,0.47958,0.551193
7,101.458,43.1661,9.60068,0.489155,0.464343,0.50166
8,101.671,42.0843,9.38598,0.48228,0.459459,0.504826
9,101.88,41.0538,9.17866,0.483277,0.463529,0.515543
10,102.086,40.1876,8.9729,0.478604,0.470051,0.510622
11,102.286,39.5021,8.77147,0.476534,0.452333,0.52139
12,102.488,38.6565,8.57406,0.4805,0.464437,0.523379
13,102.69,38.0639,8.39013,0.477727,0.479476,0.546046
14,102.879,37.739,8.20734,0.48411,0.496504,0.549982
15,103.069,37.682,8.0275,0.479103,0.494988,0.523514
16,103.257,37.618,7.86871,0.484174,0.483372,0.55148
17,103.45,37.4118,7.70579,0.488985,0.503244,0.60145
18,103.632,37.5016,7.51411,0.490546,0.498941,0.578071
19,103.821,37.5319,7.35162,0.487708,0.512547,0.530445
20,104.009,37.7512,7.21573,0.48597,0.496252,0.548166
21,104.198,37.7355,7.06251,0.479757,0.476603,0.590045
22,104.382,37.4619,6.88661,0.47662,0.467519,0.598836
23,104.564,37.0989,6.72074,0.479296,0.481024,0.621485
24,104.74,36.9632,6.54146,0.479085,0.469238,0.645859
25,104.916,36.6866,6.3565,0.478644,0.467556,0.690774
26,105.085,36.4211,6.15039,0.482066,0.451888,0.700679
27,105.261,35.9733,5.95505,0.480459,0.461288,0.711576
28,105.43,35.7055,5.76072,0.481473,0.455741,0.676731
29,105.607,35.3941,5.58838,0.477624,0.452748,0.707019
30,105.777,35.0787,5.42147,0.477864,0.472347,0.732174
31,105.936,35.0717,5.2407,0.475702,0.459106,0.747905
32,106.096,34.8879,5.05604,0.475588,0.441648,0.767881
33,106.257,34.4859,4.86886,0.475656,0.427548,0.812839
34,106.417,33.9334,4.68513,0.470638,0.443753,0.832128
35,106.563,33.6666,4.49959,0.46788,0.440815,0.789166
36,106.714,33.3904,4.3438,0.474413,0.448142,0.754489
37,106.874,33.2491,4.21037,0.479695,0.46101,0.762694
38,107.032,33.3073,4.06771,0.475373,0.448125,0.794414
39,107.186,33.1848,3.91955,0.475027,0.434347,0.794806
40,107.344,32.8863,3.78118,0.478275,0.430571,0.772764
41,107.509,32.5696,3.65869,0.479238,0.437861,0.798349
42,107.669,32.3924,3.5334,0.482345,0.436873,0.760651
43,107.837,32.2241,3.42904,0.480494,0.45026,0.714161
44,108.005,32.2672,3.33852,0.480732,0.456779,0.706783
45,108.173,32.404,3.25769,0.475198,0.474753,0.748921
46,108.322,32.7879,3.1623,0.475891,0.468592,0.746094
47,108.474,33.0515,3.07977,0.474141,0.482471,0.727781
48,108.622,33.4918,2.99345,0.473526,0.473347,0.776078
49,108.766,33.7639,2.90813,0.470696,0.482915,0.782806
50,108.902,34.1506,2.8253,0.46644,0.493367,0.81675
51,109.026,34.6533,2.73512,0.465007,0.493403,0.855766
52,109.142,35.1113,2.65005,0.458391,0.513188,0.863025
53,109.244,35.8115,2.55992,0.452098,0.514441,0.832432
54,109.344,36.4642,2.48215,0.456901,0.519512,0.848193
55,109.444,37.1287,2.40824,0.452671,0.533198,0.810526
56,109.541,37.9278,2.3417,0.44721,0.542923,0.791932
57,109.632,38.7914,2.27428,0.453385,0.534366,0.775564
58,109.734,39.4498,2.2166,0.448349,0.54369,0.809026
59,109.823,40.1815,2.15543,0.451261,0.547699,0.833747
60,109.909,40.9021,2.0829,0.447799,0.533478,0.783909
61,110.005,41.3496,2.02991,0.441653,0.545728,0.819172
62,110.085,41.9337,1.9607,0.437601,0.530352,0.824493
63,110.166,42.2409,1.8903,0.4308,0.514903,0.819944
64,110.247,42.2975,1.83504,0.434331,0.522349,0.824288
65,110.328,42.4599,1.77459,0.428366,0.519817,0.794482
66,110.408,42.5729,1.71782,0.431113,0.511432,0.788151
67,110.495,42.5565,1.66704,0.427367,0.514546,0.791409
68,110.576,42.5908,1.60992,0.429168,0.500954,0.791822
69,110.664,42.4276,1.56505,0.435651,0.508784,0.834303
70,110.749,42.3983,1.50828,0.43131,0.502222,0.802138
71,110.836,42.28,1.46018,0.438243,0.50052,0.851939
72,110.923,42.1524,1.4098,0.432608,0.505527,0.811379
73,111.009,42.1142,1.37296,0.431736,0.522787,0.766222
74,111.094,42.3354,1.33091,0.437261,0.514388,0.738952
75,111.192,42.4156,1.29448,0.441028,0.510817,0.709149
76,111.298,42.4399,1.26506,0.442821,0.514983,0.704311
77,111.405,42.5273,1.23615,0.44235,0.518896,0.717783
78,111.508,42.668,1.21304,0.447317,0.532047,0.730261
79,111.608,42.9921,1.18467,0.450409,0.534678,0.717774
80,111.712,43.3272,1.1599,0.445989,0.544194,0.723287
81,111.808,43.7735,1.12802,0.45166,0.533908,0.692181
82,111.917,44.0284,1.10732,0.453127,0.541849,0.700642
83,112.023,44.3799,1.08227,0.451045,0.541627,0.658681
84,112.133,44.6981,1.06438,0.454415,0.546109,0.670719
85,112.242,45.0558,1.05077,0.457091,0.55829,0.63563
86,112.355,45.5632,1.04112,0.458155,0.573,0.676786
87,112.457,46.2432,1.02736,0.459761,0.582107,0.631108
88,112.563,46.9954,1.02338,0.46211,0.601168,0.612609
89,112.667,47.9608,1.00766,0.463079,0.593401,0.580001
90,112.78,48.7203,1.00394,0.457599,0.608163,0.615123
91,112.877,49.6294,0.985566,0.461019,0.594358,0.597815
92,112.984,50.2479,0.96379,0.45513,0.577422,0.611913
93,113.09,50.5582,0.952905,0.45961,0.579226,0.606739
94,113.199,50.8701,0.936116,0.458336,0.571176,0.603294
95,113.311,51.0364,0.916713,0.458353,0.557282,0.585598
96,113.431,50.9844,0.901839,0.461685,0.549837,0.618267
97,113.551,50.8322,0.897376,0.468112,0.564771,0.64077
98,113.667,50.9248,0.892345,0.465312,0.582531,0.603493
99,113.78,51.2803,0.886162,0.459233,0.59393,0.605951
