Time,y_sp,y_pid
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0.00592093,0.00592093
0.7,0.0230257,0.0229907
0.8,0.050461,0.0502236
0.9,0.0874845,0.0866315
1,0.133455,0.131233
1.1,0.187821,0.183061
1.2,0.250047,0.241139
1.3,0.319477,0.304421
1.4,0.395295,0.371785
1.5,0.476554,0.442061
1.6,0.5622,0.514051
1.7,0.651092,0.586558
1.8,0.742018,0.658402
1.9,0.833711,0.728444
2,0.924864,0.795599
2.1,1.01415,0.85886
2.2,1.10024,0.917309
2.3,1.18184,0.970128
2.4,1.25767,1.01662
2.5,1.32653,1.0562
2.6,1.38729,1.08844
2.7,1.43893,1.11301
2.8,1.48053,1.12976
2.9,1.51132,1.13863
3,1.53065,1.13974
3.1,1.53806,1.13331
3.2,1.53325,1.11969
3.3,1.51607,1.09936
3.4,1.4866,1.07287
3.5,1.44507,1.04089
3.6,1.39191,1.00416
3.7,1.32774,0.963478
3.8,1.25335,0.919689
3.9,1.16969,0.873673
4,1.0779,0.82633
4.1,0.979228,0.778555
4.2,0.875078,0.731231
4.3,0.766956,0.685211
4.4,0.656459,0.641305
4.5,0.545251,0.600266
4.6,0.435043,0.56278
4.7,0.327565,0.529456
4.8,0.22454,0.500814
4.9,0.12766,0.477284
5,0.0385563,0.459195
5.1,-0.041221,0.446777
5.2,-0.110233,0.440155
5.3,-0.167174,0.439352
5.4,-0.210894,0.444291
5.5,-0.240418,0.454796
5.6,-0.254969,0.470601
5.7,-0.253978,0.491355
5.8,-0.2371,0.516631
5.9,-0.204224,0.545933
6,-0.155478,0.578707
6.1,-0.0912328,0.614353
6.2,-0.012102,0.652237
6.3,0.0810632,0.6917
6.4,0.187182,0.732071
6.5,0.304953,0.772679
6.6,0.432876,0.812865
6.7,0.569261,0.851992
6.8,0.712258,0.889457
6.9,0.859877,0.924698
7,1.01002,0.957204
7.1,1.1605,0.986523
7.2,1.30908,1.01227
7.3,1.45353,1.03412
7.4,1.59159,1.05184
7.5,1.72108,1.06526
7.6,1.83991,1.07428
7.7,1.94608,1.0789
7.8,2.03776,1.07917
7.9,2.11331,1.07524
8,2.17127,1.06729
8.1,2.21043,1.0556
8.2,2.22984,1.0405
8.3,2.22883,1.02234
8.4,2.20703,1.00156
8.5,2.16435,0.9786
8.6,2.10104,0.953936
8.7,2.01766,0.928065
8.8,1.91508,0.901489
8.9,1.79447,0.874711
9,1.65732,0.848223
9.1,1.50537,0.822502
9.2,1.34064,0.798001
9.3,1.16538,0.775137
9.4,0.982047,0.754293
9.5,0.793264,0.735805
9.6,0.601795,0.719962
9.7,0.4105,0.707
9.8,0.222295,0.697099
9.9,0.040109,0.690382
10,-0.133159,0.686917
10.1,-0.294685,0.686712
10.2,-0.441764,0.689717
10.3,-0.571855,0.695832
10.4,-0.682621,0.704904
10.5,-0.771968,0.716731
10.6,-0.838082,0.731072
10.7,-0.879464,0.747645
10.8,-0.894958,0.766139
10.9,-0.883774,0.786215
11,-0.84551,0.807517
11.1,-0.780165,0.829674
11.2,-0.688146,0.852311
11.3,-0.570662,0.875052
11.4,-0.430408,0.897527
11.5,-0.270882,0.919383
11.6,-0.0954372,0.940282
11.7,0.0927445,0.959911
11.8,0.290662,0.977987
11.9,0.495506,0.994259
12,0.704516,1.00851
12.1,0.914792,1.02058
12.2,1.1233,1.03031
12.3,1.32694,1.03763
12.4,1.52262,1.04249
12.5,1.70731,1.04488
12.6,1.87808,1.04484
12.7,2.03216,1.04244
12.8,2.16695,1.03781
12.9,2.28011,1.0311
13,2.36956,1.02249
13.1,2.43356,1.01219
13.2,2.47068,1.00043
13.3,2.4799,0.987474
13.4,2.46059,0.973585
13.5,2.41251,0.959042
13.6,2.33588,0.944125
13.7,2.23136,0.929117
13.8,2.10001,0.914294
13.9,1.94334,0.89992
14,1.76327,0.886249
14.1,1.56211,0.873513
14.2,1.34253,0.861924
14.3,1.10754,0.851669
14.4,0.860452,0.842908
14.5,0.604806,0.83577
14.6,0.344359,0.830354
14.7,0.0830143,0.826727
14.8,-0.175233,0.824923
14.9,-0.426352,0.824944
15,-0.666336,0.826762
15.1,-0.891266,0.830316
15.2,-1.09737,0.835519
15.3,-1.28108,0.842256
15.4,-1.4391,0.85039
15.5,-1.56845,0.859763
15.6,-1.66653,0.870197
15.7,-1.73114,0.881503
15.8,-1.76055,0.893479
15.9,-1.75355,0.905918
16,-1.70942,0.91861
16.1,-1.62801,0.931344
16.2,-1.51098,0.943913
16.3,-1.3622,0.95612
16.4,-1.1861,0.967776
16.5,-0.986957,0.978708
16.6,-0.768855,0.988759
16.7,-0.535672,0.997788
16.8,-0.291061,1.00568
16.9,-0.038435,1.01233
17,0.218866,1.01768
17.1,0.47735,1.02167
17.2,0.733362,1.02428
17.3,0.983178,1.02551
17.4,1.22308,1.02538
17.5,1.44943,1.02393
17.6,1.65871,1.02124
17.7,1.8476,1.01739
17.8,2.01301,1.01248
17.9,2.15213,1.00663
18,2.2625,0.999986
18.1,2.34204,0.992677
18.2,2.38909,0.984856
18.3,2.40243,0.976682
18.4,2.38134,0.968311
18.5,2.32559,0.9599
18.6,2.23548,0.951605
18.7,2.11181,0.943574
18.8,1.95594,0.935946
18.9,1.7697,0.928853
19,1.55617,0.922411
19.1,1.31964,0.916724
19.2,1.06454,0.91188
19.3,0.795078,0.907951
19.4,0.51517,0.904991
19.5,0.228767,0.903035
19.6,-0.0599179,0.902101
19.7,-0.34649,0.902189
19.8,-0.62647,0.903282
19.9,-0.895388,0.905345
20,-1.14885,0.908327
