Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0,0,0.736424
1,4.88292,-0.793297,-8.62287,0,0,0.661928
2,4.77717,-4.20993,-7.369,0,0,0.594003
3,4.68175,-7.28731,-6.22752,0,0,0.53208
4,4.59574,-10.0591,-5.18851,0,0,0.475639
5,4.51832,-12.5557,-4.24288,0,0,0.424203
6,4.44871,-14.8044,-3.38238,0,0,0.377338
7,4.38622,-16.8298,-2.59942,0,0.149162,0.334642
8,4.29537,-17.2405,-2.03306,0,0.250948,0.300871
9,4.18591,-16.6476,-1.62206,0,0.31396,0.273914
10,4.06592,-15.5194,-1.31712,0,0.352313,0.252013
11,3.94042,-14.1432,-1.08572,0,0.375061,0.233947
12,3.81247,-12.692,-0.9062,0,0.388006,0.218856
13,3.68393,-11.2661,-0.764035,0,0.394853,0.20612
14,3.55587,-9.92078,-0.64935,0,0.397964,0.195282
15,3.42888,-8.68348,-0.555341,0,0.398835,0.186001
16,3.30325,-7.56453,-0.477241,0,0.398411,0.178011
17,3.17908,-6.56436,-0.411641,0,0.39728,0.171105
18,3.05637,-5.67775,-0.356056,0,0.395806,0.165118
19,2.93507,-4.89657,-0.30863,0,0.394208,0.159913
20,2.81509,-4.2114,-0.267948,0,0.392616,0.15538
21,2.69631,-3.61258,-0.232906,0,0.3911,0.151423
22,2.57864,-3.09071,-0.202624,0,0.3897,0.147965
23,2.46197,-2.63697,-0.176392,0,0.38843,0.144939
24,2.34621,-2.2433,-0.153624,0,0.387292,0.142285
25,2.23126,-1.90242,-0.133833,0,0.386283,0.139956
26,2.11706,-1.60781,-0.116609,0,0.385393,0.137909
27,2.00351,-1.35369,-0.101604,0.00539685,0.384613,0.136106
28,1.89543,-1.13495,-0.0885199,0.0114652,0.383945,0.134525
29,1.79335,-0.946889,-0.0771134,0.0172062,0.383373,0.13314
30,1.69691,-0.78537,-0.0671716,0.0226382,0.382886,0.131925
31,1.60578,-0.646821,-0.0585083,0.027778,0.382469,0.130859
32,1.51965,-0.52815,-0.0509602,0.0326419,0.382114,0.129924
