Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0,0.394072,0.83979
1,4.74072,0.14128,-8.91436,0,0.598219,0.83979
2,4.41872,0.120076,-8.08401,0,0.60033,0.83979
3,4.09679,0.108709,-7.25445,0,0.601923,0.83979
4,3.77508,0.0996976,-6.42502,0,0.603348,0.83979
5,3.45365,0.0906947,-5.59552,0,0.604771,0.83979
6,3.13249,0.0816994,-4.76595,0,0.606193,0.83979
7,2.81161,0.0727119,-3.93631,0,0.607614,0.83979
8,2.491,0.063732,-3.10659,0,0.609034,0.83979
9,2.17066,0.0547598,-2.27679,0,0.610452,0.83979
10,1.8506,0.0457953,-1.44693,0,0.611869,0.83979
11,1.53081,0.0368384,-0.616988,0,0.613285,0.83979
12,1.21129,0.0278892,0.213024,0,0.6147,0.83979
13,0.892052,0.0189477,1.04311,0,0.616114,0.837385
14,0.573443,0.0100195,1.86928,0,0.617551,0.760342
15,0.266655,0.00143358,2.56769,0.0538943,0.619523,0.6412
16,0.0263159,0.000566621,3.06776,0.277395,0.620661,0.538831
17,0.00266504,4.80662e-05,3.39798,0.290837,0.620808,0.478143
18,0.000221843,4.74523e-05,3.62748,0.284783,0.620819,0.427234
19,-3.14989e-05,4.36681e-05,3.77254,0.27763,0.62082,0.38281
20,-5.85309e-05,3.97819e-05,3.8439,0.271235,0.62082,0.34428
21,-6.13741e-05,3.59037e-05,3.85135,0.265741,0.62082,0.311295
22,-6.09495e-05,3.20894e-05,3.80408,0.261111,0.62082,0.283506
23,-5.95322e-05,2.83831e-05,3.71071,0.257285,0.62082,0.260544
24,-5.74709e-05,2.48207e-05,3.57926,0.254199,0.62082,0.242025
25,-5.4907e-05,2.14309e-05,3.41709,0.251789,0.62082,0.227562
26,-5.19513e-05,1.82358e-05,3.23092,0.24999,0.62082,0.216766
27,-4.87021e-05,1.52515e-05,3.02684,0.248738,0.62082,0.209253
28,-4.52473e-05,1.24891e-05,2.81031,0.247971,0.62082,0.204652
29,-4.16651e-05,9.95453e-06,2.58614,0.247629,0.62082,0.202601
30,-3.80238e-05,7.65009e-06,2.35856,0.247655,0.62082,0.202759
31,-3.43827e-05,5.57436e-06,2.13125,0.247996,0.62082,0.204802
32,-3.07925e-05,3.72296e-06,1.90733,0.2486,0.62082,0.208428
33,-2.72958e-05,2.08906e-06,1.68943,0.249421,0.62082,0.213356
34,-2.39277e-05,6.63756e-07,1.4797,0.250416,0.62082,0.219327
35,-2.07164e-05,-5.63445e-07,1.27987,0.251546,0.62082,0.226107
36,-1.76837e-05,-1.60427e-06,1.09129,0.252775,0.62082,0.233484
37,-1.4846e-05,-2.47135e-06,0.914947,0.254073,0.62082,0.241268
38,-1.22143e-05,-3.17787e-06,0.751517,0.25541,0.62082,0.249292
39,-9.7954e-06,-3.73736e-06,0.601397,0.256762,0.62082,0.257408
40,-7.59198e-06,-4.16342e-06,0.464741,0.258109,0.62082,0.265492
41,-5.60338e-06,-4.46951e-06,0.341493,0.259432,0.62082,0.273433
42,-3.82605e-06,-4.66884e-06,0.231419,0.260717,0.62082,0.281144
