Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0.09589,0.734211,1
1,4.57635,0.176616,-9.40516,0.09589,0.8684,1
2,4.0914,0.13552,-9.04948,0.09589,0.872451,1
3,3.60619,0.125432,-8.69661,0.09589,0.874658,1
4,3.12158,0.108272,-8.34321,0.09589,0.877197,1
5,2.63741,0.0911256,-7.98988,0.09589,0.879735,1
6,2.15368,0.0739947,-7.63663,0.09589,0.882271,1
7,1.67039,0.0568794,-7.28346,0.09589,0.884804,1
8,1.18754,0.0397797,-6.93036,0.09589,0.887334,1
9,0.70513,0.0226955,-6.57733,0.09589,0.889863,1
10,0.223158,0.00562686,-6.22438,0.446096,0.893013,1
11,0.0565187,0.000399746,-5.87263,0.608173,0.894149,1
12,0.0357776,8.09903e-05,-5.52139,0.628033,0.894276,1
13,0.0329207,7.29169e-05,-5.17018,0.630488,0.894292,1
14,0.0322755,7.15054e-05,-4.81898,0.630744,0.894295,1
15,0.0318612,7.097e-05,-4.46777,0.630723,0.894297,1
16,0.0314284,7.04351e-05,-4.11657,0.630669,0.8943,1
17,0.0309466,6.97923e-05,-3.76536,0.63061,0.894302,1
18,0.0304127,6.903e-05,-3.41416,0.630552,0.894305,1
19,0.0298273,6.81486e-05,-3.06296,0.630496,0.894308,1
20,0.029191,6.71499e-05,-2.71175,0.63044,0.894312,1
21,0.028505,6.60359e-05,-2.36055,0.630384,0.894316,1
22,0.0277699,6.48089e-05,-2.00935,0.63033,0.89432,1
23,0.0269868,6.34707e-05,-1.65814,0.630277,0.894324,1
24,0.0261564,6.20233e-05,-1.30694,0.630225,0.894328,1
25,0.0252796,6.04688e-05,-0.95574,0.630173,0.894333,1
26,0.0243572,5.88089e-05,-0.604539,0.630123,0.894338,1
27,0.0233901,5.70456e-05,-0.253338,0.630073,0.894343,1
28,0.022379,5.51807e-05,0.0978628,0.630024,0.894349,1
29,0.0213247,5.32161e-05,0.449063,0.629976,0.894354,1
30,0.020228,5.11534e-05,0.800263,0.629929,0.89436,1
31,0.0190896,4.89944e-05,1.15146,0.629882,0.894367,1
32,0.0179103,4.6741e-05,1.50266,0.629836,0.894373,1
33,0.0166908,4.43946e-05,1.85386,0.629791,0.89438,1
34,0.0154319,4.1957e-05,2.20506,0.629747,0.894386,1
35,0.0141341,3.94299e-05,2.55625,0.629704,0.894393,1
