t,y,error,u
0.000000,0.000000,1.000000,1.915495
0.010000,0.000095,0.999905,-1.753626
0.020000,0.000196,0.999804,-0.155796
0.030000,0.000201,0.999799,0.020425
0.040000,0.000200,0.999800,0.004392
0.050000,0.000199,0.999801,0.000155
0.060000,0.000200,0.999800,0.000144
0.070000,0.000200,0.999800,0.000218
0.080000,0.000200,0.999800,0.000223
0.090000,0.000200,0.999800,0.000222
0.100000,0.000200,0.999800,0.000222
0.110000,0.000200,0.999800,0.000222
0.120000,0.000200,0.999800,0.000222
0.130000,0.000200,0.999800,0.000222
0.140000,0.000200,0.999800,0.000222
0.150000,0.000200,0.999800,0.000222
0.160000,0.000200,0.999800,0.000222
0.170000,0.000200,0.999800,0.000222
0.180000,0.000200,0.999800,0.000222
0.190000,0.000200,0.999800,0.000222
0.200000,0.000200,0.999800,0.000222
0.210000,0.000200,0.999800,0.000222
0.220000,0.000200,0.999800,0.000222
0.230000,0.000200,0.999800,0.000222
0.240000,0.000200,0.999800,0.000222
0.250000,0.000200,0.999800,0.000222
0.260000,0.000200,0.999800,0.000222
0.270000,0.000200,0.999800,0.000222
0.280000,0.000200,0.999800,0.000222
0.290000,0.000200,0.999800,0.000222
0.300000,0.000200,0.999800,0.000222
0.310000,0.000200,0.999800,0.000222
0.320000,0.000200,0.999800,0.000222
0.330000,0.000200,0.999800,0.000222
0.340000,0.000200,0.999800,0.000222
0.350000,0.000200,0.999800,0.000222
0.360000,0.000200,0.999800,0.000222
0.370000,0.000200,0.999800,0.000222
0.380000,0.000200,0.999800,0.000222
0.390000,0.000200,0.999800,0.000222
0.400000,0.000200,0.999800,0.000222
0.410000,0.000200,0.999800,0.000222
0.420000,0.000200,0.999800,0.000222
0.430000,0.000200,0.999800,0.000222
0.440000,0.000200,0.999800,0.000222
0.450000,0.000200,0.999800,0.000222
0.460000,0.000200,0.999800,0.000222
0.470000,0.000200,0.999800,0.000222
0.480000,0.000200,0.999800,0.000222
0.490000,0.000200,0.999800,0.000222
0.500000,0.000200,0.999800,0.000222
0.510000,0.000200,0.999800,0.000222
0.520000,0.000200,0.999800,0.000222
0.530000,0.000200,0.999800,0.000222
0.540000,0.000200,0.999800,0.000222
0.550000,0.000200,0.999800,0.000222
0.560000,0.000200,0.999800,0.000222
0.570000,0.000200,0.999800,0.000222
0.580000,0.000200,0.999800,0.000222
0.590000,0.000200,0.999800,0.000222
0.600000,0.000200,0.999800,0.000222
0.610000,0.000200,0.999800,0.000222
0.620000,0.000200,0.999800,0.000222
0.630000,0.000200,0.999800,0.000222
0.640000,0.000200,0.999800,0.000222
0.650000,0.000200,0.999800,0.000222
0.660000,0.000200,0.999800,0.000222
0.670000,0.000200,0.999800,0.000222
0.680000,0.000200,0.999800,0.000222
0.690000,0.000200,0.999800,0.000222
0.700000,0.000200,0.999800,0.000222
0.710000,0.000200,0.999800,0.000222
0.720000,0.000200,0.999800,0.000222
0.730000,0.000200,0.999800,0.000222
0.740000,0.000200,0.999800,0.000222
0.750000,0.000200,0.999800,0.000222
0.760000,0.000200,0.999800,0.000222
0.770000,0.000200,0.999800,0.000222
0.780000,0.000200,0.999800,0.000222
0.790000,0.000200,0.999800,0.000222
0.800000,0.000200,0.999800,0.000222
0.810000,0.000200,0.999800,0.000222
0.820000,0.000200,0.999800,0.000222
0.830000,0.000200,0.999800,0.000222
0.840000,0.000200,0.999800,0.000222
0.850000,0.000200,0.999800,0.000222
0.860000,0.000200,0.999800,0.000222
0.870000,0.000200,0.999800,0.000222
0.880000,0.000200,0.999800,0.000222
0.890000,0.000200,0.999800,0.000222
0.900000,0.000200,0.999800,0.000222
0.910000,0.000200,0.999800,0.000222
0.920000,0.000200,0.999800,0.000222
0.930000,0.000200,0.999800,0.000222
0.940000,0.000200,0.999800,0.000222
0.950000,0.000200,0.999800,0.000222
0.960000,0.000200,0.999800,0.000222
0.970000,0.000200,0.999800,0.000222
0.980000,0.000200,0.999800,0.000222
0.990000,0.000200,0.999800,0.000222
1.000000,0.000200,0.999800,0.000222
1.010000,0.000200,0.999800,0.000222
1.020000,0.000200,0.999800,0.000222
1.030000,0.000200,0.999800,0.000222
1.040000,0.000200,0.999800,0.000222
1.050000,0.000200,0.999800,0.000222
1.060000,0.000200,0.999800,0.000222
1.070000,0.000200,0.999800,0.000222
1.080000,0.000200,0.999800,0.000222
1.090000,0.000200,0.999800,0.000222
1.100000,0.000200,0.999800,0.000222
1.110000,0.000200,0.999800,0.000222
1.120000,0.000200,0.999800,0.000222
1.130000,0.000200,0.999800,0.000222
1.140000,0.000200,0.999800,0.000222
1.150000,0.000200,0.999800,0.000222
1.160000,0.000200,0.999800,0.000222
1.170000,0.000200,0.999800,0.000222
1.180000,0.000200,0.999800,0.000222
1.190000,0.000200,0.999800,0.000222
1.200000,0.000200,0.999800,0.000222
1.210000,0.000200,0.999800,0.000222
1.220000,0.000200,0.999800,0.000222
1.230000,0.000200,0.999800,0.000222
1.240000,0.000200,0.999800,0.000222
1.250000,0.000200,0.999800,0.000222
1.260000,0.000200,0.999800,0.000222
1.270000,0.000200,0.999800,0.000222
1.280000,0.000200,0.999800,0.000222
1.290000,0.000200,0.999800,0.000222
1.300000,0.000200,0.999800,0.000222
1.310000,0.000200,0.999800,0.000222
1.320000,0.000200,0.999800,0.000222
1.330000,0.000200,0.999800,0.000222
1.340000,0.000200,0.999800,0.000222
1.350000,0.000200,0.999800,0.000222
1.360000,0.000200,0.999800,0.000222
1.370000,0.000200,0.999800,0.000222
1.380000,0.000200,0.999800,0.000222
1.390000,0.000200,0.999800,0.000222
1.400000,0.000200,0.999800,0.000222
1.410000,0.000200,0.999800,0.000222
1.420000,0.000200,0.999800,0.000222
1.430000,0.000200,0.999800,0.000222
1.440000,0.000200,0.999800,0.000222
1.450000,0.000200,0.999800,0.000222
1.460000,0.000200,0.999800,0.000222
1.470000,0.000200,0.999800,0.000222
1.480000,0.000200,0.999800,0.000222
1.490000,0.000200,0.999800,0.000222
1.500000,0.000200,0.999800,0.000222
1.510000,0.000200,0.999800,0.000222
1.520000,0.000200,0.999800,0.000222
1.530000,0.000200,0.999800,0.000222
1.540000,0.000200,0.999800,0.000222
1.550000,0.000200,0.999800,0.000222
1.560000,0.000200,0.999800,0.000222
1.570000,0.000200,0.999800,0.000222
1.580000,0.000200,0.999800,0.000222
1.590000,0.000200,0.999800,0.000222
1.600000,0.000200,0.999800,0.000222
1.610000,0.000200,0.999800,0.000222
1.620000,0.000200,0.999800,0.000222
1.630000,0.000200,0.999800,0.000222
1.640000,0.000200,0.999800,0.000222
1.650000,0.000200,0.999800,0.000222
1.660000,0.000200,0.999800,0.000222
1.670000,0.000200,0.999800,0.000222
1.680000,0.000200,0.999800,0.000222
1.690000,0.000200,0.999800,0.000222
1.700000,0.000200,0.999800,0.000222
1.710000,0.000200,0.999800,0.000222
1.720000,0.000200,0.999800,0.000222
1.730000,0.000200,0.999800,0.000222
1.740000,0.000200,0.999800,0.000222
1.750000,0.000200,0.999800,0.000222
1.760000,0.000200,0.999800,0.000222
1.770000,0.000200,0.999800,0.000222
1.780000,0.000200,0.999800,0.000222
